corp,dpto,mpio,name,party,wp_no
Alcaldía,AMAZONAS,LETICIA,HECTOR FABIO OSORIO RIVILLAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,4
Alcaldía,AMAZONAS,LETICIA,HUGO ALBERTO PEREZ ARAUJO,PARTIDO LIBERAL COLOMBIANO,6
Alcaldía,AMAZONAS,LETICIA,JHICEL  BENJUMEA ACOSTA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,3
Alcaldía,AMAZONAS,LETICIA,JOSE HUBER ARAUJO NIETO,CENTRO DEMOCRATICO,2
Alcaldía,AMAZONAS,LETICIA,JUAN CARLOS MARTINEZ QUIÑONES,PARTIDO SOCIAL DE UNIDAD NACIONAL U - PARTIDO ALIANZA VERDE,8
Alcaldía,AMAZONAS,LETICIA,LAUREANO  ROA BONILLA,PARTIDO CONSERVADOR COLOMBIANO,5
Alcaldía,AMAZONAS,LETICIA,LUIS FERNANDO MONTES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,7
Alcaldía,AMAZONAS,PUERTO NARIÑO,EDILBERTO  SUAREZ PINTO,PARTIDO DE LA U ALIANZA VERDE,156
Alcaldía,AMAZONAS,PUERTO NARIÑO,ESSI ZORAIDA VELOZA MONTEIRO,PARTIDO LIBERAL COLOMBIANO,157
Alcaldía,AMAZONAS,PUERTO NARIÑO,JOSE ALBERTO LOZADA PINEDO,CENTRO DEMOCRATICO,154
Alcaldía,AMAZONAS,PUERTO NARIÑO,LIVIA YANETH AHUE CERRON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,155
Alcaldía,ANTIOQUIA,ABEJORRAL,DORA LUZ OSORIO TABARES,PARTIDO OPCION CIUDADANA,371
Alcaldía,ANTIOQUIA,ABEJORRAL,GERMAN DE JESUS RAMIREZ RESTREPO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,368
Alcaldía,ANTIOQUIA,ABEJORRAL,IVAN DE JESUS GARCIA RINCON,PARTIDO CONSERVADOR COLOMBIANO,369
Alcaldía,ANTIOQUIA,ABEJORRAL,JAVIER DE JESUS CASTRILLON RUIZ,CENTRO DEMOCRATICO,367
Alcaldía,ANTIOQUIA,ABEJORRAL,MARIO DE JESUS GUTIERREZ GUZMAN,PARTIDO LIBERAL COLOMBIANO,370
Alcaldía,ANTIOQUIA,ABEJORRAL,OTONIEL MAURICIO ARANGO RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,372
Alcaldía,ANTIOQUIA,ABRIAQUI,JHON FREDY LOPEZ SEPULVEDA,PARTIDO CONSERVADOR COLOMBIANO,458
Alcaldía,ANTIOQUIA,ABRIAQUI,MARIA ESPERANZA GARCIA MARIN,PARTIDO CAMBIO RADICAL,457
Alcaldía,ANTIOQUIA,ABRIAQUI,RAMON EMIRO HOYOS MORENO,PARTIDO OPCION CIUDADANA,459
Alcaldía,ANTIOQUIA,ALEJANDRIA,GLORIA CECILIA NARANJO OSORIO,PARTIDO CONSERVADOR COLOMBIANO,489
Alcaldía,ANTIOQUIA,ALEJANDRIA,LUIS FERNANDO LOPEZ PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,490
Alcaldía,ANTIOQUIA,AMAGA,ALDEMAR ANTONIO PEREZ AVENDAÑO,PARTIDO ALIANZA VERDE,527
Alcaldía,ANTIOQUIA,AMAGA,DAVID ESTEBAN TABORDA ZAPATA,PARTIDO CONSERVADOR COLOMBIANO,528
Alcaldía,ANTIOQUIA,AMAGA,EDGAR DE JESUS ZAPATA LAVERDE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,531
Alcaldía,ANTIOQUIA,AMAGA,LEONARDO DE JESUS MOLINA RODAS,PARTIDO LIBERAL COLOMBIANO,529
Alcaldía,ANTIOQUIA,AMAGA,ROGER EDUARDO FLOREZ GARCIA,PARTIDO OPCION CIUDADANA,530
Alcaldía,ANTIOQUIA,AMAGA,WILSER DARIO MOLINA MOLINA,CENTRO DEMOCRATICO,525
Alcaldía,ANTIOQUIA,AMALFI,FEDERICO  GIL JARAMILLO,PARTIDO CONSERVADOR COLOMBIANO,649
Alcaldía,ANTIOQUIA,AMALFI,GEORGINA MARIA PALACIO BERRIO,ALIANZA SOCIAL INDEPENDIENTE - PARTIDO LIBERAL COLOMBIANO,647
Alcaldía,ANTIOQUIA,AMALFI,ROMAN FERNANDO MONSALVE SANCHEZ,PARTIDO CAMBIO RADICAL,648
Alcaldía,ANTIOQUIA,ANDES,ALVARO DIEGO PAREJA JARAMILLO,PARTIDO CONSERVADOR COLOMBIANO,736
