corp,dpto,mpio,name,party,wp_no
Alcaldía,CESAR,CURUMANI,CELENIA PATRICIA ACOSTA MADARIAGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,43276
Alcaldía,CESAR,CURUMANI,EFREN EBERTO MORENO CARCAMO,PARTIDO LIBERAL COLOMBIANO,43280
Alcaldía,CESAR,CURUMANI,GELVER ANDRES ORTEGA PEREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,43275
Alcaldía,CESAR,CURUMANI,HERMES FERNANDO MARTINEZ URSULA,PARTIDO ALIANZA VERDE,43277
Alcaldía,CESAR,CURUMANI,JORGE LUIS CELIZ CARVAJAL,PARTIDO CAMBIO RADICAL,43278
Alcaldía,CESAR,CURUMANI,LAURA MARCELA HERRERA TRILLOS,PARTIDO OPCION CIUDADANA,43281
Alcaldía,CESAR,CURUMANI,OSCAR ARMANDO MORENO LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,43279
Alcaldía,CESAR,CURUMANI,RICHARD ALBER GUILLEN SANGREGORIO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,43282
Alcaldía,CESAR,CURUMANI,WILMER VICENTE SUAREZ CAMACHO,CENTRO DEMOCRATICO,43273
Alcaldía,CESAR,CURUMANI,WILSON ANTONIO RINCON FONSECA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,43274
