corp,dpto,mpio,name,party,wp_no
Alcaldía,META,ACACIAS,BERTHA AMANDA PERILLA VILLAMIL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,73220
Alcaldía,META,ACACIAS,CARLOS JULIO PLATA BECERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,73226
Alcaldía,META,ACACIAS,EDGAR ANTONIO AHUMADA SABOGAL,PARTIDO CAMBIO RADICAL,73222
Alcaldía,META,ACACIAS,ERALDO  CUBIDES RODRIGUEZ,MOVIMIENTO CIVICO ACACIREÑO,73219
Alcaldía,META,ACACIAS,FABIO  REYES RODRIGUEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,73225
Alcaldía,META,ACACIAS,FABIO RENE POVEDA GUTIERREZ,CENTRO DEMOCRATICO,73216
Alcaldía,META,ACACIAS,MARCO AURELIO BASTO MORALES,PARTIDO CONSERVADOR COLOMBIANO,73223
Alcaldía,META,ACACIAS,MARTHA ISABEL PLAZAS AGUILAR,MAS POR ACACIAS,73217
Alcaldía,META,ACACIAS,OSCAR ENRIQUE PATIÑO LADINO,PARTIDO OPCION CIUDADANA,73224
Alcaldía,META,ACACIAS,ROSARIO YANETT GUTIERREZ GARAVITO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,73218
Alcaldía,META,ACACIAS,VICTOR ORLANDO GUTIERREZ JIMENEZ,PARTIDO ALIANZA VERDE,73221
