corp,dpto,mpio,name,party,wp_no
Alcaldía,NARIÑO,EL CHARCO,ARMANDO  PAZ CAMPAZ,PARTIDO ALIANZA VERDE,77432
Alcaldía,NARIÑO,EL CHARCO,LUIS FERNANDO SANCHEZ CAICEDO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,77436
Alcaldía,NARIÑO,EL CHARCO,MARCOS JAVIER ALZAMORA QUIÑONEZ,PARTIDO CONSERVADOR COLOMBIANO,77433
Alcaldía,NARIÑO,EL CHARCO,MILTON  CUERO TEJADA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,77431
Alcaldía,NARIÑO,EL CHARCO,MISAEL  SOLIS GONGORA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,77429
Alcaldía,NARIÑO,EL CHARCO,ROBINSON  ESTUPIÑAN PEREA,PARTIDO UNION PATRIOTICA UP,77438
Alcaldía,NARIÑO,EL CHARCO,RODOLFO  ARBOLEDA SINISTERRA,PARTIDO OPCION CIUDADANA,77435
Alcaldía,NARIÑO,EL CHARCO,VENANCIO  ROMERO BONILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,77437
Alcaldía,NARIÑO,EL CHARCO,VICTOR  CANDELO REINA,PARTIDO LIBERAL COLOMBIANO,77434
Alcaldía,NARIÑO,EL CHARCO,WILSON  SANTANA SOLIS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,77430
