corp,dpto,mpio,name,party,wp_no
Alcaldía,ANTIOQUIA,COPACABANA,CARLOS DAVID OROZCO TIBAQUIRA,PARTIDO CENTRO DEMOCRATICO,3780
Alcaldía,ANTIOQUIA,COPACABANA,DUGLAS ALBERTO PULGARIN PALACIO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,3786
Alcaldía,ANTIOQUIA,COPACABANA,EVANGELISTA  TORRES PERALTA,PARTIDO COLOMBIA JUSTA LIBRES,3782
Alcaldía,ANTIOQUIA,COPACABANA,FRANCISCO JAVIER CADAVID GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3785
Alcaldía,ANTIOQUIA,COPACABANA,FRANK ARLEY GUZMAN DAZA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,3779
Alcaldía,ANTIOQUIA,COPACABANA,HECTOR AUGUSTO MONSALVE RESTREPO,PARTIDO SOCIAL DE LA UNIDAD NACIONAL - PARTIDO CAMBIO RADICAL -  PARTIDO ALIANZA VERDE -,3788
Alcaldía,ANTIOQUIA,COPACABANA,HERNANDO DE JESUS GONZALEZ GOMEZ,PARTIDO ADA,3783
Alcaldía,ANTIOQUIA,COPACABANA,JESUS ANIBAL DIAZ MONTOYA,COPACABANA DIFERENTE,3787
Alcaldía,ANTIOQUIA,COPACABANA,JUAN EUGENIO GONZALEZ MOLINA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,3784
Alcaldía,ANTIOQUIA,COPACABANA,RAMON DIEGO ECHEVERRI HINCAPIE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3781
