corp,dpto,mpio,name,party,wp_no
Alcaldía,ANTIOQUIA,LA CEJA,CLAUDIA SELENE MOSQUERA CASTRILLON,PARTIDO CAMBIO RADICAL,3917
Alcaldía,ANTIOQUIA,LA CEJA,GEOVANY  HENAO GALLEGO,PARTIDO COLOMBIA RENACIENTE,3916
Alcaldía,ANTIOQUIA,LA CEJA,JAVIER IGNACIO GARCIA GARCIA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,3920
Alcaldía,ANTIOQUIA,LA CEJA,JESUS ALEXANDER TOBON ECHEVERRI,LA CEJA NOS UNE,3924
Alcaldía,ANTIOQUIA,LA CEJA,LUIS HERNAN GARZON RIOS,PARTIDO ALIANZA VERDE,3918
Alcaldía,ANTIOQUIA,LA CEJA,MARIA ILBED SANTA SANTA,HAGAMOS LO CORRECTO POR LA CEJA,3923
Alcaldía,ANTIOQUIA,LA CEJA,NELSON  MARTINEZ ESCOBAR,VOLVAMOS A CREER,3922
Alcaldía,ANTIOQUIA,LA CEJA,NELSON FERNANDO CARMONA LOPERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3919
Alcaldía,ANTIOQUIA,LA CEJA,NESTOR ALEXANDER SANTA LOPERA,COMPROMISO CIUDADANO POR LA CEJA,3921
Alcaldía,ANTIOQUIA,LA CEJA,SANDRO DE JESUS JURADO GUTIERREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,3915
