corp,dpto,mpio,name,party,wp_no
Alcaldía,ANTIOQUIA,MEDELLIN,ALFREDO  RAMOS MAYA,PARTIDO CENTRO DEMOCRATICO,3758
Alcaldía,ANTIOQUIA,MEDELLIN,BEATRIZ ELENA RAVE HERRERA,PARTIDO ALIANZA VERDE,3764
Alcaldía,ANTIOQUIA,MEDELLIN,CESAR AUGUSTO HERNANDEZ CORREA,MEDELLIN EVOLUCIONA,3769
Alcaldía,ANTIOQUIA,MEDELLIN,DANIEL  QUINTERO CALLE,INDEPENDIENTES,3771
Alcaldía,ANTIOQUIA,MEDELLIN,GEMMA MARIA MEJIA IZQUIERDO,PARTIDO COLOMBIA JUSTA LIBRES,3760
Alcaldía,ANTIOQUIA,MEDELLIN,JAIRO  HERRAN VARGAS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,3757
Alcaldía,ANTIOQUIA,MEDELLIN,JESUS ANIBAL ECHEVERRY JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3765
Alcaldía,ANTIOQUIA,MEDELLIN,JESUS MARIA RAMIREZ CANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3759
Alcaldía,ANTIOQUIA,MEDELLIN,JORGE ORLANDO GUTIERREZ SERNA,PARTIDO COLOMBIA RENACIENTE,3761
Alcaldía,ANTIOQUIA,MEDELLIN,JUAN CARLOS ROBERTO VELEZ URIBE,MEDELLIN AVANZA,3767
Alcaldía,ANTIOQUIA,MEDELLIN,JUAN DAVID VALDERRAMA LOPEZ,TODOS JUNTOS,3768
Alcaldía,ANTIOQUIA,MEDELLIN,LUIS FERNANDO MUÑOZ RAMIREZ,PARTIDO ADA,3762
Alcaldía,ANTIOQUIA,MEDELLIN,LUIS GUILLERMO HOYOS MENESES,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,3763
Alcaldía,ANTIOQUIA,MEDELLIN,LUIS SANTIAGO GOMEZ BARRERA,SEGUIMOS CONTANDO CON VOS,3770
Alcaldía,ANTIOQUIA,MEDELLIN,VICTOR JAVIER CORREA VELEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,3766
