corp,dpto,mpio,name,party,wp_no
Alcaldía,ANTIOQUIA,SAN RAFAEL,ALBERTO  HINCAPIE GIRALDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,4101
Alcaldía,ANTIOQUIA,SAN RAFAEL,ALBERTO  OSPINA GALVIS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,4093
Alcaldía,ANTIOQUIA,SAN RAFAEL,ANDRES ESTEBAN ZULUAGA JIMENEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,4102
Alcaldía,ANTIOQUIA,SAN RAFAEL,ARTURO  SUAREZ GIRALDO,MOVIMIENTO POR LA UNIDAD DE SAN RAFAEL,4103
Alcaldía,ANTIOQUIA,SAN RAFAEL,BERNARDO ALONSO ARANGO CLAVIJO,PARTIDO CAMBIO RADICAL,4099
Alcaldía,ANTIOQUIA,SAN RAFAEL,EDUIN ANICETO GIRALDO QUINTANA,PARTIDO CENTRO DEMOCRATICO,4094
Alcaldía,ANTIOQUIA,SAN RAFAEL,GLADIS AMPARO ARBOLEDA OROZCO,PARTIDO ALIANZA VERDE,4100
Alcaldía,ANTIOQUIA,SAN RAFAEL,JHON ALBERTO ORTEGA ,PARTIDO COLOMBIA JUSTA LIBRES,4096
Alcaldía,ANTIOQUIA,SAN RAFAEL,JOSE HERMES POSADA CANO,PARTIDO COLOMBIA RENACIENTE,4097
Alcaldía,ANTIOQUIA,SAN RAFAEL,LIBARDO DE JESUS CIRO MORALES,PARTIDO CONSERVADOR COLOMBIANO,4098
Alcaldía,ANTIOQUIA,SAN RAFAEL,LUIS OLIVERIO GUARIN GUARIN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,4095
