corp,dpto,mpio,name,party,wp_no
Alcaldía,CAUCA,PUERTO TEJADA,BENJAMIN  CARABALI RODRIGUEZ,MOVIMIENTO PARA LA UNIDAD MUNICIPAL PUERTO TEJADA NOS UNE,4486
Alcaldía,CAUCA,PUERTO TEJADA,DAGOBERTO  DOMINGUEZ CAICEDO,PARTIDO ALIANZA VERDE,4481
Alcaldía,CAUCA,PUERTO TEJADA,DELIO  GIRON MURILLO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,4477
Alcaldía,CAUCA,PUERTO TEJADA,INDIRA  GOMEZ MUÑOZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,4483
Alcaldía,CAUCA,PUERTO TEJADA,JANNER  VALENCIA LASSO,PARTIDO COLOMBIA RENACIENTE,4479
Alcaldía,CAUCA,PUERTO TEJADA,JEISON STIVEN MOLINA MINA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,4485
Alcaldía,CAUCA,PUERTO TEJADA,LEIDY VIVIANA VIVEROS SOLARTE,PARTIDO COLOMBIA JUSTA LIBRES,4478
Alcaldía,CAUCA,PUERTO TEJADA,LUZ ADIELA SALAZAR GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,4484
Alcaldía,CAUCA,PUERTO TEJADA,RUBIEL ORLANDO CARABALI FORY,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,4482
Alcaldía,CAUCA,PUERTO TEJADA,WILSON  VENTE VIVEROS,PARTIDO LIBERAL COLOMBIANO,4476
Alcaldía,CAUCA,PUERTO TEJADA,WILSON MARINO ZAPATA CARVAJAL,PARTIDO CONSERVADOR COLOMBIANO,4480
