corp,dpto,mpio,name,party,wp_no
Alcaldía,CESAR,AGUSTIN CODAZZI,AIDA LEONOR ALVAREZ QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,4563
Alcaldía,CESAR,AGUSTIN CODAZZI,CASTULO ANDRES ALFARO PUERTA,PARTIDO COLOMBIA JUSTA LIBRES,4559
Alcaldía,CESAR,AGUSTIN CODAZZI,DAVID ADOLFO HERNANDEZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,4558
Alcaldía,CESAR,AGUSTIN CODAZZI,EFRAIN ALFREDO QUINTERO TERNERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,4564
Alcaldía,CESAR,AGUSTIN CODAZZI,HERNAN EDUARDO BAQUERO RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,4567
Alcaldía,CESAR,AGUSTIN CODAZZI,IBETH CECILIA LAFAURIE PERDOMO,PARTIDO CAMBIO RADICAL,4561
Alcaldía,CESAR,AGUSTIN CODAZZI,INDRA MARIA NUÑEZ ANAYA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,4562
Alcaldía,CESAR,AGUSTIN CODAZZI,LUIS ALBERTO OVALLE ELGUEDO,PARTIDO ADA,4560
Alcaldía,CESAR,AGUSTIN CODAZZI,OMAR ENRIQUE BENJUMEA OSPINO,OPORTUNIDAD Y BIENESTAR PARA TODOS,4566
Alcaldía,CESAR,AGUSTIN CODAZZI,ROSE MARY GUERRA DE TRESPALACIOS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,4565
