corp,dpto,mpio,name,party,wp_no
Alcaldía,CESAR,EL PASO,ANDRY ENRIQUE ARAGON VILLALOBOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,4618
Alcaldía,CESAR,EL PASO,CARLOS ALBERTO MORALES CASTILLA,PARTIDO ALIANZA VERDE,4625
Alcaldía,CESAR,EL PASO,FAVER  IMBRETH MARTINEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,4627
Alcaldía,CESAR,EL PASO,IDALIDES DE JESUS CASTRO CANTILLO,PARTIDO CONSERVADOR COLOMBIANO,4623
Alcaldía,CESAR,EL PASO,JESUS ALBERTO ORTIZ CERVANTES,PARTIDO ADA,4621
Alcaldía,CESAR,EL PASO,JOSE DAVID ORTIZ BOLAÑO,PARTIDO CAMBIO RADICAL,4624
Alcaldía,CESAR,EL PASO,LUIS ALBERTO MURGAS PUPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,4626
Alcaldía,CESAR,EL PASO,MARTIN  ALTAMAR ESCOBAR,PARTIDO COLOMBIA JUSTA LIBRES,4619
Alcaldía,CESAR,EL PASO,NEY ENRIQUE RESTREPO DITTA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,4622
Alcaldía,CESAR,EL PASO,ROBERTO JOSE CASTILLEJO RUIZ,PARTIDO COLOMBIA RENACIENTE,4620
Alcaldía,CESAR,EL PASO,RUVIELA  SANGUINO ORTEGA,PARTIDO CENTRO DEMOCRATICO,4617
Alcaldía,CESAR,EL PASO,SILVINO DARIO ARZUAGA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,4616
