corp,dpto,mpio,name,party,wp_no
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),DAVISON  MECHA FORASTERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,5481
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),FRANCISCO JAVIER MOSQUERA CAICEDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,5485
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),FREDYS  PALACIOS RAMIREZ,VAMOS EN EL CAMINO CORRECTO SIENDO POSIBLE UN FUTURO PARA TODOS,5488
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),HAIVER  MOSQUERA MOSQUERA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,5483
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),HEILER  PALACIOS MARMOLEJO,PARTIDO COLOMBIA JUSTA LIBRES,5482
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),HERMENCIA  DIAZ PALACIOS,PARTIDO CENTRO DEMOCRATICO,5480
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),LIBINTONG DAVID RIVAS MORENO,PARTIDO CAMBIO RADICAL,5484
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),LORENZO  PALACIOS MENDOZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,5486
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),LUCIANO  MARMOLEJO PALACIOS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,5479
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),TULIO  MOSQUERA ASPRILLA,PARTIDO LIBERAL COLOMBIANO,5478
Alcaldía,CHOCO,ALTO BAUDO (PIE DE PATO),ULISES  PALACIOS PALACIOS,CREO EN TI ALTO BAUDO CON DIOS Y EL PUEBLO - EL PROGRESO CONTINUA,5487
