corp,dpto,mpio,name,party,wp_no
Alcaldía,CUNDINAMARCA,PACHO,ALBERTO  ARIZA VEGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,5003
Alcaldía,CUNDINAMARCA,PACHO,CARLOS JAVIER DIAZ SANCHEZ,PARTIDO CAMBIO RADICAL,5006
Alcaldía,CUNDINAMARCA,PACHO,CLAUDIA JANENTH CORTES MUÑOZ,PARTIDO CENTRO DEMOCRATICO,5002
Alcaldía,CUNDINAMARCA,PACHO,EDWIN ARIEL ORTIZ FERNANDEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,5008
Alcaldía,CUNDINAMARCA,PACHO,HECTOR ARNULFO DELGADO TRIANA,PARTIDO ALIANZA VERDE,5007
Alcaldía,CUNDINAMARCA,PACHO,HUGO PASTOR ESCOBAR MORENO,PARTIDO ADA,5004
Alcaldía,CUNDINAMARCA,PACHO,NEIDER EDUARDO ABELLO ALDANA,PARTIDO LIBERAL COLOMBIANO,5001
Alcaldía,CUNDINAMARCA,PACHO,NESTOR VICENTE OSTOS BUSTOS,PARTIDO CONSERVADOR COLOMBIANO,5005
Alcaldía,CUNDINAMARCA,PACHO,OSCAR HERNANDO BABATIVA BONILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,5009
Alcaldía,CUNDINAMARCA,PACHO,WILLIAM ARMANDO BUSTOS MACIAS,PACHUNOS DE CORAZON,5010
