corp,dpto,mpio,name,party,wp_no
Alcaldía,LA GUAJIRA,RIOHACHA,BLAS ANTONIO QUINTERO MENDOZA,PARTIDO CONSERVADOR COLOMBIANO,7735
Alcaldía,LA GUAJIRA,RIOHACHA,DULMIS MANUEL CURVELO GAMEZ,PARTIDO COLOMBIA JUSTA LIBRES,7733
Alcaldía,LA GUAJIRA,RIOHACHA,EUCLIDES MANUEL REDONDO PERALTA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,7734
Alcaldía,LA GUAJIRA,RIOHACHA,GERSSON JAIR CASTILLO DAZA,RIOHACHA DECIDE,7737
Alcaldía,LA GUAJIRA,RIOHACHA,JESUS ANTONIO ARIZA ACOSTA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,7736
Alcaldía,LA GUAJIRA,RIOHACHA,JOSE RAMIRO BERMUDEZ COTES,UNIDOS POR EL DESARROLLO DEL DISTRITO DE RIOHACHA,7740
Alcaldía,LA GUAJIRA,RIOHACHA,LEANDRO JOSE MEJIA DIAZ,TRABAJEMOS POR EL CAMBIO,7738
Alcaldía,LA GUAJIRA,RIOHACHA,MANUELA JOSEFINA DELUQUE MEJIA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,7731
Alcaldía,LA GUAJIRA,RIOHACHA,PABLO EMILIO FONSECA DE LUQUE,PARTIDO CENTRO DEMOCRATICO,7732
Alcaldía,LA GUAJIRA,RIOHACHA,WILDER  NAVARRO QUINTERO,RIOHACHA PUEDE,7739
