corp,dpto,mpio,name,party,wp_no
Alcaldía,META,VILLAVICENCIO,ALEXANDER  BAQUERO SANABRIA,PARTIDO CONSERVADOR COLOMBIANO,8055
Alcaldía,META,VILLAVICENCIO,ELDA LUCY CONTENTO SANZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,8060
Alcaldía,META,VILLAVICENCIO,EVERARDO  DUQUE NIETO,PARTIDO ADA,8053
Alcaldía,META,VILLAVICENCIO,FABIAN HERNAN GONZALO TORRES CARRILLO,PARTIDO CAMBIO RADICAL,8056
Alcaldía,META,VILLAVICENCIO,GILBERTO  GIRALDO SALAZAR,PARTIDO COLOMBIA JUSTA LIBRES,8052
Alcaldía,META,VILLAVICENCIO,HAROLD FERNANDO BARRETO GONZALEZ,PARTIDO ALIANZA VERDE,8057
Alcaldía,META,VILLAVICENCIO,JORGE FELIPE CARREÑO SANCHEZ,FELIPE CARREÑO EL PODER  DE LA CONFIANZA,8061
Alcaldía,META,VILLAVICENCIO,JOSE LUIS SILVA VALENCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,8059
Alcaldía,META,VILLAVICENCIO,JUAN FELIPE HARMAN ORTIZ,SOMOS LA ALTERNATIVA,8062
Alcaldía,META,VILLAVICENCIO,NATALIA  PINEDA PANQUEBA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,8054
Alcaldía,META,VILLAVICENCIO,NESTOR LEONARDO PEREZ BARRETO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,8058
