corp,dpto,mpio,name,party,wp_no
Alcaldía,TOLIMA,ROVIRA,DIEGO ANDRES GUERRA QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,6910
Alcaldía,TOLIMA,ROVIRA,EDILBERTO  GUZMAN SANCHEZ,PARTIDO COLOMBIA RENACIENTE,6906
Alcaldía,TOLIMA,ROVIRA,FEDEREIN  GONZALEZ LEON,PARTIDO CENTRO DEMOCRATICO,6904
Alcaldía,TOLIMA,ROVIRA,FRANCISCO JAVIER IBAÑEZ MONTEALEGRE,PARTIDO ADA,6907
Alcaldía,TOLIMA,ROVIRA,FRANCISCO JAVIER NUÑEZ GUZMAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,6911
Alcaldía,TOLIMA,ROVIRA,JOSE ALAHIN TICORA RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,6909
Alcaldía,TOLIMA,ROVIRA,ROBINSON  BARRIOS CASTILLO,PARTIDO COLOMBIA JUSTA LIBRES,6905
Alcaldía,TOLIMA,ROVIRA,SAUL ANTONIO GUZMAN GONZALEZ,UNIDOS HACEMOS LA DIFERENCIA,6912
Alcaldía,TOLIMA,ROVIRA,SONIA ALEXANDRA PELAEZ BARRAGAN,SP SOLUCIONES Y PROGRESO,6913
Alcaldía,TOLIMA,ROVIRA,VICTOR ALFONSO GUALTERO GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,6908
