corp,dpto,mpio,name,party,wp_no
Alcaldía,VALLE,BUENAVENTURA,ANDRES JOSE MERCADO HERNANDEZ,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,7340
Alcaldía,VALLE,BUENAVENTURA,BERNABE  MOSQUERA ROMAN,PARTIDO LIBERAL COLOMBIANO,7339
Alcaldía,VALLE,BUENAVENTURA,CARLOS ALFREDO MINOTA CUERO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,7342
Alcaldía,VALLE,BUENAVENTURA,DANIEL  OLAVE ORDOÑEZ,PARTIDO COLOMBIA JUSTA LIBRES,7341
Alcaldía,VALLE,BUENAVENTURA,ELVIA LUCY ABONCE BRANCA,CD Y CR,7347
Alcaldía,VALLE,BUENAVENTURA,HECTOR  COPETE ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,7344
Alcaldía,VALLE,BUENAVENTURA,JAIME OSWALDO MARINEZ QUIÑONES,POR LA RECONSTRUCCION DE BUENAVENTURA,7346
Alcaldía,VALLE,BUENAVENTURA,LIBIA  MOSQUERA VIVEROS,PARTIDO CONSERVADOR COLOMBIANO,7343
Alcaldía,VALLE,BUENAVENTURA,LIGIA DEL CARMEN CORDOBA MARTINEZ,ES POSIBLE PARTIDO DE LA U-MAIS,7345
Alcaldía,VALLE,BUENAVENTURA,VICTOR HUGO VIDAL PIEDRAHITA,BUENAVENTURA DIGNA,7348
