corp,dpto,mpio,name,party,wp_no
Alcaldía,VALLE,JAMUNDI,ANDRES FELIPE RAMIREZ RESTREPO,PARTIDO ALIANZA VERDE,7448
Alcaldía,VALLE,JAMUNDI,ANTONIO EDUARDO MOYA ,PARTIDO CENTRO DEMOCRATICO,7442
Alcaldía,VALLE,JAMUNDI,CESAR AUGUSTO TORO MARIN,PARTIDO ADA,7446
Alcaldía,VALLE,JAMUNDI,CESAR JAVIER MAHECHA JARAMILLO,PARTIDO COLOMBIA JUSTA LIBRES,7444
Alcaldía,VALLE,JAMUNDI,CRISTHIAN YAMIL ESCOBAR SANCHEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,7441
Alcaldía,VALLE,JAMUNDI,DIEGO LUIS LOBOA GOMEZ,PARTIDO COLOMBIA RENACIENTE,7445
Alcaldía,VALLE,JAMUNDI,JAIME ANDRES PENILLA REYES,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,7447
Alcaldía,VALLE,JAMUNDI,MARLENY  MUÑOZ SANCHEZ,PARTIDO LIBERAL COLOMBIANO,7440
Alcaldía,VALLE,JAMUNDI,RIGOBERTO  LASSO BALANTA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,7443
Alcaldía,VALLE,JAMUNDI,WILLIAM DARIO SICACHA GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,7449
