corp,dpto,name,party,wp_no
Asamblea,ARAUCA,ALBA LUCIA SALDAÑA PAEZ,PARTIDO COLOMBIA JUSTA LIBRES,2209
Asamblea,ARAUCA,ALCIBIADES  RODRIGUEZ ,PARTIDO CONSERVADOR COLOMBIANO,2223
Asamblea,ARAUCA,ALEXA MILENA QUIRIFE BOHORQUEZ,PARTIDO LIBERAL COLOMBIANO,2180
Asamblea,ARAUCA,ALEXANDER  BOTIA AMAYA,PARTIDO CAMBIO RADICAL,2237
Asamblea,ARAUCA,ALEXANDER  GARCIA QUIROZ,PARTIDO ADA,2217
Asamblea,ARAUCA,ALEXI ALEXANDER ALVAREZ ZAMBRANO,PARTIDO LIBERAL COLOMBIANO,2178
Asamblea,ARAUCA,ALONSO  CAMPIÑO BEDOYA,PARTIDO ALIANZA VERDE,2249
Asamblea,ARAUCA,ANA SMITH CARRILLO GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,2220
Asamblea,ARAUCA,ANDREA DEL PILAR TOVAR MURILLO,PARTIDO CONSERVADOR COLOMBIANO,2226
Asamblea,ARAUCA,ANDRES MAURICIO MORALES ANZOLA,PARTIDO CENTRO DEMOCRATICO,2189
Asamblea,ARAUCA,ANGEL MARIA HIGUERA SILVA,PARTIDO CAMBIO RADICAL,2235
Asamblea,ARAUCA,BLANCA NUBIA MARTINEZ RUEDA,PARTIDO CONSERVADOR COLOMBIANO,2227
Asamblea,ARAUCA,CARLOS ALBERTO HERNANDEZ SANCHEZ,PARTIDO LIBERAL COLOMBIANO,2176
Asamblea,ARAUCA,CARLOS MARIO MARTINEZ HIDALGO,PARTIDO LIBERAL COLOMBIANO,2184
Asamblea,ARAUCA,CAROL YERALDIN ACEVEDO PACHECO,ALTERNATIVA ARAUCANA,2275
Asamblea,ARAUCA,CLAUDIA ELIZABETH BARAJAS PITA,PARTIDO COLOMBIA JUSTA LIBRES,2211
Asamblea,ARAUCA,DANERYS  SANCHEZ FRANCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2266
Asamblea,ARAUCA,DEYCI  CAMARGO RUBIO,PARTIDO ALIANZA VERDE,2245
Asamblea,ARAUCA,DIANA MARCELA DIAZ MEZA,PARTIDO CENTRO DEMOCRATICO,2195
Asamblea,ARAUCA,DIANA MARCELA MARTINEZ ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2203
Asamblea,ARAUCA,DIANA MARIA NIEVES NIÑO,PARTIDO LIBERAL COLOMBIANO,2179
Asamblea,ARAUCA,DIEGO ALFONSO GUILLEN GALVIS,PARTIDO LIBERAL COLOMBIANO,2182
Asamblea,ARAUCA,DIRNAEL  GUTIERREZ VACA,PARTIDO CONSERVADOR COLOMBIANO,2224
Asamblea,ARAUCA,DORIS  ROJAS GONZALEZ,PARTIDO CAMBIO RADICAL,2236
Asamblea,ARAUCA,DUMAR SEBASTIAN SANCHEZ OJEDA,PARTIDO CAMBIO RADICAL,2230
Asamblea,ARAUCA,EDGAR  MARIN RUEDA,PARTIDO CONSERVADOR COLOMBIANO,2228
Asamblea,ARAUCA,EDGAR ANTONIO SOTO PATIÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2201
Asamblea,ARAUCA,EDGAR ORLANDO SANTANA ,PARTIDO CENTRO DEMOCRATICO,2196
Asamblea,ARAUCA,EDUARDO  MORANTES GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,2221
Asamblea,ARAUCA,ELIUD  SUAREZ DAZA,PARTIDO LIBERAL COLOMBIANO,2177
Asamblea,ARAUCA,EMMA LILIANA SANCHEZ MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2261
Asamblea,ARAUCA,FABIO ALBERTO CARRILLO BOTELLO,PARTIDO ADA,2212
Asamblea,ARAUCA,FERNANDO  SERRANO AMADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2270
Asamblea,ARAUCA,FREDDY FABIAN GOMEZ ,PARTIDO ADA,2216
Asamblea,ARAUCA,GEOVANNY ALEXIS SUAREZ CASTELLANOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2264
Asamblea,ARAUCA,HERNANDO  HENAO CIRO,PARTIDO LIBERAL COLOMBIANO,2181
Asamblea,ARAUCA,HERNANDO  ORTIZ BAUTISTA,PARTIDO CAMBIO RADICAL,2234
Asamblea,ARAUCA,INGRID PAOLA RICO MANTILLA,PARTIDO ALIANZA VERDE,2241
Asamblea,ARAUCA,IVAN HUMBERTO MANOSALVA ROMERO,PARTIDO ALIANZA VERDE,2240
Asamblea,ARAUCA,JAHN CARLOS MARTINEZ VILLAMIZAR,ALTERNATIVA ARAUCANA,2280
Asamblea,ARAUCA,JAIBEL MAIGLEIDYS DAVILA RIVAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2257
Asamblea,ARAUCA,JAKELINE  SANCHEZ HERRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2254
Asamblea,ARAUCA,JAVIER  GALVIS VALBUENA,PARTIDO ALIANZA VERDE,2248
Asamblea,ARAUCA,JENNIFER PAOLA CAMPIÑO ROA,PARTIDO CENTRO DEMOCRATICO,2194
Asamblea,ARAUCA,JESSICA VANESSA ANDRADE MAZUERA,PARTIDO CENTRO DEMOCRATICO,2188
Asamblea,ARAUCA,JESUS DANIEL RODRIGUEZ RIVEROS,PARTIDO CENTRO DEMOCRATICO,2192
Asamblea,ARAUCA,JESUS MARIA SARMIENTO VALBUENA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2199
Asamblea,ARAUCA,JHON GERMAN MARTINEZ PLATA,PARTIDO CONSERVADOR COLOMBIANO,2218
Asamblea,ARAUCA,JOSE ANGEL MUÑOZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,2233
Asamblea,ARAUCA,JOSE LORENZO CAMACHO TOBO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2269
Asamblea,ARAUCA,JOSE NESTOR GUERRA TORRES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2255
Asamblea,ARAUCA,JUAN ALFREDO QUENZA RAMOS,PARTIDO LIBERAL COLOMBIANO,2186
Asamblea,ARAUCA,JUAN PABLO RODRIGUEZ GARRIDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2202
Asamblea,ARAUCA,KENDY YECID RODRIGUEZ BUSTAMANTE,PARTIDO ALIANZA VERDE,2246
Asamblea,ARAUCA,LINA MARIA GARRIDO MARTIN,PARTIDO CAMBIO RADICAL,2239
Asamblea,ARAUCA,LIZDALIA GENOVEVA MAURNO CISNEROS,PARTIDO ALIANZA VERDE,2250
Asamblea,ARAUCA,LUCELLY  HERNANDEZ QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,2225
Asamblea,ARAUCA,LUDY YAILETH ALEGRIA GUEVARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2205
Asamblea,ARAUCA,LUIS EVELIO ASCANIO NARANJO,PARTIDO CENTRO DEMOCRATICO,2187
Asamblea,ARAUCA,LUIS FERNANDO PANQUEVA TORRES,ALTERNATIVA ARAUCANA,2272
Asamblea,ARAUCA,LUZ MARINA VARGAS MARIÑO,ALTERNATIVA ARAUCANA,2273
Asamblea,ARAUCA,LUZ PERLY CORDOBA MOSQUERA,ALTERNATIVA ARAUCANA,2277
Asamblea,ARAUCA,MANUEL GILDARDO HERRERA TUNJANO,ALTERNATIVA ARAUCANA,2279
Asamblea,ARAUCA,MARCOS  SOMOZA CAMPEROS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2259
Asamblea,ARAUCA,MARIA ELIZABETH PAMPLONA GOMEZ,PARTIDO CAMBIO RADICAL,2231
Asamblea,ARAUCA,MARIA ISABEL GELVEZ OROZCO,PARTIDO LIBERAL COLOMBIANO,2185
Asamblea,ARAUCA,MARIO  AVELLANEDA ARDILA,PARTIDO CENTRO DEMOCRATICO,2193
Asamblea,ARAUCA,MARLIO ALEXANDERS TORRES MOGOLLON,PARTIDO CENTRO DEMOCRATICO,2190
Asamblea,ARAUCA,MARTHA  FIERRO RUIZ,ALTERNATIVA ARAUCANA,2278
Asamblea,ARAUCA,MAURO  HERRERA CACERES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2267
Asamblea,ARAUCA,MERCEDES  RINCON ESPINEL,PARTIDO CAMBIO RADICAL,2229
Asamblea,ARAUCA,MIGUEL ANGEL MEJIA CANAY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2265
Asamblea,ARAUCA,MIGUEL ESTEBAN ARCINIEGAS TALERO,PARTIDO ALIANZA VERDE,2244
Asamblea,ARAUCA,MYRIAM CONSTANZA CRISTIANO NUÑEZ,PARTIDO CAMBIO RADICAL,2238
