corp,dpto,name,party,wp_no
Asamblea,BOYACA,ADRIANA PAOLA LAVERDE RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3458
Asamblea,BOYACA,ALBA LUZ BECERRA BECERRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3524
Asamblea,BOYACA,ALBERTO ENRIQUE MURILLO SANCHEZ,PARTIDO CAMBIO RADICAL,3490
Asamblea,BOYACA,ALFREDO HORACIO CORREA HIGUERA,PARTIDO CAMBIO RADICAL,3488
Asamblea,BOYACA,ALVARO HERNAN FORERO HURTADO,BOYACA DECENTE,3546
Asamblea,BOYACA,ANA ADELA PULIDO CUADROS,PARTIDO CONSERVADOR COLOMBIANO,3474
Asamblea,BOYACA,ANA DELIA AVENDAÑO HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,3431
Asamblea,BOYACA,ANA LUCIA PARRA MONROY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3536
Asamblea,BOYACA,ANDERSON JOAQUIN SANCHEZ RUIZ,PARTIDO LIBERAL COLOMBIANO,3422
Asamblea,BOYACA,ANDREA CAROLINA CAMARGO CARO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3460
Asamblea,BOYACA,ANDRES MAURICIO ESCARRIA BARRAZA,PARTIDO CAMBIO RADICAL,3493
Asamblea,BOYACA,ANDRES ULPIANO BALLESTEROS ALARCON,PARTIDO COLOMBIA JUSTA LIBRES,3466
Asamblea,BOYACA,ANGELA MAGALY GARCIA RIVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3463
Asamblea,BOYACA,ANGELA PATRICIA VELANDIA NOVOA,PARTIDO ALIANZA VERDE,3505
Asamblea,BOYACA,ANGELA ROCIO UMAÑA ROJAS,PARTIDO CONSERVADOR COLOMBIANO,3483
Asamblea,BOYACA,ANTONIO ERNESTO LEGUIZAMO DIAZ,PARTIDO LIBERAL COLOMBIANO,3429
Asamblea,BOYACA,ARMANDO  BUITRAGO ACEVEDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3519
Asamblea,BOYACA,AURA LUCIA ORTIZ CARDONA,PARTIDO CENTRO DEMOCRATICO,3448
Asamblea,BOYACA,CARLOS ALFREDO SIZA BLANCO,PARTIDO CONSERVADOR COLOMBIANO,3476
