corp,dpto,name,party,wp_no
Asamblea,CAQUETA,ACENED  OSORIO SANTOFIMIO,PARTIDO ALIANZA VERDE,2326
Asamblea,CAQUETA,ALBER  ENCARNACION POLANIA,COALICION ALTERNATIVA,2373
Asamblea,CAQUETA,ALBERTO  JARAMILLO BETANCOURT,PARTIDO CENTRO DEMOCRATICO,2296
Asamblea,CAQUETA,ALEXIS  TAPASCO VALDERRAMA,PARTIDO CENTRO DEMOCRATICO,2298
Asamblea,CAQUETA,ANCISAR  MOSQUERA AULLON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2337
Asamblea,CAQUETA,ANGIE CATHERINE COLLAZOS VALENZUELA,COALICION ALTERNATIVA,2367
Asamblea,CAQUETA,ANIBAL  MORANTES RINCON,COALICION ALTERNATIVA,2370
Asamblea,CAQUETA,ANYELA TATIANA MUÑOZ BOCANEGRA,PARTIDO CENTRO DEMOCRATICO,2301
Asamblea,CAQUETA,ARTURO  PERDOMO GRANJA,PARTIDO ALIANZA VERDE,2335
Asamblea,CAQUETA,BALVINO  POLO HURTADO,COALICION ALTERNATIVA,2372
Asamblea,CAQUETA,BRANDON CAMILO MURILLO MONTIEL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2343
Asamblea,CAQUETA,CAMPOELIAS  BARRAGAN VALENCIA,PARTIDO CONSERVADOR COLOMBIANO,2313
Asamblea,CAQUETA,CARLOS ALBERTO VILLA PADILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2361
Asamblea,CAQUETA,CARLOS ARTURO MAYORGA MORA,COALICION ALTERNATIVA,2364
Asamblea,CAQUETA,CARLOS HUMBERTO MORA TRUJILLO,PARTIDO CAMBIO RADICAL,2325
Asamblea,CAQUETA,DERLY AZUCENA AVENDAÑO CRUZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2358
Asamblea,CAQUETA,DIANA  PINZON MUÑOZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2339
Asamblea,CAQUETA,DIANA PAOLA VARGAS ,PARTIDO CAMBIO RADICAL,2320
