corp,dpto,name,party,wp_no
Asamblea,CASANARE,ABEL DE JESUS MONTOYA LEON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2437
Asamblea,CASANARE,ADRIAN  GONZALEZ OVALLE,PARTIDO CONSERVADOR COLOMBIANO,2409
Asamblea,CASANARE,ADRIANA MARCELA PRIETO VARGAS,PARTIDO ALIANZA VERDE,2422
Asamblea,CASANARE,ANA DERLY RONCANCIO VALBUENA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2443
Asamblea,CASANARE,ANTONYS  GARCES BULA,COALICION CASANARE,2456
Asamblea,CASANARE,ARLENY  BARRAGAN OCAMPO,PARTIDO COLOMBIA JUSTA LIBRES,2394
Asamblea,CASANARE,ARLEY DARIO RATIVA TAPIAS,PARTIDO CAMBIO RADICAL,2416
Asamblea,CASANARE,ASTRITH JISELA WILCHES BARRERA,PARTIDO CONSERVADOR COLOMBIANO,2412
Asamblea,CASANARE,BEXY YALILE TIBADUIZA MONTOYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2442
Asamblea,CASANARE,BLANCA LILIA VARGAS BUITRAGO,PARTIDO CAMBIO RADICAL,2420
Asamblea,CASANARE,BLANCA NELLY CADENA HUERTAS,PARTIDO ALIANZA VERDE,2429
Asamblea,CASANARE,CARLOS ALONSO CAMARGO RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,2378
Asamblea,CASANARE,CARLOS EDUARDO MEJIA VARGAS,PARTIDO ADA,2398
Asamblea,CASANARE,CARLOS FREDY MEJIA RIVERA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2464
Asamblea,CASANARE,CESAR FABIAN CAMARGO ZEA,PARTIDO ALIANZA VERDE,2426
Asamblea,CASANARE,CHRISTIAN LEONEL CASTAÑEDA VILLAMIZAR,PARTIDO LIBERAL COLOMBIANO,2379
Asamblea,CASANARE,CHRISTIAN RODRIGO PEREZ GUTIERREZ,PARTIDO CAMBIO RADICAL,2418
Asamblea,CASANARE,CLAUDIA PATRICIA NIÑO CHAPARRO,COALICION CASANARE,2461
Asamblea,CASANARE,CRISTOBAL  TORRES PEREZ,PARTIDO LIBERAL COLOMBIANO,2382
Asamblea,CASANARE,DEISY CAROLINA MARTINEZ VARGAS,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2472
Asamblea,CASANARE,DERNEY  RODRIGUEZ VELANDIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2438
Asamblea,CASANARE,DIANA MERCEDES LOPEZ LUNA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,2388
