corp,dpto,name,party,wp_no
Asamblea,CHOCO,AFRANIO  ALLIN MORENO,PARTIDO CAMBIO RADICAL,883
Asamblea,CHOCO,ALFREDO  POTES GAMBOA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,910
Asamblea,CHOCO,AMELIA DEL PILAR PRADO HURTADO,PARTIDO ALIANZA VERDE,895
Asamblea,CHOCO,ANA GLADYS RIOS BORJA,PARTIDO ADA,869
Asamblea,CHOCO,ANA JULIA MOSQUERA MORENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,840
Asamblea,CHOCO,ANDERSON ADOLFO PALACIOS URRUTIA,PARTIDO LIBERAL COLOMBIANO,821
Asamblea,CHOCO,ANIBAL  SALAS PALACIOS,PARTIDO COLOMBIA RENACIENTE,855
Asamblea,CHOCO,ARINSON  CORREA RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,924
Asamblea,CHOCO,ARLEIS  MOSQUERA IBARGUEN,PARTIDO COLOMBIA JUSTA LIBRES,845
Asamblea,CHOCO,ARMANDO  PEREA GARCIA,PARTIDO CAMBIO RADICAL,887
Asamblea,CHOCO,AURELINO  QUEJADA CUESTA,COALICION POR LA VIDA LA PAZ Y EL TERRITORIO,926
Asamblea,CHOCO,BARBARA ESTEBAN MENA PALACIOS,PARTIDO COLOMBIA RENACIENTE,856
Asamblea,CHOCO,BENIGNO  MOSQUERA ASPRILLA,PARTIDO COLOMBIA RENACIENTE,852
Asamblea,CHOCO,BETSY YANET VALENCIA MENA,PARTIDO COLOMBIA JUSTA LIBRES,846
Asamblea,CHOCO,CARLOS CESAR POTES PEREA,PARTIDO CAMBIO RADICAL,891
Asamblea,CHOCO,CARLOS EDUARDO GARCIA FLOREZ,PARTIDO ALIANZA VERDE,896
Asamblea,CHOCO,CARLOS JHONATAN LEMOS HURTADO,PARTIDO CAMBIO RADICAL,884
Asamblea,CHOCO,CARLOS LLARLEY PALACIOS ,COALICION POR LA VIDA LA PAZ Y EL TERRITORIO,928
Asamblea,CHOCO,CARMEN CRISTINA SANCHEZ MOSQUERA,PARTIDO COLOMBIA JUSTA LIBRES,847
Asamblea,CHOCO,CASIMIRO  MOSQUERA PALACIOS,PARTIDO CAMBIO RADICAL,885
Asamblea,CHOCO,DANIEL  TRUJILLO CHAVERRA,PARTIDO CONSERVADOR COLOMBIANO,871
Asamblea,CHOCO,DANIELA  MENA ANCHICO,PARTIDO CONSERVADOR COLOMBIANO,875
Asamblea,CHOCO,DARWIN  VIVAS MENA,PARTIDO CONSERVADOR COLOMBIANO,881
Asamblea,CHOCO,DAVINSON  SAAVEDRA BLANDON,PARTIDO ALIANZA VERDE,901
Asamblea,CHOCO,DINALUZ  MOSQUERA RENGIFO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,923
Asamblea,CHOCO,DISAN YELITH ROA CORDOBA,PARTIDO CONSERVADOR COLOMBIANO,877
Asamblea,CHOCO,EDUARDO  MORENO MARTINEZ,PARTIDO ALIANZA VERDE,902
Asamblea,CHOCO,ELIRIS  RODRIGUEZ MURILLO,PARTIDO COLOMBIA RENACIENTE,857
Asamblea,CHOCO,ELVING ESTIBINSON MEJIA MORENO,PARTIDO CONSERVADOR COLOMBIANO,880
Asamblea,CHOCO,EVER HERNANDO ROMAÑA CAICEDO,PARTIDO CONSERVADOR COLOMBIANO,876
Asamblea,CHOCO,EZEQUIEL  LOZANO LOPEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,921
Asamblea,CHOCO,FALDER  CHAMI SINIGUI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,832
Asamblea,CHOCO,FAUSSI ELIAS YURGAKY PEREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,913
Asamblea,CHOCO,FLOVER DE LA CRUZ RODRIGUEZ MOSQUERA,PARTIDO COLOMBIA JUSTA LIBRES,843
Asamblea,CHOCO,GILDARDO  FIGUEROA RENTERIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,906
Asamblea,CHOCO,GILIBERT HERNAN VELASQUEZ SALGUERO,PARTIDO ADA,870
Asamblea,CHOCO,GLEINYS XIOMARA CAMPAÑA BORJA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,833
Asamblea,CHOCO,GONZALO EMILIO COPETE ASPRILLA,PARTIDO CAMBIO RADICAL,882
Asamblea,CHOCO,HARINSON  MOSQUERA GUERRERO,PARTIDO CONSERVADOR COLOMBIANO,872
Asamblea,CHOCO,HEILER  ALUMA OREJUELA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,838
Asamblea,CHOCO,HENRY  VALOYES QUEJADA,PARTIDO ALIANZA VERDE,894
Asamblea,CHOCO,HENRY DIEGO MOSQUERA GONZALEZ,PARTIDO ALIANZA VERDE,898
Asamblea,CHOCO,HENRY HONORIO MOSQUERA RENTERIA,PARTIDO CONSERVADOR COLOMBIANO,874
Asamblea,CHOCO,HENRY JUNIOR LOPEZ PANDALES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,837
Asamblea,CHOCO,INDIRA SOFIA SALAZAR MENA,PARTIDO COLOMBIA RENACIENTE,859
Asamblea,CHOCO,JAFET  BEJARANO SANCHEZ,PARTIDO ADA,861
Asamblea,CHOCO,JAMES YUBERT MORALES IBARGUEN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,841
Asamblea,CHOCO,JASER  MURILLO RAMIREZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,925
Asamblea,CHOCO,JAVIER ANGEL GONZALEZ ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,842
Asamblea,CHOCO,JHON FREDY MORENO QUINTERO,PARTIDO ADA,866
Asamblea,CHOCO,JHON JAIRO CORDOBA BENITEZ,PARTIDO ADA,862
Asamblea,CHOCO,JHON JAIRO PARRA BLANDON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,907
Asamblea,CHOCO,JORGE ELIECER MOSQUERA MOSQUERA,PARTIDO COLOMBIA JUSTA LIBRES,844
Asamblea,CHOCO,JORGE ENRIQUE MOSQUERA LOZANO,PARTIDO LIBERAL COLOMBIANO,829
Asamblea,CHOCO,JOSE DE LOS SANTO PEPE BATEZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,834
Asamblea,CHOCO,JOSE DIOGENES PALACIOS MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,879
Asamblea,CHOCO,JOSE GENARO MURILLO MURILLO,PARTIDO CAMBIO RADICAL,886
Asamblea,CHOCO,JOSE NEMESIO MOSQUERA IBARGUEN,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,915
Asamblea,CHOCO,JUAN CARLOS SANCHEZ MENA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,918
Asamblea,CHOCO,JULIA EMILIA MOSQUERA MENA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,919
Asamblea,CHOCO,JULIO DIONICIO PALACIOS LONDOÑO,PARTIDO COLOMBIA RENACIENTE,854
Asamblea,CHOCO,KALER ESTID CASTRO PINO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,836
