corp,dpto,name,party,wp_no
Asamblea,CORDOBA,AGLAE DINORA CARABALLO MERCADO,PARTIDO CONSERVADOR COLOMBIANO,642
Asamblea,CORDOBA,ALBEIRO JOSE BEGAMBRE DURANGO,UNIDOS POR CORDOBA,686
Asamblea,CORDOBA,ALDA NILER PERDOMO ARGUMEDO,UNIDOS POR CORDOBA,689
Asamblea,CORDOBA,ALDRIN LUIS PINEDO SANCHEZ,PARTIDO LIBERAL COLOMBIANO,627
Asamblea,CORDOBA,ANA MARIA CORREA JIMENEZ,CORDOBA TIENE FUTURO,672
Asamblea,CORDOBA,ANIBAL ANDRES ORTIZ GONZALEZ,PARTIDO LIBERAL COLOMBIANO,630
Asamblea,CORDOBA,ANTONIO MARIA ORTEGA OTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,670
Asamblea,CORDOBA,ARQUIMEDES DE JESUS RODRIGUEZ ,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,631
Asamblea,CORDOBA,BEATRIZ HELENA PETRO HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,661
Asamblea,CORDOBA,CARLOS ALFONSO BURGOS GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,662
Asamblea,CORDOBA,CARMEN ROSA PALACIO CASARRUBIA,PARTIDO COLOMBIA JUSTA LIBRES,637
Asamblea,CORDOBA,CERLYS JOHANA ANAYA CUADROS,PARTIDO CONSERVADOR COLOMBIANO,651
Asamblea,CORDOBA,CLAUDIA PATRICIA MARTINEZ PETRO,CORDOBA TIENE FUTURO,681
Asamblea,CORDOBA,DANIA CATALINA NIÑO VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,666
Asamblea,CORDOBA,DARIO ENRIQUE MENDOZA FUENTES,CORDOBA TIENE FUTURO,675
Asamblea,CORDOBA,DAVID RICARDO BURGOS VERGARA,PARTIDO POLITICO MIRA,658
Asamblea,CORDOBA,DIEGO JOSE PALLARES MANGONES,PARTIDO CONSERVADOR COLOMBIANO,647
Asamblea,CORDOBA,DOMINGO JOSE ROSSO AGUAS,UNIDOS POR CORDOBA,688
Asamblea,CORDOBA,EDUAR RAFAEL VEGA DORIA,PARTIDO CONSERVADOR COLOMBIANO,650
Asamblea,CORDOBA,ELAINE ARGENIDA CASTILLO MARCELES,PARTIDO COLOMBIA JUSTA LIBRES,636
Asamblea,CORDOBA,ELIGIO ANTONIO PESTANA ROJAS,CORDOBA TIENE FUTURO,680
Asamblea,CORDOBA,ELIO MARIANO HOYOS FRANCO,PARTIDO LIBERAL COLOMBIANO,623
Asamblea,CORDOBA,FABIAN ENRIQUE LORA MENDEZ,CORDOBA TIENE FUTURO,671
Asamblea,CORDOBA,FABIO JOSE PINEDA CONTRERAS,PARTIDO LIBERAL COLOMBIANO,619
Asamblea,CORDOBA,GRETA CECILIA HERNANDEZ LARA,PARTIDO LIBERAL COLOMBIANO,625
Asamblea,CORDOBA,GREY ESTELLA JULIO FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,649
Asamblea,CORDOBA,IRLENA PATRICIA TIRADO REYES,UNIDOS POR CORDOBA,691
Asamblea,CORDOBA,ISABEL CARMENZA TAVERA MARTINEZ,UNIDOS POR CORDOBA,685
Asamblea,CORDOBA,ISABELLA MARIA NAVARRO PETRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,664
Asamblea,CORDOBA,ISACC  DELGADO RIOS,UNIDOS POR CORDOBA,692
Asamblea,CORDOBA,IVAN DARIO FIGUEROA VILLADIEGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,665
Asamblea,CORDOBA,JAIME MAURICIO BELLO DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,659
Asamblea,CORDOBA,JESSICA PAOLA GUZMAN HERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,653
Asamblea,CORDOBA,JESUS DAVID SALGADO HERRERA,CORDOBA TIENE FUTURO,682
Asamblea,CORDOBA,JORGE ARMANDO MEZA LICONA,PARTIDO COLOMBIA JUSTA LIBRES,634
Asamblea,CORDOBA,JORGE HERNAN NEGRETE TORDECILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,656
Asamblea,CORDOBA,JORGE IVAN RIOS URUETA,CORDOBA TIENE FUTURO,677
Asamblea,CORDOBA,JORGE LUIS CORDERO BELTRAN,PARTIDO COLOMBIA JUSTA LIBRES,633
Asamblea,CORDOBA,JORGE RAUL OCHOA GUERRA,PARTIDO LIBERAL COLOMBIANO,626
Asamblea,CORDOBA,JOSE DAVID NADER RAMIREZ,CORDOBA TIENE FUTURO,683
Asamblea,CORDOBA,JOSE FERNANDO COGOLLO CASTILLO,PARTIDO LIBERAL COLOMBIANO,628
Asamblea,CORDOBA,JOSE HUGO RESTAN SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,667
Asamblea,CORDOBA,JOSE JULIAN PEÑATE UPARELA,PARTIDO LIBERAL COLOMBIANO,620
Asamblea,CORDOBA,JUAN CAMILO CORRALES SALEME,PARTIDO LIBERAL COLOMBIANO,622
Asamblea,CORDOBA,JUAN DAVID POLO MENA,CORDOBA TIENE FUTURO,679
Asamblea,CORDOBA,JUAN DAVID POSADA HADDAD,PARTIDO CONSERVADOR COLOMBIANO,643
Asamblea,CORDOBA,LOURDES ELENA ACOSTA URZOLA,PARTIDO LIBERAL COLOMBIANO,621
Asamblea,CORDOBA,LUDYS ESTHER RODRIGUEZ ANGULO,PARTIDO LIBERAL COLOMBIANO,618
Asamblea,CORDOBA,LULA ESTER GARCIA SOTO,PARTIDO CONSERVADOR COLOMBIANO,644
Asamblea,CORDOBA,LUZ AMPARO HERRERA MADRID,PARTIDO POLITICO MIRA,657
Asamblea,CORDOBA,MARCO TULIO SOTO MESTRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,652
Asamblea,CORDOBA,MARIO FELIPE MALDONADO PETRO,CORDOBA TIENE FUTURO,678
Asamblea,CORDOBA,MERCEDES  PETRO MORENO,PARTIDO CONSERVADOR COLOMBIANO,648
Asamblea,CORDOBA,MIGUEL DAVID TORRALVO VARGAS,UNIDOS POR CORDOBA,684
Asamblea,CORDOBA,MONICA PATRICIA KERGUELEN JIMENEZ,CORDOBA TIENE FUTURO,676
Asamblea,CORDOBA,NARCISO MANUEL MORALES HERNANDEZ,UNIDOS POR CORDOBA,693
Asamblea,CORDOBA,NELSON JOSE FUENTES BALLESTA,PARTIDO LIBERAL COLOMBIANO,629
Asamblea,CORDOBA,NELSY  PALMA OROZCO,PARTIDO LIBERAL COLOMBIANO,624
Asamblea,CORDOBA,OLGA LUCIA LOZANO MEJIA,PARTIDO COLOMBIA JUSTA LIBRES,632
Asamblea,CORDOBA,ONASIS MIGUEL GONZALEZ MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,660
Asamblea,CORDOBA,OSCAR LUIS RAMIREZ RHENALS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,669
Asamblea,CORDOBA,RAFAEL BENJAMIN MENDEZ PRADA,PARTIDO COLOMBIA JUSTA LIBRES,635
Asamblea,CORDOBA,RAMON JOSE BARRIOS IRIARTE,UNIDOS POR CORDOBA,687
Asamblea,CORDOBA,REMBERTO ANTONIO TAPIA HERRERA,PARTIDO CONSERVADOR COLOMBIANO,641
Asamblea,CORDOBA,RICHARD ANTONIO TORRES DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,654
