corp,dpto,name,party,wp_no
Asamblea,CUNDINAMARCA,ANA ELIANA GARCIA MONROY,PARTIDO CAMBIO RADICAL,755
Asamblea,CUNDINAMARCA,ANA MARIA HENAO SALAZAR,PARTIDO CAMBIO RADICAL,759
Asamblea,CUNDINAMARCA,ANA VITALIA GONZALEZ SUAVITA,PARTIDO COLOMBIA JUSTA LIBRES,730
Asamblea,CUNDINAMARCA,ANGGY SUSANA ALFONSO RUEDA,PARTIDO COLOMBIA RENACIENTE,742
Asamblea,CUNDINAMARCA,ANTONIO FARITH ARLEY GONZALEZ VASQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,782
Asamblea,CUNDINAMARCA,ASTRID CAROLINA GOMEZ SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,788
Asamblea,CUNDINAMARCA,BERTHA LUCIA MATIZ ,PARTIDO COLOMBIA JUSTA LIBRES,733
Asamblea,CUNDINAMARCA,BLANCA LILIA HERRERA REINA,PARTIDO LIBERAL COLOMBIANO,698
Asamblea,CUNDINAMARCA,BLANCA OLIVA BALLESTEROS CASTAÑEDA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,750
Asamblea,CUNDINAMARCA,CAMILO  PERDOMO PERDOMO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,811
Asamblea,CUNDINAMARCA,CAMILO ANDRES BARACALDO CARDENAS,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,804
Asamblea,CUNDINAMARCA,CAMPO ALEXANDER PRIETO GARCIA,PARTIDO LIBERAL COLOMBIANO,700
Asamblea,CUNDINAMARCA,CARLOS ANDRES BARRETO LOZANO,PARTIDO COLOMBIA RENACIENTE,746
Asamblea,CUNDINAMARCA,CARLOS ARTURO PRIETO COLLAZOS,PARTIDO COLOMBIA JUSTA LIBRES,734
Asamblea,CUNDINAMARCA,CARLOS JOSE SANDOVAL GONZALEZ,PARTIDO CENTRO DEMOCRATICO,715
Asamblea,CUNDINAMARCA,CESAR ALIRIO ROJAS JARAMILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,777
Asamblea,CUNDINAMARCA,CESAR AUGUSTO INTRIAGO BOGOTA,PARTIDO ALIANZA VERDE,768
Asamblea,CUNDINAMARCA,CESAR OSWALDO IREGUI GONZALEZ,PARTIDO LIBERAL COLOMBIANO,703
Asamblea,CUNDINAMARCA,CINDY JULIETH RIVEROS ALFONSO,PARTIDO COLOMBIA RENACIENTE,744
Asamblea,CUNDINAMARCA,CLAUDIA MARCELA CORREA PACHON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,779
Asamblea,CUNDINAMARCA,CLAUDIA MILENA ACEVEDO SALAZAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,798
Asamblea,CUNDINAMARCA,CONSTANZA  RAMOS CAMPOS,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,815
Asamblea,CUNDINAMARCA,CRISTIAN CAMILO LEON RAMIREZ,PARTIDO ALIANZA VERDE,770
Asamblea,CUNDINAMARCA,DAIRO WILLIAM CHAVES GARCIA,PARTIDO COLOMBIA RENACIENTE,740
Asamblea,CUNDINAMARCA,DAVID  HERNANDEZ CASTRO,PARTIDO CAMBIO RADICAL,757
Asamblea,CUNDINAMARCA,DIANA CRISTINA MOLINA BAQUERO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,806
Asamblea,CUNDINAMARCA,DIEGO ALFONSO GOMEZ RATIVA,PARTIDO CAMBIO RADICAL,762
Asamblea,CUNDINAMARCA,DIEGO FERNANDO ARELLANO BELTRAN,PARTIDO LIBERAL COLOMBIANO,705
Asamblea,CUNDINAMARCA,DIOGENES  ESCALANTE AGUIRRE,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,810
