corp,dpto,name,party,wp_no
Asamblea,QUINDIO,ALVARO  DIAZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,1428
Asamblea,QUINDIO,ANNY MELISSA ROCHA LANDERO,QUINDIO DIFERENTE,1490
Asamblea,QUINDIO,ARMANDO  ARISTIZABAL SALEG,PARTIDO LIBERAL COLOMBIANO,1432
Asamblea,QUINDIO,AUNER DE JESUS TABORDA SALDARRIAGA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1444
Asamblea,QUINDIO,CARLOS  BOLIVAR BOLIVAR,QUINDIO DIFERENTE,1489
Asamblea,QUINDIO,CESAR  LONDOÑO VILLEGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1470
Asamblea,QUINDIO,CHRISTIAM  SUAREZ GIRALDO,QUINDIO DIFERENTE,1483
Asamblea,QUINDIO,CLAUDIA FERNANDA TORO RODAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1460
Asamblea,QUINDIO,CRISTIAN ANDRES OSORIO MORALES,QUINDIO DIFERENTE,1492
Asamblea,QUINDIO,CRISTIAN CAMILO BUITRAGO ARISTIZABAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1461
Asamblea,QUINDIO,DAIRO ENRIQUE VALDERRAMA CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1462
Asamblea,QUINDIO,DIANA CATALINA LOPEZ RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1474
Asamblea,QUINDIO,DIANA MILENA RODRIGUEZ MAZO,QUINDIO DIFERENTE,1484
Asamblea,QUINDIO,DIEGO  DUQUE LOPEZ,PARTIDO POLITICO MIRA,1453
Asamblea,QUINDIO,DIEGO  SALAZAR GIRALDO,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1473
Asamblea,QUINDIO,DIEGO FERNANDO SICUA GALVIS,PARTIDO LIBERAL COLOMBIANO,1436
Asamblea,QUINDIO,ERIKA LORENA ORDOÑEZ MUÑOZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1448
Asamblea,QUINDIO,FRANCY YULI PEREZ MEDINA,PARTIDO POLITICO MIRA,1452
Asamblea,QUINDIO,GABRIEL ALEXANDER BELTRAN LEGUIZAMON,PARTIDO POLITICO MIRA,1449
Asamblea,QUINDIO,GENNYFER LORENA CALDERON VALENCIA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1445
Asamblea,QUINDIO,GLORIA EMIT GUTIERREZ SILVA,QUINDIO DIFERENTE,1488
Asamblea,QUINDIO,GUILLERMO AUGUSTO GOMEZ RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1479
Asamblea,QUINDIO,GUSTAVO  HERRERA HINCAPIE,PARTIDO POLITICO MIRA,1459
Asamblea,QUINDIO,HECTOR FABIO VILLADA GUERRERO,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1481
Asamblea,QUINDIO,HUGO FERNEY TORO MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1467
Asamblea,QUINDIO,HUMBERTO  TURRIAGO LOPEZ,PARTIDO LIBERAL COLOMBIANO,1431
Asamblea,QUINDIO,JAIME ENRIQUE REYES BARON,PARTIDO POLITICO MIRA,1457
Asamblea,QUINDIO,JAIRO MARIO BAENA MEJIA,QUINDIO DIFERENTE,1485
Asamblea,QUINDIO,JEMAY ADOLFO ARIAS MORA,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1480
Asamblea,QUINDIO,JHON JAIRO MISSE ARIZA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1442
Asamblea,QUINDIO,JHON WALTER ARICAPA LOPEZ,PARTIDO POLITICO MIRA,1456
Asamblea,QUINDIO,JORGE HERNAN GUTIERREZ ARBELAEZ,PARTIDO LIBERAL COLOMBIANO,1434
Asamblea,QUINDIO,JORGE HUMBERTO GUEVARA NARVAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1465
Asamblea,QUINDIO,JOSE HUBERNEY AGUIRRE MARTINEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1443
Asamblea,QUINDIO,JUAN CAMILO CARDENAS LUNA,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1471
Asamblea,QUINDIO,LUIS CARLOS SERNA GIRALDO,QUINDIO DIFERENTE,1482
Asamblea,QUINDIO,LUIS FABIAN BURITICA GUTIERREZ,PARTIDO POLITICO MIRA,1450
Asamblea,QUINDIO,LUIS FERNANDO ROJAS RODRIGUEZ,QUINDIO DIFERENTE,1491
Asamblea,QUINDIO,LUZ ADRIANA MEJIA GOMEZ,PARTIDO POLITICO MIRA,1458
Asamblea,QUINDIO,LUZ CARIME GRANOBLES MOLINA,PARTIDO LIBERAL COLOMBIANO,1433
Asamblea,QUINDIO,LUZ MERY BEDOYA DE LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1466
Asamblea,QUINDIO,LUZ STELLA RAMIREZ GUEVARA,QUINDIO DIFERENTE,1486
Asamblea,QUINDIO,MANUEL ALEJANDRO QUINTERO VERA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1447
Asamblea,QUINDIO,MARCELA  BERNAL RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1468
Asamblea,QUINDIO,MARIA MERCEDES VALENCIA CEDEÑO,PARTIDO POLITICO MIRA,1455
Asamblea,QUINDIO,MARIA PIEDAD RAMIREZ VALENCIA,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1477
Asamblea,QUINDIO,MARTHA JENITH TURRIAGO GARZON,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1441
Asamblea,QUINDIO,MILLER EDUARDO MOSQUERA POLO,QUINDIO DIFERENTE,1487
Asamblea,QUINDIO,MILTON ANTONIO VARGAS TOSCANO,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,1437
Asamblea,QUINDIO,MONICA LUCIA ANGEL TORO,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1476
Asamblea,QUINDIO,OCTAVIO ALEXANDER AGUDELO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1463
Asamblea,QUINDIO,OLGA LUCIA MOLINA PERDOMO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1464
Asamblea,QUINDIO,OSCAR DE JESUS LOPEZ HERNANDEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1475
Asamblea,QUINDIO,OSCAR JHOANNY AGUIRRE ALZATE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1469
Asamblea,QUINDIO,PABLO EMILIO CORRALES MORENO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1440
Asamblea,QUINDIO,PEDRO LEON MARTINEZ SANCHEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1472
Asamblea,QUINDIO,RODRIGO ALBERTO CASTRILLON ,PARTIDO LIBERAL COLOMBIANO,1429
Asamblea,QUINDIO,ROSARIO  GUEVARA SANTOS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1439
Asamblea,QUINDIO,SANDRA MILENA SALAZAR HERNANDEZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO CONSERVADOR,1478
Asamblea,QUINDIO,SHIRLEY  RIVERA ROJAS,PARTIDO LIBERAL COLOMBIANO,1435
Asamblea,QUINDIO,SONNY ALBEIRO AREIZA SALDARRIAGA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1438
Asamblea,QUINDIO,VALENTINA  TENORIO MARTINEZ,PARTIDO POLITICO MIRA,1451
Asamblea,QUINDIO,WILLIAM  MARULANDA LOPEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,1446
Asamblea,QUINDIO,YENIS YANETH ESCOBAR ESPINOSA,PARTIDO LIBERAL COLOMBIANO,1430
Asamblea,QUINDIO,YOLANDA  DELGADO MARTINEZ,PARTIDO POLITICO MIRA,1454
