corp,dpto,name,party,wp_no
Asamblea,VICHADA,ABEL  MAHECHA MEDINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3659
Asamblea,VICHADA,ADALUZ  LANDAHETA SOTO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3667
Asamblea,VICHADA,ADOLFO  YABIMA ANDUEZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3649
Asamblea,VICHADA,ALBA LUCIA MALDONADO SOLANO,PARTIDO CAMBIO RADICAL,3628
Asamblea,VICHADA,ALEIDA  FORERO FERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3656
Asamblea,VICHADA,ALEJANDRA  BUITRAGO ECHAVARRIA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,3593
Asamblea,VICHADA,ALFONSO  ORTEGA MANCIPE,PARTIDO COLOMBIA RENACIENTE,3604
Asamblea,VICHADA,ANDRES FERNANDO AGUIRRE OSUNA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3666
Asamblea,VICHADA,ANGELA MARIA FLOREZ BAQUERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3583
Asamblea,VICHADA,AUDELINA  GOMEZ MORENO,PARTIDO LIBERAL COLOMBIANO,3565
Asamblea,VICHADA,AUGUSTO  JIMENEZ GAITAN,PARTIDO COLOMBIA RENACIENTE,3613
Asamblea,VICHADA,AURA MARIA PONARE SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3584
Asamblea,VICHADA,BERENICE  ORTIZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3661
Asamblea,VICHADA,BILCEN  REINA GALINDO,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,3591
Asamblea,VICHADA,BLANCA NIEVES MARTINEZ MANFARA,PARTIDO CONSERVADOR COLOMBIANO,3622
Asamblea,VICHADA,BRAHAYAN ANDRES BUITRAGO OSORIO,PARTIDO COLOMBIA RENACIENTE,3609
Asamblea,VICHADA,CARLOS ANDRES BELTRAN YAVINAPE,PARTIDO CONSERVADOR COLOMBIANO,3620
Asamblea,VICHADA,CARLOS ARTURO SALAZAR MONTAÑO,PARTIDO LIBERAL COLOMBIANO,3568
Asamblea,VICHADA,CARLOS EUGENIO GONZALEZ LESMES,PARTIDO COLOMBIA JUSTA LIBRES,3600
Asamblea,VICHADA,CARLOS JULIO NIETO MARIN,PARTIDO CAMBIO RADICAL,3633
Asamblea,VICHADA,CARLOS NICOLAS RODRIGUEZ GAITAN,PARTIDO ALIANZA VERDE,3644
Asamblea,VICHADA,CARLOS RAMON CUELLAR UNDA,PARTIDO CONSERVADOR COLOMBIANO,3623
Asamblea,VICHADA,CARMEN LUCY TREJO GAITAN,PARTIDO CENTRO DEMOCRATICO,3576
Asamblea,VICHADA,CLAUDIA  CHIPIAJE PIÑA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3646
Asamblea,VICHADA,DANIEL ALBERTO CARDOZO MORALES,PARTIDO ALIANZA VERDE,3637
Asamblea,VICHADA,DEISON YAIR PADILLA VALOYES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3589
Asamblea,VICHADA,DEXY YAIBELY ROJAS PRADA,PARTIDO COLOMBIA JUSTA LIBRES,3603
Asamblea,VICHADA,EDER YESID RIOS CUDEMUS,PARTIDO CENTRO DEMOCRATICO,3569
Asamblea,VICHADA,EDGAR  LADINO MORA,PARTIDO CONSERVADOR COLOMBIANO,3624
Asamblea,VICHADA,EDILSON  CURBELO CUMANAICA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3582
Asamblea,VICHADA,EDISON JAVIER REQUINIVA TEERAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3647
Asamblea,VICHADA,EDITH EMILCE ALDANA RODRIGUEZ,PARTIDO COLOMBIA RENACIENTE,3608
Asamblea,VICHADA,ENGIVER  ESTEVEZ GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3670
Asamblea,VICHADA,ESNEIDER FABIAN MARULANDA LOPEZ,PARTIDO CENTRO DEMOCRATICO,3570
Asamblea,VICHADA,ESTEBAN  NIÑO CUMANAICA,PARTIDO CAMBIO RADICAL,3632
Asamblea,VICHADA,FANNY  GONZALEZ MACABARE,PARTIDO COLOMBIA JUSTA LIBRES,3601
Asamblea,VICHADA,FERNANDO  CELIS PINEDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3652
Asamblea,VICHADA,FLOR GABRIELINA YAVIMA RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3658
Asamblea,VICHADA,FRANKLIN HUMBERTO ARIAS GRISALES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3655
