corp,dpto,mpio,name,party,wp_no
Concejo,AMAZONAS,LETICIA,ALEJANDRO CAMILO OLARTE MORA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,92938
Concejo,AMAZONAS,LETICIA,ALIRIO  TORRES MARTINEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,92970
Concejo,AMAZONAS,LETICIA,ALVARO  MUÑOZ PINTO,PARTIDO POLITICO MIRA,92950
Concejo,AMAZONAS,LETICIA,ALVARO DE JESUS ALVAREZ OSORIO,PARTIDO CONSERVADOR COLOMBIANO,92905
Concejo,AMAZONAS,LETICIA,ANA GILDA ANGULO ALVES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,92977
Concejo,AMAZONAS,LETICIA,ANGEL GUILLERMO PEREZ MOZOMBITE,PARTIDO CAMBIO RADICAL,92922
Concejo,AMAZONAS,LETICIA,ANGIE SMITH TAPAYURI PEÑA,PARTIDO CENTRO DEMOCRATICO,92862
Concejo,AMAZONAS,LETICIA,ANTONIO  BOLIVAR SALVADOR,PARTIDO LIBERAL COLOMBIANO,92845
Concejo,AMAZONAS,LETICIA,ANTONIO  ISIDIO BALLESILLA,PARTIDO CAMBIO RADICAL,92914
Concejo,AMAZONAS,LETICIA,ARCENIO  GARCIA NUÑEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,92957
Concejo,AMAZONAS,LETICIA,BAUDILIO  ANDRES RAMOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,92874
Concejo,AMAZONAS,LETICIA,BERTHA  PINEDA BERNAL,PARTIDO COLOMBIA RENACIENTE,92890
Concejo,AMAZONAS,LETICIA,BLANCA NIEVES MURAYARI AMIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,92958
Concejo,AMAZONAS,LETICIA,BRAYAN CAMILO SUAREZ CAMAYO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,92880
Concejo,AMAZONAS,LETICIA,BRAYAN HERNAN HUANIRI CHUÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,92965
Concejo,AMAZONAS,LETICIA,BRYAN AUGUSTO WILCHES SUAREZ,PARTIDO LIBERAL COLOMBIANO,92849
