corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,ALEJANDRIA,ADELFA MARIA GUARIN ATEHORTUA,UNIDOS POR ALEJANDRIA,9259
Concejo,ANTIOQUIA,ALEJANDRIA,ALFONSINA  MORALES RIOS,PARTIDO CENTRO DEMOCRATICO,9228
Concejo,ANTIOQUIA,ALEJANDRIA,ANA ISABEL TUMBLE ARBOLEDA,PARTIDO CAMBIO RADICAL,9244
Concejo,ANTIOQUIA,ALEJANDRIA,ANGEL JOSE MESA BEDOYA,PARTIDO CONSERVADOR COLOMBIANO,9232
Concejo,ANTIOQUIA,ALEJANDRIA,ANGI PAOLA VALENCIA ARBOLEDA,UNIDOS POR ALEJANDRIA,9255
Concejo,ANTIOQUIA,ALEJANDRIA,ARLEY HUMBERTO OSORIO VARGAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,9247
Concejo,ANTIOQUIA,ALEJANDRIA,ARNOLDO DE JESUS VASQUEZ BURITICA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9248
Concejo,ANTIOQUIA,ALEJANDRIA,ARNULFO ANTONIO VERGARA GUARIN,PARTIDO LIBERAL COLOMBIANO,9224
Concejo,ANTIOQUIA,ALEJANDRIA,BENEDO ANTONIO VARGAS SANDOVAL,PARTIDO CENTRO DEMOCRATICO,9231
Concejo,ANTIOQUIA,ALEJANDRIA,BERTA LILIA VILLA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9251
Concejo,ANTIOQUIA,ALEJANDRIA,BLANCA ISABEL GUARIN SANDOVAL,PARTIDO CONSERVADOR COLOMBIANO,9236
Concejo,ANTIOQUIA,ALEJANDRIA,CARLOS ALBEIRO GIL CIFUENTES,PARTIDO CONSERVADOR COLOMBIANO,9233
Concejo,ANTIOQUIA,ALEJANDRIA,CLAUDIA MILENA AGUDELO RENDON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,9246
Concejo,ANTIOQUIA,ALEJANDRIA,DARIO DE JESUS QUINTERO TAMAYO,PARTIDO LIBERAL COLOMBIANO,9222
Concejo,ANTIOQUIA,ALEJANDRIA,EDWIN ALEXANDER MARIN BEDOYA,UNIDOS POR ALEJANDRIA,9256
Concejo,ANTIOQUIA,ALEJANDRIA,ESPERANZA EMILIA VALENCIA MUNERA,PARTIDO CONSERVADOR COLOMBIANO,9237
Concejo,ANTIOQUIA,ALEJANDRIA,HECTOR IVAN HINCAPIE OROZCO,PARTIDO CAMBIO RADICAL,9240
Concejo,ANTIOQUIA,ALEJANDRIA,HUMBERTO DE JESUS MUÑOZ ,PARTIDO LIBERAL COLOMBIANO,9226
Concejo,ANTIOQUIA,ALEJANDRIA,JENNY MABEL MARQUEZ VALENCIA,PARTIDO CAMBIO RADICAL,9245
Concejo,ANTIOQUIA,ALEJANDRIA,JOHN JAIRO MUÑOZ CADAVID,UNIDOS POR ALEJANDRIA,9258
Concejo,ANTIOQUIA,ALEJANDRIA,JOSE ALFADYS MARIN HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,9235
Concejo,ANTIOQUIA,ALEJANDRIA,JOSE OLIVERIO MORALES GUARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9249
Concejo,ANTIOQUIA,ALEJANDRIA,JUAN ANDRES QUINTERO ARCILA,PARTIDO CAMBIO RADICAL,9241
Concejo,ANTIOQUIA,ALEJANDRIA,LIGIA DE JESUS MORALES GARCIA,PARTIDO LIBERAL COLOMBIANO,9225
Concejo,ANTIOQUIA,ALEJANDRIA,LUIS ARCADIO PAMPLONA MORALES,UNIDOS POR ALEJANDRIA,9260
Concejo,ANTIOQUIA,ALEJANDRIA,LUZ ESNEDA VELASQUEZ MORALES,PARTIDO CONSERVADOR COLOMBIANO,9238
Concejo,ANTIOQUIA,ALEJANDRIA,MARIA GIMENA MARIN RIOS,PARTIDO CENTRO DEMOCRATICO,9229
Concejo,ANTIOQUIA,ALEJANDRIA,MARIA LUCERO LOPEZ DUQUE,UNIDOS POR ALEJANDRIA,9261
Concejo,ANTIOQUIA,ALEJANDRIA,MARLENY AMPARO GUTIERREZ QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9254
Concejo,ANTIOQUIA,ALEJANDRIA,NATALIA PATRICIA GOMEZ GUARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9252
Concejo,ANTIOQUIA,ALEJANDRIA,NELSON HERNAN MORALES GUTIERREZ,UNIDOS POR ALEJANDRIA,9257
Concejo,ANTIOQUIA,ALEJANDRIA,OSCAR HUMBERTO GUARIN RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9250
Concejo,ANTIOQUIA,ALEJANDRIA,RINA PATRICIA LOPEZ SUAREZ,PARTIDO CAMBIO RADICAL,9243
Concejo,ANTIOQUIA,ALEJANDRIA,RUPERTO ANTONIO MORALES GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,9234
