corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,ANDES,ABELARDO  RESTREPO SALDARRIAGA,PARTIDO CONSERVADOR COLOMBIANO,12826
Concejo,ANTIOQUIA,ANDES,ALBA LUCIA ACEVEDO GRAJALES,PARTIDO CAMBIO RADICAL,12839
Concejo,ANTIOQUIA,ANDES,ALBERTO  CARDONA RESTREPO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12875
Concejo,ANTIOQUIA,ANDES,ALEISER ALONSO DE JESUS BUSTAMANTE TABARES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,12901
Concejo,ANTIOQUIA,ANDES,ALEJANDRO  MONTOYA COLORADO,PARTIDO CONSERVADOR COLOMBIANO,12825
Concejo,ANTIOQUIA,ANDES,ALICIA MARIA OCAMPO BEDOYA,PARTIDO CENTRO DEMOCRATICO,12815
Concejo,ANTIOQUIA,ANDES,ALVEIRO DE JESUS MORA TABORDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12882
Concejo,ANTIOQUIA,ANDES,ANA NORENA RESTREPO RUIZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12866
Concejo,ANTIOQUIA,ANDES,ANDRES FELIPE ZAPATA ARREDONDO,PARTIDO LIBERAL COLOMBIANO,12796
Concejo,ANTIOQUIA,ANDES,ANGGIE YORGENIS AGUDELO RUIZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,117797
Concejo,ANTIOQUIA,ANDES,ARMANDO DE JESUS GALLEGO ,PARTIDO CENTRO DEMOCRATICO,12816
Concejo,ANTIOQUIA,ANDES,BIBIANA ALEXANDRA COLORADO VANEGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12873
Concejo,ANTIOQUIA,ANDES,CARLOS ALBERTO RIVERA MURILLO,PARTIDO ALIANZA VERDE,12856
Concejo,ANTIOQUIA,ANDES,CARLOS ALBERTO SALDARRIAGA TOBON,PARTIDO CENTRO DEMOCRATICO,12808
Concejo,ANTIOQUIA,ANDES,CARLOS HUMBERTO GARCIA RUIZ,PARTIDO CENTRO DEMOCRATICO,12809
Concejo,ANTIOQUIA,ANDES,CARLOS JOSE VELEZ AGUDELO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12859
Concejo,ANTIOQUIA,ANDES,CARLOS MARIO ALVAREZ ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,12829
Concejo,ANTIOQUIA,ANDES,CARLOS MARIO PATIÑO BUSTAMANTE,PARTIDO ALIANZA VERDE,12857
Concejo,ANTIOQUIA,ANDES,CARLOS MARIO ZAPATA RAIGOSA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12870
Concejo,ANTIOQUIA,ANDES,CAROLINA  VELEZ QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12880
Concejo,ANTIOQUIA,ANDES,CATALINA ANDREA VANEGAS RAIGOZA,PARTIDO CENTRO DEMOCRATICO,12819
Concejo,ANTIOQUIA,ANDES,CRISTIAN  SANCHEZ SANCHEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,12806
Concejo,ANTIOQUIA,ANDES,DANIEL  CASTAÑEDA LONDOÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12862
Concejo,ANTIOQUIA,ANDES,DANIEL ALEXANDER TABORDA TABORDA,PARTIDO LIBERAL COLOMBIANO,12795
Concejo,ANTIOQUIA,ANDES,DANIEL FELIPE CORREA VASQUEZ,PARTIDO LIBERAL COLOMBIANO,12793
Concejo,ANTIOQUIA,ANDES,DANIELA ALEXANDRA SERRANO MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12892
Concejo,ANTIOQUIA,ANDES,DAVID ALBERTO VASQUEZ CHAVARRIA,PARTIDO ALIANZA VERDE,12852
Concejo,ANTIOQUIA,ANDES,DEISON ALONSO HERRERA AGUDELO,PARTIDO CAMBIO RADICAL,12844
Concejo,ANTIOQUIA,ANDES,DEYSI CAROLINA SUAREZ SALDARRIAGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12879
Concejo,ANTIOQUIA,ANDES,DIANA MARCELA CORREA RESTREPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12890
