corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,ANGOSTURA,ALBEIRO ELIAS PAREJA ATEHORTUA,PARTIDO LIBERAL COLOMBIANO,15418
Concejo,ANTIOQUIA,ANGOSTURA,ANDRES RODOLFO ARANGO CARRASQUILLA,PARTIDO CAMBIO RADICAL,15458
Concejo,ANTIOQUIA,ANGOSTURA,ANLLY YULIETH ATEHORTUA ZEA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15477
Concejo,ANTIOQUIA,ANGOSTURA,ARGIRO  GOMEZ GOMEZ,PARTIDO LIBERAL COLOMBIANO,15414
Concejo,ANTIOQUIA,ANGOSTURA,ARGIRO DE JESUS QUIROS PATIÑO,PARTIDO LIBERAL COLOMBIANO,15409
Concejo,ANTIOQUIA,ANGOSTURA,BERTHA NOLFA DEL SOCORRO JARAMILLO PRECIADO,PARTIDO CONSERVADOR COLOMBIANO,15442
Concejo,ANTIOQUIA,ANGOSTURA,BIBIANA ANDREA QUINTANA HERNANDEZ,PARTIDO CAMBIO RADICAL,15454
Concejo,ANTIOQUIA,ANGOSTURA,BRIYAN SANTIAGO LONDOÑO HINCAPIE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15479
Concejo,ANTIOQUIA,ANGOSTURA,CARLOS ADRIAN MUNERA CALLE,PARTIDO CAMBIO RADICAL,15452
Concejo,ANTIOQUIA,ANGOSTURA,CARLOS ALBERTO RAMIREZ GARCIA,PARTIDO CENTRO DEMOCRATICO,15428
Concejo,ANTIOQUIA,ANGOSTURA,CARLOS BALTAZAR PIEDRAHITA PIEDRAHITA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15476
Concejo,ANTIOQUIA,ANGOSTURA,CRUZ MABEL RODRIGUEZ OSORIO,PARTIDO CAMBIO RADICAL,15459
Concejo,ANTIOQUIA,ANGOSTURA,DAIRO DE JESUS LOPEZ CUARTAS,PARTIDO ALIANZA VERDE,15471
Concejo,ANTIOQUIA,ANGOSTURA,DANIEL GERONIMO VIDAL CARRASQUILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15475
Concejo,ANTIOQUIA,ANGOSTURA,DAVID ESTEBAN VIDALES AYALA,PARTIDO CAMBIO RADICAL,15456
Concejo,ANTIOQUIA,ANGOSTURA,DEIBY ARLEY CHAVARRIA POSADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15483
Concejo,ANTIOQUIA,ANGOSTURA,DIEGO ALBERTO CARRASQUILLA ,PARTIDO COLOMBIA RENACIENTE,15432
Concejo,ANTIOQUIA,ANGOSTURA,DIEGO ANTONIO VASQUEZ VIDAL,PARTIDO ALIANZA VERDE,15464
Concejo,ANTIOQUIA,ANGOSTURA,EDUARDO ANTONIO BARRIENTOS AYALA,PARTIDO CONSERVADOR COLOMBIANO,15451
Concejo,ANTIOQUIA,ANGOSTURA,ENRIQUE ALFONSO VELEZ ROJO,PARTIDO COLOMBIA RENACIENTE,15439
Concejo,ANTIOQUIA,ANGOSTURA,FLOR YANET ATEHORTUA VALENCIA,PARTIDO LIBERAL COLOMBIANO,15413
Concejo,ANTIOQUIA,ANGOSTURA,FRANCISCO EMIRO ROJO MORALES,PARTIDO COLOMBIA RENACIENTE,15436
Concejo,ANTIOQUIA,ANGOSTURA,GERARDO ENRIQUE RESTREPO MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15481
Concejo,ANTIOQUIA,ANGOSTURA,GILDARDO ALIRIO AYALA ORREGO,PARTIDO CONSERVADOR COLOMBIANO,15450
Concejo,ANTIOQUIA,ANGOSTURA,GUSTAVO ALBERTO PIEDRAHITA SANCHEZ,PARTIDO CENTRO DEMOCRATICO,15421
Concejo,ANTIOQUIA,ANGOSTURA,HEIDE ROSA MORA CONTRERAS,PARTIDO CAMBIO RADICAL,15457
Concejo,ANTIOQUIA,ANGOSTURA,HELMER DE JESUS GIRALDO LOAIZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15474
Concejo,ANTIOQUIA,ANGOSTURA,HERMILDA IRENE MISAS AYALA,PARTIDO CONSERVADOR COLOMBIANO,15444
Concejo,ANTIOQUIA,ANGOSTURA,HERNANDO DE JESUS PATIÑO VELEZ,PARTIDO CENTRO DEMOCRATICO,15420
Concejo,ANTIOQUIA,ANGOSTURA,ISACIO ARTURO RAMIREZ MORALES,PARTIDO CONSERVADOR COLOMBIANO,15447
Concejo,ANTIOQUIA,ANGOSTURA,ISMENIA DEL SOCORRO MARTINEZ ATEHORTUA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15480
Concejo,ANTIOQUIA,ANGOSTURA,JAVIER ARTURO VELASQUEZ CORREA,PARTIDO CENTRO DEMOCRATICO,15425
Concejo,ANTIOQUIA,ANGOSTURA,JESUS ABEL RODRIGUEZ VILLEGAS,PARTIDO CONSERVADOR COLOMBIANO,15445
Concejo,ANTIOQUIA,ANGOSTURA,JESUS ADRIAN OCHOA HERNANDEZ,PARTIDO COLOMBIA RENACIENTE,15434
Concejo,ANTIOQUIA,ANGOSTURA,JIMY ANDRES DIAZ TABARES,PARTIDO LIBERAL COLOMBIANO,15411
Concejo,ANTIOQUIA,ANGOSTURA,JORGE AURELIO ECHAVARRIA POSADA,PARTIDO ALIANZA VERDE,15473
Concejo,ANTIOQUIA,ANGOSTURA,JORGE ELIECER PIEDRAHITA SOSA,PARTIDO CONSERVADOR COLOMBIANO,15441
Concejo,ANTIOQUIA,ANGOSTURA,JUAN CAMILO POSADA HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,15415
Concejo,ANTIOQUIA,ANGOSTURA,JUAN DANIEL BETANCUR BETANCUR,PARTIDO COLOMBIA RENACIENTE,15438
Concejo,ANTIOQUIA,ANGOSTURA,JUAN DAVID SALDARRIAGA FRANCO,PARTIDO CENTRO DEMOCRATICO,15429
Concejo,ANTIOQUIA,ANGOSTURA,JUAN DIEGO PEREZ ATEHORTUA,PARTIDO ALIANZA VERDE,15467
Concejo,ANTIOQUIA,ANGOSTURA,JULIAN DE JESUS SANCHEZ ARBELAEZ,PARTIDO CAMBIO RADICAL,15460
Concejo,ANTIOQUIA,ANGOSTURA,JULY TATIANA ZULUAGA BEDOYA,PARTIDO COLOMBIA RENACIENTE,15440
Concejo,ANTIOQUIA,ANGOSTURA,LILIANA  PEREZ RESTREPO,PARTIDO CONSERVADOR COLOMBIANO,15448
Concejo,ANTIOQUIA,ANGOSTURA,LUIS FERNANDO ATEHORTUA ,PARTIDO COLOMBIA RENACIENTE,15431
Concejo,ANTIOQUIA,ANGOSTURA,LUIS HUMBERTO FLOREZ RUIZ,PARTIDO ALIANZA VERDE,15463
Concejo,ANTIOQUIA,ANGOSTURA,LUZ MARY PAREJA ATEHORTUA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15478
Concejo,ANTIOQUIA,ANGOSTURA,MANUEL ANTONIO ATEHORTUA AGUDELO,PARTIDO CENTRO DEMOCRATICO,15423
Concejo,ANTIOQUIA,ANGOSTURA,MARIA CELENY LUJAN RUIZ,PARTIDO CENTRO DEMOCRATICO,15426
Concejo,ANTIOQUIA,ANGOSTURA,MARIA CONSUELO RESTREPO HOYOS,PARTIDO CENTRO DEMOCRATICO,15427
Concejo,ANTIOQUIA,ANGOSTURA,MARIA DAYANA VILLEGAS CEBALLOS,PARTIDO COLOMBIA RENACIENTE,15433
Concejo,ANTIOQUIA,ANGOSTURA,MARIA YORLADY HOYOS RIVERA,PARTIDO LIBERAL COLOMBIANO,15412
Concejo,ANTIOQUIA,ANGOSTURA,MARIANA ANDREA LOPERA CALLE,PARTIDO CENTRO DEMOCRATICO,15424
Concejo,ANTIOQUIA,ANGOSTURA,MARIANO ALBEIRO VALDES HENAO,PARTIDO LIBERAL COLOMBIANO,15417
Concejo,ANTIOQUIA,ANGOSTURA,MARIANO DE JESUS GIRALDO LOAIZA,PARTIDO CAMBIO RADICAL,15455
Concejo,ANTIOQUIA,ANGOSTURA,MARIBEL  ALVAREZ MEDINA,PARTIDO CENTRO DEMOCRATICO,15430
Concejo,ANTIOQUIA,ANGOSTURA,MARINA DE JESUS ATEHORTUA DE SOTO,PARTIDO ALIANZA VERDE,15472
Concejo,ANTIOQUIA,ANGOSTURA,NATALIA MARIA ZAPATA VELASQUEZ,PARTIDO COLOMBIA RENACIENTE,15437
Concejo,ANTIOQUIA,ANGOSTURA,NELSON ADRIAN GOMEZ VIDAL,PARTIDO ALIANZA VERDE,15469
Concejo,ANTIOQUIA,ANGOSTURA,NORA LIGIA MIRA GUEVARA,PARTIDO CONSERVADOR COLOMBIANO,15443
Concejo,ANTIOQUIA,ANGOSTURA,NORMA EDITH ARROYAVE PRISCO,PARTIDO ALIANZA VERDE,15470
Concejo,ANTIOQUIA,ANGOSTURA,OLGA DE JESUS ATEHORTUA MAZO,PARTIDO LIBERAL COLOMBIANO,15416
Concejo,ANTIOQUIA,ANGOSTURA,OMAR DE JESUS RODRIGUEZ BETANCUR,PARTIDO CAMBIO RADICAL,15453
Concejo,ANTIOQUIA,ANGOSTURA,PAULA ANDREA HINCAPIE ROJAS,PARTIDO CENTRO DEMOCRATICO,15422
Concejo,ANTIOQUIA,ANGOSTURA,RODOLFO DE JESUS GOMEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,15449
Concejo,ANTIOQUIA,ANGOSTURA,ROSA INES HOYOS ,PARTIDO ALIANZA VERDE,15466
Concejo,ANTIOQUIA,ANGOSTURA,RUBEN DE JESUS RESTREPO RESTREPO,PARTIDO LIBERAL COLOMBIANO,15410
Concejo,ANTIOQUIA,ANGOSTURA,RUTH MARINA SOSA CALLE,PARTIDO COLOMBIA RENACIENTE,15435
Concejo,ANTIOQUIA,ANGOSTURA,SILVIA ELENA MESA GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,15446
Concejo,ANTIOQUIA,ANGOSTURA,VIVIANA ANDREA CARDENAS GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15482
Concejo,ANTIOQUIA,ANGOSTURA,VIVIANA MARIA AMARILES ATEHORTUA,PARTIDO ALIANZA VERDE,15468
Concejo,ANTIOQUIA,ANGOSTURA,YEDISSON MAURICIO ATEHORTUA ,PARTIDO ALIANZA VERDE,15465
Concejo,ANTIOQUIA,ANGOSTURA,YENIFER TATIANA CALLE CALLE,PARTIDO CAMBIO RADICAL,15461
Concejo,ANTIOQUIA,ANGOSTURA,YICELA  PARRA TABORDA,PARTIDO LIBERAL COLOMBIANO,15419
Concejo,ANTIOQUIA,ANGOSTURA,YOHN JAIRO PAREJA ATEHORTUA,PARTIDO CAMBIO RADICAL,15462
