corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,ARGELIA,ALBERTO  NARVAEZ MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,18344
Concejo,ANTIOQUIA,ARGELIA,ALEX ALEXANDER TABARES ,PARTIDO LIBERAL COLOMBIANO,18264
Concejo,ANTIOQUIA,ARGELIA,ALFONSO DE JESUS ARIAS GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,18341
Concejo,ANTIOQUIA,ARGELIA,AMANDA  OCAMPO LOPEZ,PARTIDO LIBERAL COLOMBIANO,18267
Concejo,ANTIOQUIA,ARGELIA,ANA JOAQUINA VALENCIA OCAMPO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,18328
Concejo,ANTIOQUIA,ARGELIA,ANCISAR  ISAZA TORO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,18347
Concejo,ANTIOQUIA,ARGELIA,AZUCENA  LOSADA MARIN,PARTIDO CAMBIO RADICAL,18309
Concejo,ANTIOQUIA,ARGELIA,BEATRIZ ADRIANA ESCOBAR GIRALDO,PARTIDO CAMBIO RADICAL,18310
Concejo,ANTIOQUIA,ARGELIA,BELEN  LOPEZ ECHAVARRIA,PARTIDO CONSERVADOR COLOMBIANO,18295
Concejo,ANTIOQUIA,ARGELIA,BELISA  VALENCIA DE ARANGO,PARTIDO CONSERVADOR COLOMBIANO,18303
Concejo,ANTIOQUIA,ARGELIA,CARLOS MARIO GOMEZ VALENCIA,PARTIDO COLOMBIA RENACIENTE,18290
Concejo,ANTIOQUIA,ARGELIA,CLAUDIA PATRICIA LOAIZA LOAIZA,PARTIDO CAMBIO RADICAL,18314
Concejo,ANTIOQUIA,ARGELIA,CRUZ ALBA GOMEZ DE SALAZAR,PARTIDO CENTRO DEMOCRATICO,18283
Concejo,ANTIOQUIA,ARGELIA,DARIO  JIMENEZ OSORIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,18327
Concejo,ANTIOQUIA,ARGELIA,DIANA MARCELA ARANGO LOAIZA,PARTIDO CAMBIO RADICAL,18306
Concejo,ANTIOQUIA,ARGELIA,DIANA MARIA ARANGO DAVILA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,18321
Concejo,ANTIOQUIA,ARGELIA,DIDIER ALEXIS TORO LOPEZ,PARTIDO LIBERAL COLOMBIANO,18269
