corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ADRIANA MARIA RUIZ HENAO,PARTIDO LIBERAL COLOMBIANO,19948
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALBA LUCIA ALZATE RENDON,PARTIDO LIBERAL COLOMBIANO,19938
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALBEIRO ANTONIO MONTOYA ZAPATA,PARTIDO CAMBIO RADICAL,19988
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALBEIRO DE JESUS GARCIA TANGARIFE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,20005
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALEJANDRO  ARCILA JIMENEZ,ALIANZA ALTERNATIVA POR EL CARMEN,20028
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALEXANDER  CUERVO ARIAS,PARTIDO CAMBIO RADICAL,19991
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALFONSO LEON MORENO SALAS,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,20040
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ALPIDIO DE JESUS LOPEZ RESTREPO,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,20036
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,ARTURO RAFAEL CASTILLO MESA,PARTIDO CENTRO DEMOCRATICO,19956
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,BEATRIZ ANDREA VARGAS ZULUAGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20020
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,BEATRIZ ELENA LOAIZA LOAIZA,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,20042
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,BEATRIZ ELENA MONTOYA ISAZA,PARTIDO LIBERAL COLOMBIANO,19945
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,BERNARDO  TAMAYO ACEVEDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19997
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,BLANCA ORFILIA LOPEZ DE CADAVID,PARTIDO CAMBIO RADICAL,19987
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,CAMILO ANDRES MONTOYA CARVAJAL,PARTIDO CAMBIO RADICAL,19992
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,CARLOS ANDRES VALENCIA MORALES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,20008
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,CARLOS MARIO GIRALDO HOYOS,PARTIDO CENTRO DEMOCRATICO,19958
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,CARLOS MARIO PEREZ HENAO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20019
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,CARLOS MARIO VALENCIA GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,20006
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,CHRISTIAN DAVID MONTOYA GIRALDO,PARTIDO CENTRO DEMOCRATICO,19949
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,DAIRO ANTONIO GARCIA ZULUAGA,PARTIDO LIBERAL COLOMBIANO,19940
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,DANIELA  OCHOA GIL,PARTIDO CONSERVADOR COLOMBIANO,19979
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,DANIELA  OSORIO GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,20018
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,DANY DANIEL ZULUAGA BAENA,PARTIDO LIBERAL COLOMBIANO,19939
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,DAVID ANDRES GIRALDO QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,19976
Concejo,ANTIOQUIA,CARMEN DE VIBORAL,DERLY YULIANA ARCILA LOPEZ,PARTIDO CAMBIO RADICAL,19993
