corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,CAÑASGORDAS,ADRIAN DARIO GOMEZ SEPULVEDA,PARTIDO CONSERVADOR COLOMBIANO,19624
Concejo,ANTIOQUIA,CAÑASGORDAS,ADRIANA MARIA GOEZ GIRALDO,PARTIDO ALIANZA VERDE,19651
Concejo,ANTIOQUIA,CAÑASGORDAS,AMARILES DE JESUS GUISAO ,PARTIDO ALIANZA VERDE,19650
Concejo,ANTIOQUIA,CAÑASGORDAS,ANA FLOR ANGELA LONDOÑO DAVID,PARTIDO ALIANZA VERDE,19647
Concejo,ANTIOQUIA,CAÑASGORDAS,ANA MARIELA QUINTERO DE TANGARIFE,PARTIDO CAMBIO RADICAL,19638
Concejo,ANTIOQUIA,CAÑASGORDAS,ANGELA MARIA GARCIA RIVERA,PARTIDO CENTRO DEMOCRATICO,19610
Concejo,ANTIOQUIA,CAÑASGORDAS,ASTRID SELENY DAVID GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,19632
Concejo,ANTIOQUIA,CAÑASGORDAS,BEATRIZ ELENA RUIZ ARANGO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19665
Concejo,ANTIOQUIA,CAÑASGORDAS,BIBIANA YASMIN RONDON VARGAS,PARTIDO LIBERAL COLOMBIANO,19596
Concejo,ANTIOQUIA,CAÑASGORDAS,BLANCA ALBANY ZAPATA HERRERA,PARTIDO CENTRO DEMOCRATICO,19612
Concejo,ANTIOQUIA,CAÑASGORDAS,BLANCA NUBIA FERNANDEZ SUESCUN,PARTIDO CENTRO DEMOCRATICO,19607
Concejo,ANTIOQUIA,CAÑASGORDAS,BLANCA NUBIA MEDINA GIRALDO,PARTIDO CENTRO DEMOCRATICO,19609
Concejo,ANTIOQUIA,CAÑASGORDAS,BRAYAM ALEJANDRO LONDOÑO LONDOÑO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,19676
Concejo,ANTIOQUIA,CAÑASGORDAS,CARLOS ANDRES OSPINA MONTOYA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19672
Concejo,ANTIOQUIA,CAÑASGORDAS,CINDY JULIETH ARREDONDO GUISAO,PARTIDO COLOMBIA RENACIENTE,19621
Concejo,ANTIOQUIA,CAÑASGORDAS,CLAUDIA YANET USUGA MAZO,PARTIDO CAMBIO RADICAL,19640
Concejo,ANTIOQUIA,CAÑASGORDAS,DARIO DE JESUS CIFUENTES ARANGO,PARTIDO CENTRO DEMOCRATICO,19605
Concejo,ANTIOQUIA,CAÑASGORDAS,DEICY ELIZABETH GOEZ DURANGO,PARTIDO CONSERVADOR COLOMBIANO,19629
Concejo,ANTIOQUIA,CAÑASGORDAS,DIANA CECILIA MONTOYA AGUDELO,PARTIDO COLOMBIA RENACIENTE,19620
Concejo,ANTIOQUIA,CAÑASGORDAS,ELKIN ALEXANDER CORREA RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,19604
Concejo,ANTIOQUIA,CAÑASGORDAS,ERICA LILIANA GOEZ DURANGO,PARTIDO CAMBIO RADICAL,19642
Concejo,ANTIOQUIA,CAÑASGORDAS,ERLINDO DE JESUS RUIZ HERRERA,PARTIDO COLOMBIA RENACIENTE,19614
Concejo,ANTIOQUIA,CAÑASGORDAS,EVER OVIDIO HIGUITA HIGUITA,PARTIDO LIBERAL COLOMBIANO,19599
Concejo,ANTIOQUIA,CAÑASGORDAS,FABIAN ESTEBAN CORREA GIRALDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19661
Concejo,ANTIOQUIA,CAÑASGORDAS,FABIO ALONSO HIGUITA CORREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19668
Concejo,ANTIOQUIA,CAÑASGORDAS,FANNY DEL SOCORRO GOEZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19673
Concejo,ANTIOQUIA,CAÑASGORDAS,FRANCIA MONICA RUIZ CANO,PARTIDO ALIANZA VERDE,19652
Concejo,ANTIOQUIA,CAÑASGORDAS,FRANCISCO JAVIER GIRALDO CORNELIO,PARTIDO LIBERAL COLOMBIANO,19600
Concejo,ANTIOQUIA,CAÑASGORDAS,FREDY ALBEIRO LOPEZ JIMENEZ,PARTIDO CAMBIO RADICAL,19639
Concejo,ANTIOQUIA,CAÑASGORDAS,GABRIEL ANGEL LOPEZ HIGUITA,PARTIDO ALIANZA VERDE,19653
Concejo,ANTIOQUIA,CAÑASGORDAS,GERARDO ANTONIO MUNERA CARDONA,PARTIDO CONSERVADOR COLOMBIANO,19623
Concejo,ANTIOQUIA,CAÑASGORDAS,GILBERTO  ARANGO VASQUEZ,PARTIDO CAMBIO RADICAL,19641
Concejo,ANTIOQUIA,CAÑASGORDAS,GLORIA BERENICE MONROY HIGUITA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19669
Concejo,ANTIOQUIA,CAÑASGORDAS,GUILLERMO LEON MORALES MANCO,PARTIDO CONSERVADOR COLOMBIANO,19630
Concejo,ANTIOQUIA,CAÑASGORDAS,HECTOR  RINCON ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19670
Concejo,ANTIOQUIA,CAÑASGORDAS,HECTOR ALIRIO GOEZ HIGUITA,PARTIDO CONSERVADOR COLOMBIANO,19625
Concejo,ANTIOQUIA,CAÑASGORDAS,HECTOR ANTONIO MANCO PULGARIN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19663
Concejo,ANTIOQUIA,CAÑASGORDAS,IRIAN ALBERTO CASTRILLON QUINTERO,PARTIDO CENTRO DEMOCRATICO,19608
Concejo,ANTIOQUIA,CAÑASGORDAS,IVAN ANTONIO DAVID SIERRA,PARTIDO CAMBIO RADICAL,19634
Concejo,ANTIOQUIA,CAÑASGORDAS,IVAN DARIO TORRES SUAREZ,PARTIDO CAMBIO RADICAL,19636
Concejo,ANTIOQUIA,CAÑASGORDAS,JAIME ALBERTO LEZCANO RESTREPO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19655
Concejo,ANTIOQUIA,CAÑASGORDAS,JAIME LEON GUISAO ,PARTIDO CAMBIO RADICAL,19635
Concejo,ANTIOQUIA,CAÑASGORDAS,JAIR ALBERTO GIRALDO JIMENEZ,PARTIDO ALIANZA VERDE,19644
Concejo,ANTIOQUIA,CAÑASGORDAS,JAVIER  GOMEZ AGUIRRE,PARTIDO CONSERVADOR COLOMBIANO,19631
Concejo,ANTIOQUIA,CAÑASGORDAS,JHON ARLEY LOAIZA CARRILLO,PARTIDO COLOMBIA RENACIENTE,19616
Concejo,ANTIOQUIA,CAÑASGORDAS,JOHN ALIRIO HIDALGO HIDALGO,PARTIDO CENTRO DEMOCRATICO,19613
Concejo,ANTIOQUIA,CAÑASGORDAS,JOHN JAIME HIGUITA AGUIRRE,PARTIDO ALIANZA VERDE,19646
Concejo,ANTIOQUIA,CAÑASGORDAS,JOSE ALONSO GIRALDO GOMEZ,PARTIDO COLOMBIA RENACIENTE,19615
Concejo,ANTIOQUIA,CAÑASGORDAS,JOSE HUMBERTO ROLDAN MONCADA,PARTIDO CENTRO DEMOCRATICO,19606
Concejo,ANTIOQUIA,CAÑASGORDAS,JOSE IGNACIO BEDOYA JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19671
Concejo,ANTIOQUIA,CAÑASGORDAS,JOSE ONORIO DUARTE LOAIZA,PARTIDO LIBERAL COLOMBIANO,19594
Concejo,ANTIOQUIA,CAÑASGORDAS,JUAN DAVID CARDONA ARANGO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19659
Concejo,ANTIOQUIA,CAÑASGORDAS,JUAN DIEGO GRACIANO VALDERRAMA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19657
Concejo,ANTIOQUIA,CAÑASGORDAS,JUAN GUILLERMO ARREDONDO JARAMILLO,PARTIDO LIBERAL COLOMBIANO,19598
Concejo,ANTIOQUIA,CAÑASGORDAS,JUAN JOSE CARDONA REYES,PARTIDO COLOMBIA RENACIENTE,19619
Concejo,ANTIOQUIA,CAÑASGORDAS,LEON ALCIDES TANGARIFE GOMEZ,PARTIDO ALIANZA VERDE,19648
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS ALBERTO USUGA LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,19622
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS ALFONSO HIGUITA BERRIO,PARTIDO CONSERVADOR COLOMBIANO,19628
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS ANGEL DAVID RUEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19666
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS CARLOS PINO RESTREPO,PARTIDO CENTRO DEMOCRATICO,19611
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS EFREN ARTEAGA GUERRA,PARTIDO ALIANZA VERDE,19654
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS ELMER FRANCO CASTRO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19664
Concejo,ANTIOQUIA,CAÑASGORDAS,LUIS JAVIER SEPULVEDA GUISAO,PARTIDO CAMBIO RADICAL,19633
Concejo,ANTIOQUIA,CAÑASGORDAS,MARCO ANTONIO VARGAS LOPEZ,PARTIDO CENTRO DEMOCRATICO,19603
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA FABIOLA CORREA URAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19667
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA FERNANDA VIDALES DURANGO,PARTIDO CAMBIO RADICAL,19637
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA GABRIELA MUÑOZ MUÑOZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19658
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA JULIETA QUINTERO ARENAS,PARTIDO CONSERVADOR COLOMBIANO,19626
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA MARGARITA GRACIANO SEPULVEDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19660
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA MERCEDES LOPEZ RENGIFO,PARTIDO CONSERVADOR COLOMBIANO,19627
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIA REINA SANTA RUIZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,19677
Concejo,ANTIOQUIA,CAÑASGORDAS,MARIO IVAN CASTAÑO ALVAREZ,PARTIDO ALIANZA VERDE,19649
Concejo,ANTIOQUIA,CAÑASGORDAS,RAMIRO DE JESUS GONZALEZ GALLEGO,PARTIDO LIBERAL COLOMBIANO,19597
Concejo,ANTIOQUIA,CAÑASGORDAS,ROGELIO  HIGUITA HIGUITA,PARTIDO ALIANZA VERDE,19645
Concejo,ANTIOQUIA,CAÑASGORDAS,ROMER JADISON CAMPO MONTOYA,PARTIDO LIBERAL COLOMBIANO,19593
Concejo,ANTIOQUIA,CAÑASGORDAS,SANDRA MILENA FERRARO URREGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,19674
Concejo,ANTIOQUIA,CAÑASGORDAS,SARA LUCIA PUERTA CORREA,PARTIDO COLOMBIA RENACIENTE,19617
Concejo,ANTIOQUIA,CAÑASGORDAS,SERGIO ANDRES USUGA USUGA,PARTIDO LIBERAL COLOMBIANO,19601
Concejo,ANTIOQUIA,CAÑASGORDAS,SILVIA ELENA AGUIRRE OSORIO,PARTIDO CAMBIO RADICAL,19643
Concejo,ANTIOQUIA,CAÑASGORDAS,VANESSA DEL PILAR OSORIO DAVID,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19662
Concejo,ANTIOQUIA,CAÑASGORDAS,VERONICA MARIA QUICENO QUINTERO,PARTIDO LIBERAL COLOMBIANO,19595
Concejo,ANTIOQUIA,CAÑASGORDAS,WILDARY  CASTAÑEDA ROLDAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,19675
Concejo,ANTIOQUIA,CAÑASGORDAS,WILDER DE JESUS GOEZ DURANGO,PARTIDO COLOMBIA RENACIENTE,19618
Concejo,ANTIOQUIA,CAÑASGORDAS,YORDAN JULIAN USUGA PUERTA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,19656
Concejo,ANTIOQUIA,CAÑASGORDAS,YUDY NATALIA GALLO DUARTE,PARTIDO LIBERAL COLOMBIANO,19602
