corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,DON MATIAS,ANA PASTORA LOPERA ALZATE,PARTIDO CAMBIO RADICAL,9862
Concejo,ANTIOQUIA,DON MATIAS,ANDRES FELIPE ZAPATA BETANCUR,PARTIDO POLO DEMOCRATICO ALTERNATIVO,9899
Concejo,ANTIOQUIA,DON MATIAS,ANGY CRISTINA PIEDRAHITA YEPES,PARTIDO CONSERVADOR COLOMBIANO,9861
Concejo,ANTIOQUIA,DON MATIAS,ARLEY ESTEBAN RESTREPO TABARES,PARTIDO CAMBIO RADICAL,9865
Concejo,ANTIOQUIA,DON MATIAS,CARLOS ENRIQUE LOPERA BEDOYA,PARTIDO LIBERAL COLOMBIANO,9839
Concejo,ANTIOQUIA,DON MATIAS,CESAR AUGUSTO YEPES CORREA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,9884
Concejo,ANTIOQUIA,DON MATIAS,DARIO GILBERTO TABORDA PIEDRAHITA,PARTIDO CONSERVADOR COLOMBIANO,9854
Concejo,ANTIOQUIA,DON MATIAS,DIANA PATRICIA GIL TOBON,PARTIDO CENTRO DEMOCRATICO,9841
Concejo,ANTIOQUIA,DON MATIAS,DIEGO ALEJANDRO MESA ,PARTIDO CONSERVADOR COLOMBIANO,9860
Concejo,ANTIOQUIA,DON MATIAS,DORIS MARIANA TEJADA CARDONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9891
Concejo,ANTIOQUIA,DON MATIAS,EDINSON  ALVAREZ BEDOYA,PARTIDO CAMBIO RADICAL,9869
Concejo,ANTIOQUIA,DON MATIAS,FREDY ARLEY LOPEZ GOMEZ,PARTIDO CAMBIO RADICAL,9872
Concejo,ANTIOQUIA,DON MATIAS,GABRIEL ALCIDES BARRIENTOS LOPERA,PARTIDO CAMBIO RADICAL,9871
Concejo,ANTIOQUIA,DON MATIAS,GABRIEL JAIME LOPEZ GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,9889
Concejo,ANTIOQUIA,DON MATIAS,GERALDIN  JARAMILLO RESTREPO,PARTIDO CENTRO DEMOCRATICO,9845
