corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,EL SANTUARIO,ADRIANA MARIA SALAZAR GIRALDO,PARTIDO CENTRO DEMOCRATICO,15651
Concejo,ANTIOQUIA,EL SANTUARIO,ADRIANO OCTAVIO ALZATE ZULUAGA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,15701
Concejo,ANTIOQUIA,EL SANTUARIO,ALONSO DE JESUS GOMEZ GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15716
Concejo,ANTIOQUIA,EL SANTUARIO,ANDERSON ALDEMAR ZULUAGA QUIROS,PARTIDO LIBERAL COLOMBIANO,15636
Concejo,ANTIOQUIA,EL SANTUARIO,ANDRES DAVID OROZCO ZULUAGA,PARTIDO ALIANZA VERDE,15694
Concejo,ANTIOQUIA,EL SANTUARIO,ARGIRO  JARAMILLO BALBIN,PARTIDO CENTRO DEMOCRATICO,15655
Concejo,ANTIOQUIA,EL SANTUARIO,ARLEY DE JESUS SALAZAR ,PARTIDO LIBERAL COLOMBIANO,15642
Concejo,ANTIOQUIA,EL SANTUARIO,ARLEY GEOVANNY GIRALDO URREA,PARTIDO ALIANZA VERDE,15695
Concejo,ANTIOQUIA,EL SANTUARIO,ASTRID ELIANA GIRALDO GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,15672
Concejo,ANTIOQUIA,EL SANTUARIO,BEATRIZ CAROLINA GIRALDO GIRALDO,PARTIDO CENTRO DEMOCRATICO,15649
Concejo,ANTIOQUIA,EL SANTUARIO,BLANCA CECILIA HERNANDEZ MUÑETON,PARTIDO LIBERAL COLOMBIANO,15639
Concejo,ANTIOQUIA,EL SANTUARIO,BLANCA NUBIA RAMIREZ ARCILA,PARTIDO COLOMBIA JUSTA LIBRES,15660
Concejo,ANTIOQUIA,EL SANTUARIO,CARLOS ARTURO ECHEVERRI GOMEZ,PARTIDO CAMBIO RADICAL,15686
