corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,GIRARDOTA,ADRIANA MARIA LOPEZ MONTOYA,PARTIDO COLOMBIA RENACIENTE,10663
Concejo,ANTIOQUIA,GIRARDOTA,ALBA LLANETH CARMONA RIOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10710
Concejo,ANTIOQUIA,GIRARDOTA,ALBA NELLY CAÑAVERAL LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10716
Concejo,ANTIOQUIA,GIRARDOTA,ALBEIRO  ALVAREZ BERMUDEZ,PARTIDO LIBERAL COLOMBIANO,10630
Concejo,ANTIOQUIA,GIRARDOTA,ALEXIS URIAS MARTINEZ VARELA,PARTIDO CONSERVADOR COLOMBIANO,10681
Concejo,ANTIOQUIA,GIRARDOTA,ALIRIO  ALZATE HOYOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10708
Concejo,ANTIOQUIA,GIRARDOTA,ANDRES FELIPE GOMEZ MADRID,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10706
Concejo,ANTIOQUIA,GIRARDOTA,ANDRES FELIPE OSPINA SANCHEZ,MAS CONCIENCIA,10745
Concejo,ANTIOQUIA,GIRARDOTA,ANGIE  GRANADOS ALVAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10705
Concejo,ANTIOQUIA,GIRARDOTA,ARMANDO DE JESUS GAVIRIA CADAVID,PARTIDO CAMBIO RADICAL,10683
Concejo,ANTIOQUIA,GIRARDOTA,ARQUIMEDES ANTONIO POSADA SERNA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10704
Concejo,ANTIOQUIA,GIRARDOTA,BRAYAN  OSPINA SUAREZ,PARTIDO COLOMBIA JUSTA LIBRES,10654
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS ALBERTO OSORNO PIZA,PARTIDO COLOMBIA RENACIENTE,10661
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS ANDRES ORLAS SANCHEZ,MAS CONCIENCIA,10737
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS DE JESUS CASTRO GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,117792
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS EDUARDO SANCHEZ SANCHEZ,PARTIDO LIBERAL COLOMBIANO,10632
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS HUMBERTO ARBOLEDA RUA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10715
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS MARIO VARGAS BEDOYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10712
Concejo,ANTIOQUIA,GIRARDOTA,CARLOS MAURICIO MONCADA PATIÑO,PARTIDO LIBERAL COLOMBIANO,10631
Concejo,ANTIOQUIA,GIRARDOTA,CATHERINE  SALDARRIAGA VASQUEZ,PARTIDO COLOMBIA JUSTA LIBRES,10656
Concejo,ANTIOQUIA,GIRARDOTA,CHRISTIAN ROBER GIL CASTAÑO,PARTIDO CONSERVADOR COLOMBIANO,10676
Concejo,ANTIOQUIA,GIRARDOTA,CLAUDIA ALEJANDRA ALVAREZ GUZMAN,PARTIDO LIBERAL COLOMBIANO,10626
Concejo,ANTIOQUIA,GIRARDOTA,CLAUDIA JOHANNA RAMIREZ SIERRA,PARTIDO CENTRO DEMOCRATICO,10638
Concejo,ANTIOQUIA,GIRARDOTA,CLAUDIA LEANDRA BALZAN OSPINA,PARTIDO COLOMBIA RENACIENTE,10660
Concejo,ANTIOQUIA,GIRARDOTA,CLAUDIA MARIA SANCHEZ MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,10679
Concejo,ANTIOQUIA,GIRARDOTA,CRISTIAN DE JESUS GONZALEZ ARIAS,PARTIDO COLOMBIA JUSTA LIBRES,10650
Concejo,ANTIOQUIA,GIRARDOTA,DAMARIS  VANEGAS PUERTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10711
Concejo,ANTIOQUIA,GIRARDOTA,DANIEL  OROZCO CORDOBA,PARTIDO LIBERAL COLOMBIANO,10624
Concejo,ANTIOQUIA,GIRARDOTA,DANIEL FELIPE BECERRA GUISAO,PARTIDO CONSERVADOR COLOMBIANO,10677
Concejo,ANTIOQUIA,GIRARDOTA,DANIELA ESTEFANY ZULUAGA TOBON,PARTIDO LIBERAL COLOMBIANO,10635
Concejo,ANTIOQUIA,GIRARDOTA,DIANA MILENA PATIÑO CASTRILLON,PRIMERO GIRARDOTA,10728
Concejo,ANTIOQUIA,GIRARDOTA,EMERSON ANDRES RAMIREZ RIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10726
Concejo,ANTIOQUIA,GIRARDOTA,ERIKA ANDREA GUTIERREZ RAMIREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,10648
Concejo,ANTIOQUIA,GIRARDOTA,FERNANDO ALONSO CORDOBA BUSTAMANTE,MAS CONCIENCIA,10747
Concejo,ANTIOQUIA,GIRARDOTA,FRANCISCO ANTONIO MADRID FORONDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,10647
Concejo,ANTIOQUIA,GIRARDOTA,GABRIEL ANGEL BOHORQUEZ ARIAS,PRIMERO GIRARDOTA,10735
Concejo,ANTIOQUIA,GIRARDOTA,GLORIA DEL SOCORRO PATIÑO BUSTAMANTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10723
Concejo,ANTIOQUIA,GIRARDOTA,GLORIA DENIS ESCOBAR CARMONA,PARTIDO COLOMBIA RENACIENTE,10664
Concejo,ANTIOQUIA,GIRARDOTA,GLORIA INES VELASQUEZ MIRANDA,PARTIDO LIBERAL COLOMBIANO,10634
Concejo,ANTIOQUIA,GIRARDOTA,HELIANA ASTRID MARIN HENAO,MAS CONCIENCIA,10749
Concejo,ANTIOQUIA,GIRARDOTA,HELY DE JESUS VELASQUEZ ARANGO,PARTIDO CENTRO DEMOCRATICO,10639
Concejo,ANTIOQUIA,GIRARDOTA,HERNAN OVIDIO CADAVID VELASQUEZ,PARTIDO CENTRO DEMOCRATICO,10640
Concejo,ANTIOQUIA,GIRARDOTA,IGNACIO ALFONSO RAVE ,PARTIDO LIBERAL COLOMBIANO,10628
Concejo,ANTIOQUIA,GIRARDOTA,ISRAEL ANTONIO JIMENEZ GONZALEZ,MAS CONCIENCIA,10746
Concejo,ANTIOQUIA,GIRARDOTA,IVAN DARIO BUSTAMANTE ALZATE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,117794
Concejo,ANTIOQUIA,GIRARDOTA,IVON MARITZA VARGAS DAVID,PARTIDO COLOMBIA RENACIENTE,10668
Concejo,ANTIOQUIA,GIRARDOTA,JAIME DE JESUS MONTOYA OSPINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10720
Concejo,ANTIOQUIA,GIRARDOTA,JEISSON STEVEN NARANJO SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10699
Concejo,ANTIOQUIA,GIRARDOTA,JENNIFER STEFFENS MARIN VELASQUEZ,PARTIDO COLOMBIA RENACIENTE,10667
Concejo,ANTIOQUIA,GIRARDOTA,JHONATAN  VELEZ LONDOÑO,PARTIDO COLOMBIA JUSTA LIBRES,10653
Concejo,ANTIOQUIA,GIRARDOTA,JHONY ALEXANDER CATAÑO FLOREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10722
Concejo,ANTIOQUIA,GIRARDOTA,JOHANA  GALLEGO GALLEGO,PARTIDO CONSERVADOR COLOMBIANO,10682
Concejo,ANTIOQUIA,GIRARDOTA,JOHN FREDY GALLEGO GALLEGO,MAS CONCIENCIA,10739
Concejo,ANTIOQUIA,GIRARDOTA,JOHN JAIRO ORLAS SANCHEZ,PARTIDO CENTRO DEMOCRATICO,10637
Concejo,ANTIOQUIA,GIRARDOTA,JOHNATHAN  SEPULVEDA BETANCUR,PARTIDO COLOMBIA JUSTA LIBRES,10658
Concejo,ANTIOQUIA,GIRARDOTA,JORGE IVAN CADAVID GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10702
Concejo,ANTIOQUIA,GIRARDOTA,JOSE DAVID HURTADO SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10700
Concejo,ANTIOQUIA,GIRARDOTA,JOSE LEANDRO MARIN BUSTAMANTE,PARTIDO LIBERAL COLOMBIANO,10633
Concejo,ANTIOQUIA,GIRARDOTA,JUAN DAVID BUSTAMANTE BUSTAMANTE,PARTIDO CONSERVADOR COLOMBIANO,10670
Concejo,ANTIOQUIA,GIRARDOTA,JUAN DAVID PEÑA PAREJA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10703
Concejo,ANTIOQUIA,GIRARDOTA,JUAN DAVID ZAPATA ZAPATA,PRIMERO GIRARDOTA,10731
Concejo,ANTIOQUIA,GIRARDOTA,JUAN FERNANDO CADAVID ALZATE,PARTIDO CAMBIO RADICAL,10688
Concejo,ANTIOQUIA,GIRARDOTA,JUAN FERNANDO RAMIREZ MOLINA,PRIMERO GIRARDOTA,10734
Concejo,ANTIOQUIA,GIRARDOTA,JUAN PABLO GARCIA GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10697
Concejo,ANTIOQUIA,GIRARDOTA,JULIAN  HENAO CARMONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10721
Concejo,ANTIOQUIA,GIRARDOTA,JULIE  BOHORQUEZ BOHORQUEZ,PARTIDO LIBERAL COLOMBIANO,10629
Concejo,ANTIOQUIA,GIRARDOTA,KEVIN ALEJANDRO PANIAGUA AGUDELO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10725
