corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,GOMEZ PLATA,ALBANI  HURTADO DAVID,PARTIDO ALIANZA VERDE,10798
Concejo,ANTIOQUIA,GOMEZ PLATA,ALFONSO  LONDOÑO ZEA,PARTIDO CONSERVADOR COLOMBIANO,10774
Concejo,ANTIOQUIA,GOMEZ PLATA,ALVARO  CASTRO RUA,PARTIDO ALIANZA VERDE,10793
Concejo,ANTIOQUIA,GOMEZ PLATA,AMELIA MARIA OSPINA VASQUEZ,PARTIDO LIBERAL COLOMBIANO,10751
Concejo,ANTIOQUIA,GOMEZ PLATA,ANGELICA MARIA GARCIA CARDONA,PARTIDO LIBERAL COLOMBIANO,10759
Concejo,ANTIOQUIA,GOMEZ PLATA,ANGIE YULIETH GONZALEZ PADILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10816
Concejo,ANTIOQUIA,GOMEZ PLATA,BEATRIZ BETTY DEL ROSARIO ZAPATA CORREA,PARTIDO CENTRO DEMOCRATICO,10767
Concejo,ANTIOQUIA,GOMEZ PLATA,BRENDA  PATIÑO RUIZ,PARTIDO CAMBIO RADICAL,10788
Concejo,ANTIOQUIA,GOMEZ PLATA,CARLOS MARIO MARTINEZ LOAIZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10808
Concejo,ANTIOQUIA,GOMEZ PLATA,CLAUDIA PATRICIA LONDOÑO LONDOÑO,PARTIDO ALIANZA VERDE,10792
Concejo,ANTIOQUIA,GOMEZ PLATA,CRISTIAN RUBEN PEREZ MUNERA,PARTIDO ALIANZA VERDE,10795
Concejo,ANTIOQUIA,GOMEZ PLATA,EDDWAR AVILIO VELASQUEZ ATEHORTUA,PARTIDO LIBERAL COLOMBIANO,10753
Concejo,ANTIOQUIA,GOMEZ PLATA,EDISSON FERNANDO GOMEZ ARBOLEDA,PARTIDO CENTRO DEMOCRATICO,10769
Concejo,ANTIOQUIA,GOMEZ PLATA,EDWIN ALBERTO PALACIO GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,10776
