corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,GUARNE,ABRAHAM DE JESUS GUTIERREZ ARCILA,PARTIDO CONSERVADOR COLOMBIANO,10911
Concejo,ANTIOQUIA,GUARNE,ADRIAN MICHEL GALLEGO ESCOBAR,PARTIDO ALIANZA VERDE,10932
Concejo,ANTIOQUIA,GUARNE,ADRIANA  LOPERA SIERRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10950
Concejo,ANTIOQUIA,GUARNE,AIDA MARIA BRUNAL BERROCAL,PARTIDO CENTRO DEMOCRATICO,10904
Concejo,ANTIOQUIA,GUARNE,ANDERSON  GUTIERREZ ZAPATA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10980
Concejo,ANTIOQUIA,GUARNE,ANGEL CUSTODIO OCHOA MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10971
Concejo,ANTIOQUIA,GUARNE,ANGELA MARIA GIL OSPINA,PARTIDO CONSERVADOR COLOMBIANO,10908
Concejo,ANTIOQUIA,GUARNE,ANTONIO MARIA OCHOA ROJAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,10983
Concejo,ANTIOQUIA,GUARNE,ASTRID MILENA HENAO IRAL,PARTIDO ALIANZA VERDE,10944
Concejo,ANTIOQUIA,GUARNE,AURA LIBIA CARDENAS GALLEGO,PASION POR GUARNE,10988
Concejo,ANTIOQUIA,GUARNE,BANER YULIAN SANCHEZ CARDONA,PARTIDO CONSERVADOR COLOMBIANO,10909
Concejo,ANTIOQUIA,GUARNE,BEATRIZ ELENA PEREZ DUQUE,PARTIDO CENTRO DEMOCRATICO,10896
Concejo,ANTIOQUIA,GUARNE,BIVIANA MARCELA RIOS CANO,PASION POR GUARNE,10990
Concejo,ANTIOQUIA,GUARNE,BLANCA LIBIA MARIN HENAO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,10985
Concejo,ANTIOQUIA,GUARNE,CAMILO ANDRES ZULETA HERRERA,PARTIDO CAMBIO RADICAL,10926
Concejo,ANTIOQUIA,GUARNE,CARLOS ALBERTO ACEVEDO PULGARIN,PARTIDO CONSERVADOR COLOMBIANO,10918
Concejo,ANTIOQUIA,GUARNE,CARLOS ALBERTO DURANGO VALENCIA,PARTIDO CAMBIO RADICAL,10921
Concejo,ANTIOQUIA,GUARNE,CARLOS ANDRES GALLEGO NARANJO,PASION POR GUARNE,10989
Concejo,ANTIOQUIA,GUARNE,CARLOS MARIO ZABALA DAVID,PARTIDO ALIANZA VERDE,10941
Concejo,ANTIOQUIA,GUARNE,CESAR AUGUSTO OSORNO LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,10919
Concejo,ANTIOQUIA,GUARNE,CLAUDIA PATRICIA CARDENAS LARA,PARTIDO LIBERAL COLOMBIANO,10894
Concejo,ANTIOQUIA,GUARNE,DANIEL  HENAO CARVAJAL,PARTIDO ALIANZA VERDE,10934
Concejo,ANTIOQUIA,GUARNE,DARIO ANTONIO AYALA GALLEGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10965
Concejo,ANTIOQUIA,GUARNE,DESIDERIO ANTONIO ORTIZ BERRIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10977
Concejo,ANTIOQUIA,GUARNE,DIANA FRANCEDY CARVAJAL ZAPATA,PARTIDO CENTRO DEMOCRATICO,10905
Concejo,ANTIOQUIA,GUARNE,DIANA LUCIA HINCAPIE IRAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10978
Concejo,ANTIOQUIA,GUARNE,DIOGENES DE JESUS GIRALDO QUINTERO,PARTIDO LIBERAL COLOMBIANO,10887
Concejo,ANTIOQUIA,GUARNE,DSCHEBE NOION DE LA SANTISIMA TRINIDAD MORALES GUTIERREZ,PARTIDO LIBERAL COLOMBIANO,10891
Concejo,ANTIOQUIA,GUARNE,DUVAN HORACIO ORTIZ VALLEJO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10952
Concejo,ANTIOQUIA,GUARNE,ELSA OMAIRA TOBON MARIN,PARTIDO CONSERVADOR COLOMBIANO,10917
Concejo,ANTIOQUIA,GUARNE,EMILSEN DEL SOCORRO LONDOÑO ALZATE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10969
Concejo,ANTIOQUIA,GUARNE,ESNEIDER  ORREGO VALLEJO,PARTIDO ALIANZA VERDE,10940
Concejo,ANTIOQUIA,GUARNE,ESTANIS MARCELO MARULANDA OCAMPO,PARTIDO LIBERAL COLOMBIANO,10889
Concejo,ANTIOQUIA,GUARNE,ESTEBAN  MALDONADO BALBIN,PARTIDO LIBERAL COLOMBIANO,10888
Concejo,ANTIOQUIA,GUARNE,FABIO ANGEL JARAMILLO BUSTAMANTE,PARTIDO ALIANZA VERDE,10933
Concejo,ANTIOQUIA,GUARNE,FRANCISCO JAVIER HERRERA RIVERA,PARTIDO CONSERVADOR COLOMBIANO,10913
Concejo,ANTIOQUIA,GUARNE,FRANCISCO JAVIER MONTOYA OSORNO,PARTIDO CONSERVADOR COLOMBIANO,10916
Concejo,ANTIOQUIA,GUARNE,FREDY ABELARDO RODRIGUEZ OSORIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10976
Concejo,ANTIOQUIA,GUARNE,GONZALO ALBEIRO RIOS GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10966
Concejo,ANTIOQUIA,GUARNE,GONZALO ALBERTO VASQUEZ ARISTIZABAL,PASION POR GUARNE,10997
Concejo,ANTIOQUIA,GUARNE,GUILLERMO DE  JESUS PARRA ESPINOSA,PARTIDO ALIANZA VERDE,10939
Concejo,ANTIOQUIA,GUARNE,HECTOR DE JESUS VILLA BETANCUR,PARTIDO CONSERVADOR COLOMBIANO,10915
Concejo,ANTIOQUIA,GUARNE,JAIME LEANDRO FLOREZ HOYOS,PARTIDO CENTRO DEMOCRATICO,10906
Concejo,ANTIOQUIA,GUARNE,JAIR ALEXANDER VANEGAS ATEHORTUA,PARTIDO LIBERAL COLOMBIANO,10892
Concejo,ANTIOQUIA,GUARNE,JAIRO ALBERTO HERRERA OSPINA,PARTIDO CONSERVADOR COLOMBIANO,10912
Concejo,ANTIOQUIA,GUARNE,JAIVER ANTONIO ZAPATA CANO,PARTIDO LIBERAL COLOMBIANO,10893
Concejo,ANTIOQUIA,GUARNE,JAVIER ALFREDO GALLEGO LONDOÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10955
Concejo,ANTIOQUIA,GUARNE,JAVIER ANTONIO HURTADO CASTRILLON,PARTIDO CENTRO DEMOCRATICO,10900
Concejo,ANTIOQUIA,GUARNE,JEANNETTE PATRICIA ALJURI CARTAGENA,PARTIDO ALIANZA VERDE,10943
Concejo,ANTIOQUIA,GUARNE,JEFFERSON ARLEY IRAL CARDONA,PARTIDO CENTRO DEMOCRATICO,10903
Concejo,ANTIOQUIA,GUARNE,JESSICA ALEJANDRA SANCHEZ CARVAJAL,PARTIDO ALIANZA VERDE,10942
Concejo,ANTIOQUIA,GUARNE,JESUS ALBERTO CHAVERRA ZAPATA,PARTIDO CAMBIO RADICAL,10930
Concejo,ANTIOQUIA,GUARNE,JHON ANDERSON SALAZAR SANCHEZ,PARTIDO ALIANZA VERDE,10935
Concejo,ANTIOQUIA,GUARNE,JOHN FREDDY JARAMILLO JARAMILLO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10948
Concejo,ANTIOQUIA,GUARNE,JOHN JAIRO VILLARREAL SERNA,PARTIDO CAMBIO RADICAL,10922
Concejo,ANTIOQUIA,GUARNE,JONATHAN  GOMEZ GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,10907
Concejo,ANTIOQUIA,GUARNE,JOSE ALEJANDRO MARIN MUÑOZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,10986
Concejo,ANTIOQUIA,GUARNE,JOSE DAVID LLANO GALLEGO,PASION POR GUARNE,10987
Concejo,ANTIOQUIA,GUARNE,JOSE IGNACIO VASQUEZ VELASQUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10947
Concejo,ANTIOQUIA,GUARNE,JOSE PABLO CARDONA OSORIO,PARTIDO LIBERAL COLOMBIANO,10886
Concejo,ANTIOQUIA,GUARNE,JOSE REINALDO CASTAÑO HERRERA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,10982
Concejo,ANTIOQUIA,GUARNE,JUAN CAMILO JARAMILLO OCHOA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10957
Concejo,ANTIOQUIA,GUARNE,JUAN ESTEBAN DUQUE ZAPATA,PASION POR GUARNE,10991
Concejo,ANTIOQUIA,GUARNE,JUAN GABRIEL CARVAJAL MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10970
Concejo,ANTIOQUIA,GUARNE,JUAN JOSE GARZON CALDERON,PARTIDO ALIANZA VERDE,10937
Concejo,ANTIOQUIA,GUARNE,JUAN PABLO VASQUEZ SANTA,PARTIDO CAMBIO RADICAL,10923
Concejo,ANTIOQUIA,GUARNE,JUAN SEBASTIAN HERRERA LONDOÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10963
Concejo,ANTIOQUIA,GUARNE,JULIAN  OCHOA RIVERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10964
Concejo,ANTIOQUIA,GUARNE,JULIANA  ZULETA LLANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10972
Concejo,ANTIOQUIA,GUARNE,LAURA VANESSA GALEANO GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10961
Concejo,ANTIOQUIA,GUARNE,LEONOR  LLANO OCHOA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10954
Concejo,ANTIOQUIA,GUARNE,LEYDI YOHANA ROJAS RIOS,PARTIDO LIBERAL COLOMBIANO,10885
Concejo,ANTIOQUIA,GUARNE,LILIANA PATRICIA GALLEGO LONDOÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10973
Concejo,ANTIOQUIA,GUARNE,LINA CRISTINA SERNA PALACIO,PARTIDO LIBERAL COLOMBIANO,10895
Concejo,ANTIOQUIA,GUARNE,LUIS ARGIRO GALLEGO CASTAÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10974
Concejo,ANTIOQUIA,GUARNE,LUIS ARTURO BERRIO BERRIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10962
Concejo,ANTIOQUIA,GUARNE,LUIS SANTIAGO VARGAS AYALA,PARTIDO CAMBIO RADICAL,10931
Concejo,ANTIOQUIA,GUARNE,LUZ ESTELA MARIN SANTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10967
Concejo,ANTIOQUIA,GUARNE,MARIA ELENA OCHOA OCHOA,PARTIDO CAMBIO RADICAL,10929
Concejo,ANTIOQUIA,GUARNE,MARIA ROSMIRA MEDINA SANCHEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,10984
Concejo,ANTIOQUIA,GUARNE,MARIA VICTORIA RENDON ARISTIZABAL,PARTIDO CAMBIO RADICAL,10920
Concejo,ANTIOQUIA,GUARNE,MARIA VICTORIA ZAPATA DE MEJIA,PARTIDO CENTRO DEMOCRATICO,10897
Concejo,ANTIOQUIA,GUARNE,MARIO  YEPES PIEDRAHITA,PARTIDO CAMBIO RADICAL,10924
Concejo,ANTIOQUIA,GUARNE,MARIO ANGEL RAMIREZ RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10975
Concejo,ANTIOQUIA,GUARNE,MARISOL  SEPULVEDA QUINTERO,PARTIDO ALIANZA VERDE,10936
Concejo,ANTIOQUIA,GUARNE,MARTA MARLENY MARIACA OROZCO,PASION POR GUARNE,10994
Concejo,ANTIOQUIA,GUARNE,MAYRA LEANDRA OCHOA VASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10981
Concejo,ANTIOQUIA,GUARNE,MILEIDY CAMILA SANCHEZ LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10960
Concejo,ANTIOQUIA,GUARNE,NATALIA MARIA MOLINA ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10951
Concejo,ANTIOQUIA,GUARNE,NELSON FRED ZAPATA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10968
Concejo,ANTIOQUIA,GUARNE,NIDIA  HINCAPIE HINCAPIE,PARTIDO LIBERAL COLOMBIANO,10883
Concejo,ANTIOQUIA,GUARNE,OLVANI  MUÑOZ GARCIA,PARTIDO CAMBIO RADICAL,10928
Concejo,ANTIOQUIA,GUARNE,OMAR ALBERTO MEJIA BARRADA,PARTIDO CENTRO DEMOCRATICO,10898
Concejo,ANTIOQUIA,GUARNE,OSCAR MAURICIO GIL IDARRAGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10959
Concejo,ANTIOQUIA,GUARNE,PEDRO LUIS LOTERO ADARVE,PARTIDO LIBERAL COLOMBIANO,10884
Concejo,ANTIOQUIA,GUARNE,RAMON DE JESUS MUÑOZ VASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,10979
Concejo,ANTIOQUIA,GUARNE,RODRIGO DE JESUS ZAPATA GUIRAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10949
Concejo,ANTIOQUIA,GUARNE,RODULFO HUMBERTO GARCIA ATEHORTUA,PASION POR GUARNE,10992
Concejo,ANTIOQUIA,GUARNE,ROGELIO ABAD PATIÑO RIOS,PARTIDO CENTRO DEMOCRATICO,10902
Concejo,ANTIOQUIA,GUARNE,SANDRA MARIA GIRALDO ,PARTIDO CAMBIO RADICAL,10927
Concejo,ANTIOQUIA,GUARNE,SANDRA MILENA VALENCIA CANO,PARTIDO CAMBIO RADICAL,10925
Concejo,ANTIOQUIA,GUARNE,SANTIAGO  LLANO ZAPATA,PARTIDO CENTRO DEMOCRATICO,10901
Concejo,ANTIOQUIA,GUARNE,SANTIAGO  QUINTERO MUNERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10956
Concejo,ANTIOQUIA,GUARNE,SILVANA MARIA LONDOÑO SIERRA,PARTIDO CONSERVADOR COLOMBIANO,10910
Concejo,ANTIOQUIA,GUARNE,TATIANA MARIA ORTIZ CARDONA,PARTIDO CONSERVADOR COLOMBIANO,10914
Concejo,ANTIOQUIA,GUARNE,TRINIDAD DEL SOCORRO ALZATE GARCIA,PARTIDO ALIANZA VERDE,10938
Concejo,ANTIOQUIA,GUARNE,VICTOR HUGO CARDONA AYALA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10953
Concejo,ANTIOQUIA,GUARNE,WILLIAM DE JESUS NARANJO JARAMILLO,PASION POR GUARNE,10995
Concejo,ANTIOQUIA,GUARNE,WILLIAN DE JESUS LOPEZ CASTRO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10945
Concejo,ANTIOQUIA,GUARNE,YANG PING JARAMILLO MONTOYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,10958
Concejo,ANTIOQUIA,GUARNE,YESSICA VIVIANA CARDONA PALACIO,PASION POR GUARNE,10996
Concejo,ANTIOQUIA,GUARNE,YHON JAIME ATEHORTUA PATIÑO,PARTIDO CENTRO DEMOCRATICO,10899
Concejo,ANTIOQUIA,GUARNE,YOVANNI DE JESUS BETANCUR ALVAREZ,PARTIDO LIBERAL COLOMBIANO,10890
Concejo,ANTIOQUIA,GUARNE,YURI ANDREA ZAPATA RESTREPO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,10946
