corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,ITUANGO,ADAN DE JESUS MISAS ,PARTIDO LIBERAL COLOMBIANO,11411
Concejo,ANTIOQUIA,ITUANGO,AICARDO ALONSO MAZO PIEDRAHITA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,11444
Concejo,ANTIOQUIA,ITUANGO,ALFONSO DE JESUS CHAVARRIA CARVAJAL,PARTIDO LIBERAL COLOMBIANO,11404
Concejo,ANTIOQUIA,ITUANGO,ALVARO ALCIDES GARCIA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,11408
Concejo,ANTIOQUIA,ITUANGO,ANGELA MARIA GUZMAN SOSSA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11431
Concejo,ANTIOQUIA,ITUANGO,ARACELI DEL SOCORRO OSORIO AGUDELO,PARTIDO LIBERAL COLOMBIANO,11412
Concejo,ANTIOQUIA,ITUANGO,ARBEY ELIAS MORALES PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11433
Concejo,ANTIOQUIA,ITUANGO,ARCADIO DE JESUS CARVAJAL TOBON,PARTIDO CENTRO DEMOCRATICO,11420
Concejo,ANTIOQUIA,ITUANGO,BLANCA LIBIA RUEDA BERRIO,PARTIDO CONSERVADOR COLOMBIANO,117795
Concejo,ANTIOQUIA,ITUANGO,BLANCA OLIVA RESTREPO ROLDAN,PARTIDO CENTRO DEMOCRATICO,11418
Concejo,ANTIOQUIA,ITUANGO,CARLOS ANDRES ARANGO PIEDRAHITA,PARTIDO CAMBIO RADICAL,11462
Concejo,ANTIOQUIA,ITUANGO,CESAR JOAQUIN MISAS ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11481
Concejo,ANTIOQUIA,ITUANGO,DEISY JOHANA SUCERQUIA BERRIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11487
Concejo,ANTIOQUIA,ITUANGO,DELIO ANTONIO DOMICO JUMI,PARTIDO LIBERAL COLOMBIANO,11413
Concejo,ANTIOQUIA,ITUANGO,DIANA MARIA PALACIO NOHAVA,PARTIDO CAMBIO RADICAL,11472
Concejo,ANTIOQUIA,ITUANGO,DIANA MILENA TOBON MESA,PARTIDO CONSERVADOR COLOMBIANO,11448
Concejo,ANTIOQUIA,ITUANGO,DIEGO ALEXANDER PALACIO ZAPATA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11428
Concejo,ANTIOQUIA,ITUANGO,DIEGO ELIAS LOPERA CALLE,PARTIDO CENTRO DEMOCRATICO,11416
Concejo,ANTIOQUIA,ITUANGO,DORA LINEY CHAVARRIA CHAVARRIA,PARTIDO LIBERAL COLOMBIANO,11403
Concejo,ANTIOQUIA,ITUANGO,DORANCE  DURANGO MAZO,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,11439
Concejo,ANTIOQUIA,ITUANGO,DORIS ENITH CASTRILLON JARAMILLO,PARTIDO CENTRO DEMOCRATICO,11417
Concejo,ANTIOQUIA,ITUANGO,ELADIO ARTURO AREIZA YEPES,COALICION ITUANGO,11494
Concejo,ANTIOQUIA,ITUANGO,ELKIN DARIO VALBUENAS VALLE,PARTIDO CAMBIO RADICAL,11466
Concejo,ANTIOQUIA,ITUANGO,FERNANDO DE JESUS TORRES LOPERA,PARTIDO CONSERVADOR COLOMBIANO,11454
Concejo,ANTIOQUIA,ITUANGO,FERNEY DARIO PIEDRAHITA ZAPATA,COALICION ITUANGO,11503
Concejo,ANTIOQUIA,ITUANGO,FRANCY SILVANIA ROJAS LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11429
Concejo,ANTIOQUIA,ITUANGO,FREDY EMILIO MONSALVE MONTOYA,PARTIDO CAMBIO RADICAL,11468
Concejo,ANTIOQUIA,ITUANGO,GIAN DILBER PIEDRAHITA PIEDRAHITA,COALICION ITUANGO,11499
Concejo,ANTIOQUIA,ITUANGO,GIOVANNI  CORREA QUIROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11479
Concejo,ANTIOQUIA,ITUANGO,GIOVANNI EULICER MARIN CHANCI,PARTIDO CONSERVADOR COLOMBIANO,11460
Concejo,ANTIOQUIA,ITUANGO,HECTOR EMILIO SIERRA ZULETA,PARTIDO CONSERVADOR COLOMBIANO,11450
Concejo,ANTIOQUIA,ITUANGO,HECTOR JAVIER PANESO CARVAJAL,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,11447
