corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,JARDIN,ALVARO  HERRERA OSORIO,PARTIDO CONSERVADOR COLOMBIANO,11537
Concejo,ANTIOQUIA,JARDIN,ANGELA MARIA SANCHEZ AGUDELO,PARTIDO ALIANZA VERDE,11549
Concejo,ANTIOQUIA,JARDIN,ARNOLFO DE JESUS MONTOYA GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11559
Concejo,ANTIOQUIA,JARDIN,BIVIANA GIRLET GIRALDO ARISTIZABAL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11565
Concejo,ANTIOQUIA,JARDIN,BLANCA ADIELA CANO RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,11540
Concejo,ANTIOQUIA,JARDIN,CARLOS ALBERTO GOMEZ CARDENAS,PARTIDO LIBERAL COLOMBIANO,11506
Concejo,ANTIOQUIA,JARDIN,CARLOS ARTURO JARAMILLO JARAMILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11551
Concejo,ANTIOQUIA,JARDIN,CARLOS EMILIO ESCOBAR GALVIS,PARTIDO COLOMBIA RENACIENTE,11530
Concejo,ANTIOQUIA,JARDIN,CATALINA  ARANGO ESPINOSA,PARTIDO ALIANZA VERDE,11548
Concejo,ANTIOQUIA,JARDIN,CECILIA  ALARCON SERNA,PARTIDO CONSERVADOR COLOMBIANO,11543
Concejo,ANTIOQUIA,JARDIN,CESAR AUGUSTO LOPEZ GIRALDO,PARTIDO COLOMBIA RENACIENTE,11527
Concejo,ANTIOQUIA,JARDIN,CLAUDIA DEL CARMEN SIERRA CARDONA,PARTIDO COLOMBIA RENACIENTE,11525
Concejo,ANTIOQUIA,JARDIN,DANIELA  VELEZ LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11569
Concejo,ANTIOQUIA,JARDIN,EDWIN ROLANDO RENDON RENDON,PARTIDO CENTRO DEMOCRATICO,11512
Concejo,ANTIOQUIA,JARDIN,ENRIQUE  PEREZ VELASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11555
Concejo,ANTIOQUIA,JARDIN,FANNY LUCIA CARDONA RAMIREZ,PARTIDO COLOMBIA RENACIENTE,11531
Concejo,ANTIOQUIA,JARDIN,GABRIEL JAIME SALAZAR CASTAÑO,PARTIDO CENTRO DEMOCRATICO,11510
Concejo,ANTIOQUIA,JARDIN,GERARDO EMILIO ALZATE ANGEL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11563
Concejo,ANTIOQUIA,JARDIN,GERMAN DARIO ZAPATA ANGEL,PARTIDO COLOMBIA RENACIENTE,11526
Concejo,ANTIOQUIA,JARDIN,GIRLESA  SUCRE ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11523
Concejo,ANTIOQUIA,JARDIN,GLORIA ELENA TAMANIS TASCON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11518
Concejo,ANTIOQUIA,JARDIN,GLORIA PATRICIA YEPES AGUDELO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11567
Concejo,ANTIOQUIA,JARDIN,GUSTAVO ALONSO ARANGO DIEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11558
Concejo,ANTIOQUIA,JARDIN,HUMBERTO DE JESUS RESTREPO GARCES,PARTIDO CENTRO DEMOCRATICO,11513
