corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,LA CEJA,ADRIANA MARIA LONDOÑO SALDARRIAGA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,11758
Concejo,ANTIOQUIA,LA CEJA,ALEXANDER  LOPEZ MEJIA,PARTIDO CENTRO DEMOCRATICO,11772
Concejo,ANTIOQUIA,LA CEJA,ALEXANDER ENRIQUE FLOREZ CASTRO,PARTIDO CAMBIO RADICAL,11830
Concejo,ANTIOQUIA,LA CEJA,ANA CECILIA RIOS CANO,PARTIDO CAMBIO RADICAL,11836
Concejo,ANTIOQUIA,LA CEJA,ANA LIBIA HOYOS MONTOYA,PARTIDO CAMBIO RADICAL,11838
Concejo,ANTIOQUIA,LA CEJA,ANA MARIA CAMPUZANO ARBOLEDA,PARTIDO LIBERAL COLOMBIANO,11747
Concejo,ANTIOQUIA,LA CEJA,ASBLEIDY YURANI ARCILA RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,11751
Concejo,ANTIOQUIA,LA CEJA,AZADIEL ALEJANDRO BETANCUR MUÑOZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,11858
Concejo,ANTIOQUIA,LA CEJA,BEATRIZ ELENA GUERRERO ROJAS,PARTIDO CENTRO DEMOCRATICO,11771
Concejo,ANTIOQUIA,LA CEJA,BEATRIZ ELENA MORALES OCAMPO,PARTIDO COLOMBIA JUSTA LIBRES,11803
Concejo,ANTIOQUIA,LA CEJA,BEATRIZ ELENA RENDON MUÑOZ,PARTIDO COLOMBIA RENACIENTE,11807
Concejo,ANTIOQUIA,LA CEJA,BLANCA MARLENY VALENCIA ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,11829
Concejo,ANTIOQUIA,LA CEJA,CARLOS ALEXANDER PALACIO GUTIERREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,11760
Concejo,ANTIOQUIA,LA CEJA,CARLOS ANDRES BOTERO MORALES,PARTIDO COLOMBIA RENACIENTE,11809
Concejo,ANTIOQUIA,LA CEJA,CARLOS ARTURO DUQUE GOMEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11894
Concejo,ANTIOQUIA,LA CEJA,CARLOS MARIO BERNAL BERNAL,PARTIDO CONSERVADOR COLOMBIANO,11825
Concejo,ANTIOQUIA,LA CEJA,CARLOS MARIO GRISALES VALENCIA,PARTIDO COLOMBIA RENACIENTE,11804
Concejo,ANTIOQUIA,LA CEJA,CARLOS MARIO MEJIA RESTREPO,PARTIDO CENTRO DEMOCRATICO,11775
Concejo,ANTIOQUIA,LA CEJA,CARMEN ALICIA MARTINEZ LOPEZ,PARTIDO COLOMBIA RENACIENTE,11810
Concejo,ANTIOQUIA,LA CEJA,CARMEN CONSUELO VELASQUEZ ROMERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11901
Concejo,ANTIOQUIA,LA CEJA,CLARA INES DE LA CUESTA GUTIERREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,11865
Concejo,ANTIOQUIA,LA CEJA,CLAUDIA CECILIA CARDONA FRANCO,PARTIDO COLOMBIA JUSTA LIBRES,11797
Concejo,ANTIOQUIA,LA CEJA,CLAUDIA MARCELA GONZALEZ QUINTERO,PARTIDO CAMBIO RADICAL,11841
Concejo,ANTIOQUIA,LA CEJA,CONRADO  ECHEVERRI VALENCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11891
Concejo,ANTIOQUIA,LA CEJA,CRUZ ELENA ARBOLEDA LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,11820
Concejo,ANTIOQUIA,LA CEJA,DANIEL  HERNANDEZ RESTREPO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,11863
Concejo,ANTIOQUIA,LA CEJA,DANIEL ALEJANDRO RAMIREZ MORENO,PARTIDO CENTRO DEMOCRATICO,11778
Concejo,ANTIOQUIA,LA CEJA,DANIEL PAOLO MARULANDA BLANDON,PARTIDO COLOMBIA RENACIENTE,11813
Concejo,ANTIOQUIA,LA CEJA,DANNY DANIEL CASTRO ECHEVERRI,PARTIDO CENTRO DEMOCRATICO,11779
Concejo,ANTIOQUIA,LA CEJA,DARLEY DEL CARMEN MORALES PAYARES,PARTIDO COLOMBIA JUSTA LIBRES,11794
Concejo,ANTIOQUIA,LA CEJA,DAVID ALEJANDRO HENAO LONDOÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11788
Concejo,ANTIOQUIA,LA CEJA,DAVID SANTIAGO ARIAS PATIÑO,PARTIDO CENTRO DEMOCRATICO,11773
Concejo,ANTIOQUIA,LA CEJA,DAYANA ANDREA LOPEZ GUTIERREZ,PARTIDO CAMBIO RADICAL,11840
Concejo,ANTIOQUIA,LA CEJA,DENIS DEL SOCORRO CARDONA BUITRAGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11791
Concejo,ANTIOQUIA,LA CEJA,DIEGO ALONSO PAVAS CARMONA,PARTIDO CAMBIO RADICAL,11834
Concejo,ANTIOQUIA,LA CEJA,DIEGO ANDRES ALARCON CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11884
Concejo,ANTIOQUIA,LA CEJA,DIEGO LEON VALENCIA MEJIA,PARTIDO COLOMBIA JUSTA LIBRES,11793
Concejo,ANTIOQUIA,LA CEJA,DORA NUBIA BOTERO TOBON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11886
Concejo,ANTIOQUIA,LA CEJA,DUBAN ALBEIRO PATIÑO VALENCIA,PARTIDO CENTRO DEMOCRATICO,11768
Concejo,ANTIOQUIA,LA CEJA,EDGAR ALEJANDRO BLANDON HENAO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,11873
Concejo,ANTIOQUIA,LA CEJA,EDGAR RICARDO BEDOYA OSPINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11785
Concejo,ANTIOQUIA,LA CEJA,EDISON DAVID CARDONA BEDOYA,PARTIDO CENTRO DEMOCRATICO,11776
Concejo,ANTIOQUIA,LA CEJA,EDIT ASTRID ARCILA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,11870
Concejo,ANTIOQUIA,LA CEJA,ELKIN DE JESUS MARQUEZ GRISALES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11893
Concejo,ANTIOQUIA,LA CEJA,ERNEY ALEJANDRO RODRIGUEZ LOPEZ,PARTIDO CENTRO DEMOCRATICO,11767
Concejo,ANTIOQUIA,LA CEJA,FABIAN  OROZCO CARMONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11889
Concejo,ANTIOQUIA,LA CEJA,FABIOLA  MORALES OCAMPO,PARTIDO COLOMBIA JUSTA LIBRES,11795
Concejo,ANTIOQUIA,LA CEJA,FRANCISCO LUIS ACEVEDO ROMAN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,11897
Concejo,ANTIOQUIA,LA CEJA,GABRIEL OVIDIO MARULANDA OSPINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11792
Concejo,ANTIOQUIA,LA CEJA,GERMAN ALFONSO CARDONA TORO,PARTIDO CONSERVADOR COLOMBIANO,11819
Concejo,ANTIOQUIA,LA CEJA,GILMER FRANCISCO CORREA MUÑETON,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,11763
Concejo,ANTIOQUIA,LA CEJA,GIRLESA  OROZCO TORO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,11757
Concejo,ANTIOQUIA,LA CEJA,GLORIA ESTELLA LOAIZA GOMEZ,PARTIDO ALIANZA VERDE,11854
Concejo,ANTIOQUIA,LA CEJA,GUILLERMO LEON RIVERA PEREZ,PARTIDO CAMBIO RADICAL,11837
Concejo,ANTIOQUIA,LA CEJA,HECTOR FABIO RODAS CHAMORRO,PARTIDO ALIANZA VERDE,11846
Concejo,ANTIOQUIA,LA CEJA,HECTOR HERNAN SANCHEZ GIRALDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11781
Concejo,ANTIOQUIA,LA CEJA,HELMER JHOAN CASTRO RIOS,PARTIDO LIBERAL COLOMBIANO,11745
Concejo,ANTIOQUIA,LA CEJA,HERNAN ALONSO ZAPATA OSORIO,PARTIDO CONSERVADOR COLOMBIANO,11817
Concejo,ANTIOQUIA,LA CEJA,HERNAN DARIO OSORIO LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11782
Concejo,ANTIOQUIA,LA CEJA,HERNAN FREDY RODRIGUEZ CORREA,PARTIDO CONSERVADOR COLOMBIANO,11822
Concejo,ANTIOQUIA,LA CEJA,HUGO ALBERTO MARIN RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,11892
Concejo,ANTIOQUIA,LA CEJA,HUGO FREDY VARGAS TABARES,PARTIDO LIBERAL COLOMBIANO,11746
Concejo,ANTIOQUIA,LA CEJA,HUMBERTO  CASTAÑEDA ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11783
Concejo,ANTIOQUIA,LA CEJA,ISMAEL  BOTERO TOBON,PARTIDO CENTRO DEMOCRATICO,11770
Concejo,ANTIOQUIA,LA CEJA,IVAN DARIO TAMAYO CADAVID,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,11790
