corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,MARINILLA,ADAN  PRADA MOROS,PARTIDO COLOMBIA JUSTA LIBRES,12465
Concejo,ANTIOQUIA,MARINILLA,ADRIANA MARIA GARCIA VILLEGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12520
Concejo,ANTIOQUIA,MARINILLA,ALBA LUCIA RAMIREZ RAMIREZ,PARTIDO CAMBIO RADICAL,12492
Concejo,ANTIOQUIA,MARINILLA,ALEJANDRO  MUNERA ECHEVERRI,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12514
Concejo,ANTIOQUIA,MARINILLA,ALIS MILENA HERNANDEZ GALLEGO,MARINILLA EMPRENDEDORA,12538
Concejo,ANTIOQUIA,MARINILLA,ANA MARIA ARENAS NARANJO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12507
Concejo,ANTIOQUIA,MARINILLA,ANA MARIA VALENCIA NIETO,PARTIDO CAMBIO RADICAL,12493
Concejo,ANTIOQUIA,MARINILLA,ANDERSON DUVAN DAVID SERNA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12523
Concejo,ANTIOQUIA,MARINILLA,ANDRES FELIPE SOTO CASTAÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12497
Concejo,ANTIOQUIA,MARINILLA,ANGELA AMPARO LOPEZ ARBELAEZ,MARINILLA CON FUTURO,12559
Concejo,ANTIOQUIA,MARINILLA,BERNARDO ANDRES MONTOYA MAZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,12450
Concejo,ANTIOQUIA,MARINILLA,BIBIANA  GIRALDO QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12518
Concejo,ANTIOQUIA,MARINILLA,BLANCA ROSA RAMIREZ CORTEZ,PARTIDO COLOMBIA JUSTA LIBRES,12464
Concejo,ANTIOQUIA,MARINILLA,BRAYAN STEVEN GOMEZ CASTAÑO,ALIANZA POR MARINILLA,12576
Concejo,ANTIOQUIA,MARINILLA,CAMILO EDUARDO CASTAÑO URIBE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,12456
Concejo,ANTIOQUIA,MARINILLA,CARLOS ALBERTO GALVIS VALLEJO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,12451
Concejo,ANTIOQUIA,MARINILLA,CARLOS MARIO GOMEZ ARBELAEZ,PARTIDO CENTRO DEMOCRATICO,12447
Concejo,ANTIOQUIA,MARINILLA,CLAUDIA ESTHER ARCILA SALAZAR,AVANCEMOS,12548
Concejo,ANTIOQUIA,MARINILLA,CLAUDIA MILENA GONZALEZ SOTO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12501
Concejo,ANTIOQUIA,MARINILLA,CONSUELO  HURTADO SUAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12503
Concejo,ANTIOQUIA,MARINILLA,CRISTIAN CAMILO RAMIREZ ORTIZ,PARTIDO LIBERAL COLOMBIANO,12435
