corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,NARIÑO,ALBEIRO DE JESUS MARULANDA ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12945
Concejo,ANTIOQUIA,NARIÑO,ALEJANDRA  GARCIA CARDONA,PARTIDO CAMBIO RADICAL,12937
Concejo,ANTIOQUIA,NARIÑO,ALEJANDRA  OSORIO DAVILA,PARTIDO LIBERAL COLOMBIANO,12910
Concejo,ANTIOQUIA,NARIÑO,ALEXANDER  MARQUEZ OROZCO,PARTIDO CONSERVADOR COLOMBIANO,12932
Concejo,ANTIOQUIA,NARIÑO,ALONSO  RENDON BUITRAGO,PARTIDO LIBERAL COLOMBIANO,12909
Concejo,ANTIOQUIA,NARIÑO,ALQUIVER DE JESUS MONTOYA RENDON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12951
Concejo,ANTIOQUIA,NARIÑO,ALVARO ANDRES HERNANDEZ HENAO,PARTIDO CAMBIO RADICAL,12938
Concejo,ANTIOQUIA,NARIÑO,ANCIZAR  ESCOBAR MONTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12953
Concejo,ANTIOQUIA,NARIÑO,ANCIZAR ALFREDO PEREZ MORALES,PARTIDO LIBERAL COLOMBIANO,12906
Concejo,ANTIOQUIA,NARIÑO,ANGELINA  GOEZ PEREZ,PARTIDO ALIANZA VERDE,12939
Concejo,ANTIOQUIA,NARIÑO,ARCENIO  QUINCHIA QUINCHIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12943
Concejo,ANTIOQUIA,NARIÑO,CENELIA  MARIN GIRALDO,PARTIDO CENTRO DEMOCRATICO,12918
Concejo,ANTIOQUIA,NARIÑO,CRISTIAN LEANDRO AGUDELO BETANCUR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12949
Concejo,ANTIOQUIA,NARIÑO,DANIEL  ARANGO RAMOS,PARTIDO LIBERAL COLOMBIANO,12912
Concejo,ANTIOQUIA,NARIÑO,DEIBER ALONSO OSORIO BETANCUR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,12944
Concejo,ANTIOQUIA,NARIÑO,DELCIRA  LOPEZ BERRIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12957
Concejo,ANTIOQUIA,NARIÑO,GENARO ANTONIO HINCAPIE GALLO,PARTIDO CONSERVADOR COLOMBIANO,12927
Concejo,ANTIOQUIA,NARIÑO,GIBER ANTONIO MUÑOZ NARANJO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12955
Concejo,ANTIOQUIA,NARIÑO,GONZALO  GALLEGO CASTAÑO,PARTIDO CONSERVADOR COLOMBIANO,12929
