corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,PUERTO BERRIO,ABELARDO ANTONIO RODRIGUEZ MARIN,PARTIDO ALIANZA VERDE,13604
Concejo,ANTIOQUIA,PUERTO BERRIO,ADRIANA MARIA HERRERA GARCIA,PARTIDO COLOMBIA JUSTA LIBRES,13533
Concejo,ANTIOQUIA,PUERTO BERRIO,ADRIANA MARIA OSORIO SERNA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,13625
Concejo,ANTIOQUIA,PUERTO BERRIO,ALBEIRO DE JESUS PARRA CORTEZ,PARTIDO ADA,13561
Concejo,ANTIOQUIA,PUERTO BERRIO,ALEJANDRA MILENA YEPES VARGAS,PARTIDO CENTRO DEMOCRATICO,13509
Concejo,ANTIOQUIA,PUERTO BERRIO,ANA MARIA BUITRAGO ALZATE,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,13571
Concejo,ANTIOQUIA,PUERTO BERRIO,ANDRES FELIPE AGUDELO GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,13581
Concejo,ANTIOQUIA,PUERTO BERRIO,ANDRES FELIPE LAGUNA MARTINEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,13564
Concejo,ANTIOQUIA,PUERTO BERRIO,ANDRES MAURICIO CARDENAS ,PARTIDO CONSERVADOR COLOMBIANO,13577
Concejo,ANTIOQUIA,PUERTO BERRIO,ANDRES PILIPS BLANQUICET PUERTA,PARTIDO ADA,13558
Concejo,ANTIOQUIA,PUERTO BERRIO,ANELLY DEL CARMEN GAVIRIA ZAPATA,PARTIDO ADA,13560
Concejo,ANTIOQUIA,PUERTO BERRIO,ANGEL MARTIN ZULETA DUQUE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,13653
Concejo,ANTIOQUIA,PUERTO BERRIO,ANGEL MIGUEL ALBARRACIN RINCON,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,13499
Concejo,ANTIOQUIA,PUERTO BERRIO,ANIBAL DE JESUS VALENCIA CORTES,PARTIDO COLOMBIA RENACIENTE,13547
Concejo,ANTIOQUIA,PUERTO BERRIO,ARLEY DE JESUS VELASQUEZ OCAMPO,PARTIDO CENTRO DEMOCRATICO,13503
Concejo,ANTIOQUIA,PUERTO BERRIO,ARNULFO ARCANGEL RAMIREZ ZULUAGA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,13662
Concejo,ANTIOQUIA,PUERTO BERRIO,AURA AMPARO GONZALEZ DE RIOS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,13660
Concejo,ANTIOQUIA,PUERTO BERRIO,BEATRIZ HELENA SUAREZ CEBALLOS,PARTIDO COLOMBIA JUSTA LIBRES,13536
Concejo,ANTIOQUIA,PUERTO BERRIO,BERNARDA LOURDES MUÑOZ LESCANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,13639
Concejo,ANTIOQUIA,PUERTO BERRIO,BLANCA OLIVA ZAPATA GUTIERREZ,PARTIDO ADA,13562
Concejo,ANTIOQUIA,PUERTO BERRIO,BRAYAN ARLEY URIBE BARRENECHE,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,13566
Concejo,ANTIOQUIA,PUERTO BERRIO,CARLOS ANDRES PEREZ ALTURO,PARTIDO COLOMBIA JUSTA LIBRES,13526
Concejo,ANTIOQUIA,PUERTO BERRIO,CARLOS EDUARDO CASTAÑO CARMONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,13636
Concejo,ANTIOQUIA,PUERTO BERRIO,CARLOS ENRIQUE MUNEVAR RIOS,PARTIDO LIBERAL COLOMBIANO,13491
Concejo,ANTIOQUIA,PUERTO BERRIO,CARMEN  TIQUE SANDOVAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,13524
Concejo,ANTIOQUIA,PUERTO BERRIO,CARMEN ENIT PEREZ CHANCI,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,13624
Concejo,ANTIOQUIA,PUERTO BERRIO,CHRISTIAN  ORREGO RUIZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,13654
Concejo,ANTIOQUIA,PUERTO BERRIO,CRISTIAN DAVID MARIN GUTIERREZ,PARTIDO ALIANZA VERDE,13611
Concejo,ANTIOQUIA,PUERTO BERRIO,CUSTODIO  PALOMINO PARRA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,13572
Concejo,ANTIOQUIA,PUERTO BERRIO,DAIRO LEON ISAZA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,13648
Concejo,ANTIOQUIA,PUERTO BERRIO,DARLEY YURANIA LONDOÑO MERCADO,PARTIDO COLOMBIA RENACIENTE,13544
Concejo,ANTIOQUIA,PUERTO BERRIO,DAYAN ESTEBAN SALDARRIAGA BOLAÑOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,13646
Concejo,ANTIOQUIA,PUERTO BERRIO,DIANA MARIA MARULANDA COMAS,PARTIDO ADA,13552
Concejo,ANTIOQUIA,PUERTO BERRIO,DURLEY  ARGUELLES URIBE,PARTIDO CAMBIO RADICAL,13600
Concejo,ANTIOQUIA,PUERTO BERRIO,EDGAR ALONSO VILLA ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,13657
Concejo,ANTIOQUIA,PUERTO BERRIO,EDWIN ALEXANDER CARMONA ARIZA,PARTIDO LIBERAL COLOMBIANO,13485
