corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ADRIANA MARIA GRANDA ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,12161
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ALEJANDRA YULIET OSPINA ESCOBAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12172
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ANA MARIA VASCO TORRES,PARTIDO COLOMBIA JUSTA LIBRES,12094
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ANDREA CATALINA ECHEVERRY YEPES,PARTIDO CENTRO DEMOCRATICO,12079
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ANDRES  JIMENEZ VALDERRAMA,PARTIDO ALIANZA VERDE,12145
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ANGELA DIOSELA VASQUEZ LEMA,PARTIDO CAMBIO RADICAL,12131
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ANGIE PAOLA ARBOLEDA MARTINEZ,PARTIDO COLOMBIA RENACIENTE,12106
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ANGIE PAOLA MUÑETON VAHOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,12164
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,ARPIDIO  VARGAS VARGAS,PARTIDO LIBERAL COLOMBIANO,12069
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,BEATRIZ ELENA PULIDO OSPINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,12091
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,BLANCA OLGA PINTO ZARATE,PARTIDO CAMBIO RADICAL,12127
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,BRISEIDA  CHACON RUIZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,12176
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,CAMILO  MORALES RENDON,PARTIDO CAMBIO RADICAL,12134
Concejo,ANTIOQUIA,PUERTO NARE LA MAGDALENA,CARLOS ALBERTO GRANDA APONTE,PARTIDO CAMBIO RADICAL,12132
