corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,PUERTO TRIUNFO,ALEJANDRO  TRIANA GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,13717
Concejo,ANTIOQUIA,PUERTO TRIUNFO,ANDREA  SIERRA MORALES,PARTIDO ALIANZA VERDE,13706
Concejo,ANTIOQUIA,PUERTO TRIUNFO,ANDRES MAURICIO ORREGO GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,13689
Concejo,ANTIOQUIA,PUERTO TRIUNFO,ANGY  QUINTERO GONZALEZ,PARTIDO ALIANZA VERDE,13707
Concejo,ANTIOQUIA,PUERTO TRIUNFO,BRAYAN ESTIBEN MORALES MEJIA,PARTIDO CENTRO DEMOCRATICO,13680
Concejo,ANTIOQUIA,PUERTO TRIUNFO,BRIAYAN ALEXIS CORREA RODAS,PARTIDO CONSERVADOR COLOMBIANO,13688
Concejo,ANTIOQUIA,PUERTO TRIUNFO,CARLOS ANDRES VERGARA RIVERA,PARTIDO LIBERAL COLOMBIANO,13666
Concejo,ANTIOQUIA,PUERTO TRIUNFO,CARLOS ANTONIO LONDOÑO CARDONA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,13708
Concejo,ANTIOQUIA,PUERTO TRIUNFO,CARLOS FERNANDO PEREZ SILVA,PARTIDO CAMBIO RADICAL,13697
Concejo,ANTIOQUIA,PUERTO TRIUNFO,CARLOS JHASSON PINO MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,13729
Concejo,ANTIOQUIA,PUERTO TRIUNFO,CLARIVEL  SALAZAR HERRERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,13713
Concejo,ANTIOQUIA,PUERTO TRIUNFO,CLAUDIA PATRICIA MORALES DUARTE,MOVIMIENTO INDEPENDIENTE TRIUNFO UNIDO TU,13736
Concejo,ANTIOQUIA,PUERTO TRIUNFO,DAVID ALEXANDER AGUIRRE GARCIA,PARTIDO LIBERAL COLOMBIANO,13668
Concejo,ANTIOQUIA,PUERTO TRIUNFO,DIANA CRISTINA QUINTERO ,PARTIDO CENTRO DEMOCRATICO,13676
Concejo,ANTIOQUIA,PUERTO TRIUNFO,DIEGO ALEJANDRO ALVAREZ ORTEGA,PARTIDO CENTRO DEMOCRATICO,13678
Concejo,ANTIOQUIA,PUERTO TRIUNFO,DIEGO EDISON MARIN CUERVO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,13726
Concejo,ANTIOQUIA,PUERTO TRIUNFO,DINA MARCELA MEJIA SALAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,13712
