corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN CARLOS,ADELFA NELLY RIOS RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,14528
Concejo,ANTIOQUIA,SAN CARLOS,ADIELA DEL SOCORRO GIRALDO ARISTIZABAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14552
Concejo,ANTIOQUIA,SAN CARLOS,ADRIANA PATRICIA CALDERON ARAQUE,PARTIDO ALIANZA VERDE,14545
Concejo,ANTIOQUIA,SAN CARLOS,ALBEIRO DE JESUS CUERVO CALDERON,PARTIDO COLOMBIA RENACIENTE,14515
Concejo,ANTIOQUIA,SAN CARLOS,ALBERTO DE JESUS MANCERA OSPINA,PARTIDO ALIANZA VERDE,14544
Concejo,ANTIOQUIA,SAN CARLOS,ALONSO DE JESUS CUERVO PARRA,PARTIDO COLOMBIA RENACIENTE,14517
Concejo,ANTIOQUIA,SAN CARLOS,ANGELA  GARCIA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14567
Concejo,ANTIOQUIA,SAN CARLOS,ANGELA MARIA MORENO SALAZAR,PARTIDO LIBERAL COLOMBIANO,14491
Concejo,ANTIOQUIA,SAN CARLOS,ANLLY KARINA LOPEZ VALENCIA,PARTIDO COLOMBIA RENACIENTE,14507
Concejo,ANTIOQUIA,SAN CARLOS,ANTONINO  GARCIA GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14562
Concejo,ANTIOQUIA,SAN CARLOS,ARGEMIRO  ARIAS MUÑOZ,PARTIDO LIBERAL COLOMBIANO,14493
Concejo,ANTIOQUIA,SAN CARLOS,ARMANCITO HERNAN GALEANO GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14564
Concejo,ANTIOQUIA,SAN CARLOS,BEATRIZ ELENA LONDOÑO RENDON,PARTIDO CONSERVADOR COLOMBIANO,14523
Concejo,ANTIOQUIA,SAN CARLOS,BERTA DE JESUS DUQUE GARCIA,PARTIDO LIBERAL COLOMBIANO,14490
Concejo,ANTIOQUIA,SAN CARLOS,CAMILA  ORREGO SALAZAR,PARTIDO COLOMBIA RENACIENTE,14511
