corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ABRAHAN  DIAZ AVILA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14810
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ADELAIDA  ALIAN SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14804
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ALAIN DE JESUS HENAO FLOREZ,PARTIDO CENTRO DEMOCRATICO,14733
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ALCIDES  FERNANDEZ MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14820
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ALEJANDRO  GAVIRIA CUADRADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,14747
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ALFREDO  LOPEZ GOMEZ,PARTIDO LIBERAL COLOMBIANO,14727
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ANA LEONOR SILGADO JULIO,PARTIDO CAMBIO RADICAL,14775
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ANGEL TEODORO TORRES BLANCO,PARTIDO COLOMBIA JUSTA LIBRES,14753
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ANGIE TATIANA MORELO MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14828
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ARGENITO MANUEL MONTALVO AGAMEZ,PARTIDO ALIANZA VERDE,14794
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ARLEYDER  HERNANDEZ REYES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14806
Concejo,ANTIOQUIA,SAN JUAN DE URABA,ARNEDI DE JESUS MENDEZ TORDECILLA,PARTIDO CONSERVADOR COLOMBIANO,14771
Concejo,ANTIOQUIA,SAN JUAN DE URABA,BALTAZAR  FUENTES CAVADIA,PARTIDO CENTRO DEMOCRATICO,14731
Concejo,ANTIOQUIA,SAN JUAN DE URABA,BENITA  BLANCO BOLAÑO,PARTIDO CONSERVADOR COLOMBIANO,14767
Concejo,ANTIOQUIA,SAN JUAN DE URABA,BLANCA NIEVE QUINTERO BONOLIS,PARTIDO LIBERAL COLOMBIANO,14723
Concejo,ANTIOQUIA,SAN JUAN DE URABA,BLAS  MORELO QUINTANA,PARTIDO CAMBIO RADICAL,14777
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CARLOS ALBERTO POLO TORRES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,14745
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CARLOS ENRIQUE BOGALLO MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14832
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CARMELO JESUS DAZA PEREZ,PARTIDO ALIANZA VERDE,14787
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CASTULO  MENDOZA GUERRERO,PARTIDO ALIANZA VERDE,14791
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CESAR  YEPES REBOLLEDO,PARTIDO CAMBIO RADICAL,14783
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CESAR AUGUSTO HOYOS POLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,14744
Concejo,ANTIOQUIA,SAN JUAN DE URABA,CLARA CATALINA FUENTES QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14836
