corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN LUIS,ALVARO EUSEBIO TORO DUQUE,PARTIDO ALIANZA VERDE,14891
Concejo,ANTIOQUIA,SAN LUIS,ANCIZAR DE JESUS CASTAÑO CUERVO,PARTIDO LIBERAL COLOMBIANO,14849
Concejo,ANTIOQUIA,SAN LUIS,ANDRES  FLOREZ ZAPATA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14911
Concejo,ANTIOQUIA,SAN LUIS,ANDRES DE JESUS DUQUE FRANCO,PARTIDO ALIANZA VERDE,14893
Concejo,ANTIOQUIA,SAN LUIS,ARGEMIRO  VERGARA SOTO,PARTIDO CAMBIO RADICAL,14887
Concejo,ANTIOQUIA,SAN LUIS,ARIEL DE JESUS CIRO GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14904
Concejo,ANTIOQUIA,SAN LUIS,ARNULFO  BERRIO NARANJO,PARTIDO ALIANZA VERDE,14890
Concejo,ANTIOQUIA,SAN LUIS,ARSECIO IVAN PEREZ QUINTERO,PARTIDO CAMBIO RADICAL,14883
Concejo,ANTIOQUIA,SAN LUIS,BERTA NELY NAVA CIRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14915
Concejo,ANTIOQUIA,SAN LUIS,CLARA NIDIA RENGIFO MOSQUERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14906
Concejo,ANTIOQUIA,SAN LUIS,CLAUDIA SENET CASTAÑEDA ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14899
Concejo,ANTIOQUIA,SAN LUIS,DANIEL FELIPE LEGARDA SALAZAR,PARTIDO CAMBIO RADICAL,14889
Concejo,ANTIOQUIA,SAN LUIS,DELIS PAOLA GARCIA SALAZAR,PARTIDO CAMBIO RADICAL,14884
Concejo,ANTIOQUIA,SAN LUIS,DIANA  CIRO LOPEZ,PARTIDO CAMBIO RADICAL,14880
Concejo,ANTIOQUIA,SAN LUIS,DIANA PATRICIA ALZATE CIRO,PARTIDO CENTRO DEMOCRATICO,14860
Concejo,ANTIOQUIA,SAN LUIS,DUBAN ARBEY QUINCHIA GONZALEZ,PARTIDO ALIANZA VERDE,14892
Concejo,ANTIOQUIA,SAN LUIS,ELIAS DE JESUS SOTO CARDENAS,PARTIDO CAMBIO RADICAL,14882
Concejo,ANTIOQUIA,SAN LUIS,ELKIN FABIAN QUINTERO MAZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14908
Concejo,ANTIOQUIA,SAN LUIS,ERASMO ANTONIO FLOREZ AGUDELO,PARTIDO ALIANZA VERDE,14894
Concejo,ANTIOQUIA,SAN LUIS,ERICA PATRICIA OLAYA GONZALEZ,PARTIDO CENTRO DEMOCRATICO,14862
Concejo,ANTIOQUIA,SAN LUIS,ERIKA CRISTINA MUÑOZ HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14916
Concejo,ANTIOQUIA,SAN LUIS,ESTHER LETICIA MAZO QUINCHIA,PARTIDO CONSERVADOR COLOMBIANO,14870
Concejo,ANTIOQUIA,SAN LUIS,EVELIO  ZULUAGA GONZALEZ,PARTIDO LIBERAL COLOMBIANO,14853
Concejo,ANTIOQUIA,SAN LUIS,FABIO NELSON CASTAÑO SOTO,PARTIDO CAMBIO RADICAL,14888
Concejo,ANTIOQUIA,SAN LUIS,FLOR MORELIA RAMIREZ ,PARTIDO CENTRO DEMOCRATICO,14858
Concejo,ANTIOQUIA,SAN LUIS,FRANCISCO JAVIER AGUDELO MORALES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14913
Concejo,ANTIOQUIA,SAN LUIS,GLADIS UVIELY DAZA DUQUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14910
Concejo,ANTIOQUIA,SAN LUIS,GONZALO DE JESUS TORO COSME,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14917
Concejo,ANTIOQUIA,SAN LUIS,JAIRO DE JESUS DUQUE BURITICA,PARTIDO CONSERVADOR COLOMBIANO,14872
Concejo,ANTIOQUIA,SAN LUIS,JAROL YESID GARCIA MONSALVE,PARTIDO CENTRO DEMOCRATICO,14857
Concejo,ANTIOQUIA,SAN LUIS,JESUS REINALDO GIRALDO CASTRILLON,PARTIDO CENTRO DEMOCRATICO,14867
Concejo,ANTIOQUIA,SAN LUIS,JOEL ANTONIO ZULUAGA BOTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14905
Concejo,ANTIOQUIA,SAN LUIS,JOHN JAIRO RAMIREZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,14863
Concejo,ANTIOQUIA,SAN LUIS,JOHN NELSON GIRALDO BERRIO,PARTIDO CENTRO DEMOCRATICO,14865
Concejo,ANTIOQUIA,SAN LUIS,JOSE  MONTOYA NARANJO,PARTIDO CAMBIO RADICAL,14886
Concejo,ANTIOQUIA,SAN LUIS,JOSE DARIO MONTOYA ARISTIZABAL,PARTIDO CENTRO DEMOCRATICO,14861
Concejo,ANTIOQUIA,SAN LUIS,JUAN ABEL VERGARA SUAREZ,PARTIDO CONSERVADOR COLOMBIANO,14871
Concejo,ANTIOQUIA,SAN LUIS,JULIAN ANDRES ALZATE GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,14877
Concejo,ANTIOQUIA,SAN LUIS,KATHERINNE  PUCHANA SUAREZ,PARTIDO ALIANZA VERDE,14897
Concejo,ANTIOQUIA,SAN LUIS,KELLY JOJANA CASTRILLON MENESES,PARTIDO LIBERAL COLOMBIANO,14856
Concejo,ANTIOQUIA,SAN LUIS,LEANY SORAIDA URIBE PADILLA,PARTIDO LIBERAL COLOMBIANO,14852
Concejo,ANTIOQUIA,SAN LUIS,LILIA NORA VELEZ ZAPATA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14912
Concejo,ANTIOQUIA,SAN LUIS,LINA MARIA GARCIA NARANJO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14902
Concejo,ANTIOQUIA,SAN LUIS,LUIS CARLOS BERMUDEZ CARDONA,PARTIDO CONSERVADOR COLOMBIANO,14868
Concejo,ANTIOQUIA,SAN LUIS,LUIS GUILLERMO ZAPATA SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14907
Concejo,ANTIOQUIA,SAN LUIS,LUIS URIEL CUADROS CHICA,PARTIDO LIBERAL COLOMBIANO,14848
Concejo,ANTIOQUIA,SAN LUIS,LUZ DARY GOMEZ GARCIA,PARTIDO CONSERVADOR COLOMBIANO,14878
Concejo,ANTIOQUIA,SAN LUIS,LUZ MYRIAM VELASQUEZ VASQUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14914
Concejo,ANTIOQUIA,SAN LUIS,MAGDALENA DEL CARMEN MARIN GIRALDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,14903
Concejo,ANTIOQUIA,SAN LUIS,MARIA FABIOLA HERNANDEZ VILLA,PARTIDO LIBERAL COLOMBIANO,14855
Concejo,ANTIOQUIA,SAN LUIS,MARIA ISABEL PINEDA SOTO,PARTIDO CONSERVADOR COLOMBIANO,14869
Concejo,ANTIOQUIA,SAN LUIS,MARIA ONELIA SERNA MARIN,PARTIDO CAMBIO RADICAL,14885
Concejo,ANTIOQUIA,SAN LUIS,MARIA ORFILIA HOYOS MORALES,PARTIDO CENTRO DEMOCRATICO,14866
Concejo,ANTIOQUIA,SAN LUIS,MARTIN ALONSO MARTINEZ ISAZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14900
Concejo,ANTIOQUIA,SAN LUIS,MARY LUZ CEBALLOS VALENCIA,PARTIDO CAMBIO RADICAL,14881
Concejo,ANTIOQUIA,SAN LUIS,MIRIAM SORANDY GUZMAN GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,14874
Concejo,ANTIOQUIA,SAN LUIS,MISAEL  QUINTERO TORO,PARTIDO CENTRO DEMOCRATICO,14859
Concejo,ANTIOQUIA,SAN LUIS,NORBEY  CEBALLOS ATEHORTUA,PARTIDO LIBERAL COLOMBIANO,14854
Concejo,ANTIOQUIA,SAN LUIS,OCTAVIO DE JESUS VILLEGAS PINEDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14901
Concejo,ANTIOQUIA,SAN LUIS,PEDRO NEL DUQUE QUINCHIA,PARTIDO LIBERAL COLOMBIANO,14850
Concejo,ANTIOQUIA,SAN LUIS,RIGOBERTO  RODRIGUEZ SALCEDO,PARTIDO CONSERVADOR COLOMBIANO,14875
Concejo,ANTIOQUIA,SAN LUIS,RIGOBERTO  VALENCIA PAMPLONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,14909
Concejo,ANTIOQUIA,SAN LUIS,ROBERTO ANTONIO SALAZAR CASTAÑO,PARTIDO CONSERVADOR COLOMBIANO,14876
Concejo,ANTIOQUIA,SAN LUIS,RODRIGO DE JESUS MARTINEZ SUAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,14898
Concejo,ANTIOQUIA,SAN LUIS,VICTOR JULIO DUQUE GOMEZ,PARTIDO CAMBIO RADICAL,14879
Concejo,ANTIOQUIA,SAN LUIS,VICTOR JULIO VERGARA SUAREZ,PARTIDO LIBERAL COLOMBIANO,14851
Concejo,ANTIOQUIA,SAN LUIS,WILLER ADRIAN GARCIA GARCIA,PARTIDO LIBERAL COLOMBIANO,14847
Concejo,ANTIOQUIA,SAN LUIS,WILLIAM DE JESUS GIRALDO QUINCHIA,PARTIDO CONSERVADOR COLOMBIANO,14873
Concejo,ANTIOQUIA,SAN LUIS,YERALDIN  GOMEZ SOTO,PARTIDO ALIANZA VERDE,14895
Concejo,ANTIOQUIA,SAN LUIS,YURANI ANDREA SOTO GONZALEZ,PARTIDO ALIANZA VERDE,14896
Concejo,ANTIOQUIA,SAN LUIS,ZORAIDA AMPARO MAZO HOYOS,PARTIDO CENTRO DEMOCRATICO,14864
