corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ABELARDO ENRIQUE AVILA PEÑA,PARTIDO CONSERVADOR COLOMBIANO,15054
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,AIDA LUZ GONZALEZ MARTINEZ,PARTIDO CENTRO DEMOCRATICO,15030
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ALEJANDRO JOSE VERGARA PATERNINA,PARTIDO LIBERAL COLOMBIANO,15023
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ALEXANDRA  COMBATT ARTHEAGA,PARTIDO ALIANZA VERDE,15072
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ALVARO  RIVERA NOVOA,PARTIDO CENTRO DEMOCRATICO,15029
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ARNET DEL CARMEN GUTIERREZ WILCHES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15088
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,BEATRIZ ELENA RUIZ PADILLA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,15108
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,BLANCA NELLY GARCIA ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,15102
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,BUILVER MANUEL BENITEZ RADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15089
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,CARLOS MANUEL OSORIO ARTEAGA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,15107
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,CARLOS MANUEL RAMOS CAUSIL,PARTIDO ALIANZA VERDE,15080
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,CARMELO  LOPEZ HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,15055
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,DAIRO AUGUSTO JIMENEZ ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15045
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,DAVID ANTONIO GUTIERREZ JULIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15036
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,DEISY ANDREA DURANGO ZULUAGA,PARTIDO LIBERAL COLOMBIANO,15020
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EDILMA ROSA MORELO PALACIO,PARTIDO CONSERVADOR COLOMBIANO,15056
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EDINSON ENRIQUE GONZALEZ IBARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15096
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EDUARDO JOSE TEHERAN PLAZA,PARTIDO CAMBIO RADICAL,15065
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EDUIN JOSE MORALES PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15040
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EDUIN MANUEL TALAIGUA FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15039
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ELIZABETH  FLOREZ ARTEAGA,PARTIDO CENTRO DEMOCRATICO,15031
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,ELVIA ISABEL PINEDA CARDENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15092
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EMILIA MARLENY HERNANDEZ POSSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15091
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,EUFEMIA  PEREZ GOMEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,15106
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,FABIAN  ARTEAGA ARGUMEDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15042
Concejo,ANTIOQUIA,SAN PEDRO DE URABA,FABIO ENRIQUE PEREA MORENO,PARTIDO LIBERAL COLOMBIANO,15016
