corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN PEDRO,ADRIAN ALITER ZAPATA MESA,PARTIDO ALIANZA VERDE,15002
Concejo,ANTIOQUIA,SAN PEDRO,ADRIAN FELIPE PATIÑO GARCIA,PARTIDO ALIANZA VERDE,14997
Concejo,ANTIOQUIA,SAN PEDRO,ALBA LUCIA BEDOYA CASTRO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,14945
Concejo,ANTIOQUIA,SAN PEDRO,ALEJANDRA MARIA BUSTAMANTE ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,14959
Concejo,ANTIOQUIA,SAN PEDRO,ALEJANDRO  MOLINA PUERTA,PARTIDO ALIANZA VERDE,14994
Concejo,ANTIOQUIA,SAN PEDRO,ALEJANDRO ESTEBAN RESTREPO ZAPATA,PARTIDO CAMBIO RADICAL,14986
Concejo,ANTIOQUIA,SAN PEDRO,ALVARO DE JESUS GONZALEZ ,PARTIDO COLOMBIA RENACIENTE,14950
Concejo,ANTIOQUIA,SAN PEDRO,ANA MARIA PEREZ RESTREPO,PARTIDO LIBERAL COLOMBIANO,14930
Concejo,ANTIOQUIA,SAN PEDRO,CARLOS ALBERTO RAMIREZ CUARTAS,PARTIDO CENTRO DEMOCRATICO,14942
Concejo,ANTIOQUIA,SAN PEDRO,CARLOS MARIO DE LOS MILAGROS AVENDAÑO MUNERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15003
Concejo,ANTIOQUIA,SAN PEDRO,CARLOS MARIO PEREZ RUIZ,PARTIDO LIBERAL COLOMBIANO,14918
Concejo,ANTIOQUIA,SAN PEDRO,CARLOS VIDAL MUNERA AVENDAÑO,PARTIDO CENTRO DEMOCRATICO,14939
Concejo,ANTIOQUIA,SAN PEDRO,CAROLINA  AVENDAÑO VELASQUEZ,PARTIDO CAMBIO RADICAL,14988
Concejo,ANTIOQUIA,SAN PEDRO,CLAUDIA YASMIN ESPINOSA HERRERA,PARTIDO COLOMBIA RENACIENTE,14954
Concejo,ANTIOQUIA,SAN PEDRO,CONSTANTINO DE JESUS MARIN TAMAYO,PARTIDO LIBERAL COLOMBIANO,14920
Concejo,ANTIOQUIA,SAN PEDRO,DANIELA  MUNERA MEDINA,PARTIDO ALIANZA VERDE,14999
Concejo,ANTIOQUIA,SAN PEDRO,DAVID ANDRES BERMUDEZ MUNERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,14946
Concejo,ANTIOQUIA,SAN PEDRO,DAVID ESTEBAN RESTREPO PEREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,14962
Concejo,ANTIOQUIA,SAN PEDRO,DEICY LORENA ECHEVERRY ESCOBAR,PARTIDO COLOMBIA RENACIENTE,14952
Concejo,ANTIOQUIA,SAN PEDRO,DIANA MILENA RAMIREZ GOMEZ,PARTIDO LIBERAL COLOMBIANO,14921
Concejo,ANTIOQUIA,SAN PEDRO,DORALBA DE JESUS TAMAYO JARAMILLO,PARTIDO CENTRO DEMOCRATICO,14938
Concejo,ANTIOQUIA,SAN PEDRO,EDUART  GOMEZ GOMEZ,PARTIDO LIBERAL COLOMBIANO,14926
Concejo,ANTIOQUIA,SAN PEDRO,EDWIN ARLEX PATIÑO MUNERA,PARTIDO CONSERVADOR COLOMBIANO,14976
Concejo,ANTIOQUIA,SAN PEDRO,ELIZABETH DE LOS MILAGROS RODRIGUEZ MEJIA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,14960
Concejo,ANTIOQUIA,SAN PEDRO,ELKIN ORLANDO MUNERA RESTREPO,PARTIDO CENTRO DEMOCRATICO,14933
Concejo,ANTIOQUIA,SAN PEDRO,ERICA JANET RODRIGUEZ MUÑOZ,PARTIDO LIBERAL COLOMBIANO,14925
Concejo,ANTIOQUIA,SAN PEDRO,ERICA MARIA SUAREZ PEREZ,PARTIDO CONSERVADOR COLOMBIANO,14972
Concejo,ANTIOQUIA,SAN PEDRO,GABRIEL ARTURO BERMUDEZ DIAZ,PARTIDO ALIANZA VERDE,14998
Concejo,ANTIOQUIA,SAN PEDRO,GABRIEL JAIME ARANGO RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,14924
Concejo,ANTIOQUIA,SAN PEDRO,GILDARDO DE JESUS GUERRA MEDINA,PARTIDO COLOMBIA RENACIENTE,14958
Concejo,ANTIOQUIA,SAN PEDRO,GIOVANNY  ZAPATA MONTOYA,PARTIDO ALIANZA VERDE,14996
Concejo,ANTIOQUIA,SAN PEDRO,HECTOR IGNACIO GARCIA LONDOÑO,PARTIDO COLOMBIA RENACIENTE,14949
Concejo,ANTIOQUIA,SAN PEDRO,HECTOR LEON MUNERA ARANGO,PARTIDO CENTRO DEMOCRATICO,14943
Concejo,ANTIOQUIA,SAN PEDRO,JAIME ALBERTO ALVAREZ DIEZ,PARTIDO COLOMBIA RENACIENTE,14957
Concejo,ANTIOQUIA,SAN PEDRO,JAIME ALFONSO PEREZ GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,14975
Concejo,ANTIOQUIA,SAN PEDRO,JAIME DE JESUS TEJADA YEPES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,14944
Concejo,ANTIOQUIA,SAN PEDRO,JAIME ORLANDO ZAPATA MUÑOZ,PARTIDO CENTRO DEMOCRATICO,14940
Concejo,ANTIOQUIA,SAN PEDRO,JENNIFER ANGELICA VELEZ VALENCIA,PARTIDO ALIANZA VERDE,14993
Concejo,ANTIOQUIA,SAN PEDRO,JESUS ALEJANDRO LONDOÑO PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15009
Concejo,ANTIOQUIA,SAN PEDRO,JESUS ALFONSO BETANCUR RUIZ,PARTIDO CAMBIO RADICAL,14987
Concejo,ANTIOQUIA,SAN PEDRO,JESUS MARIA TAMAYO ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,14971
Concejo,ANTIOQUIA,SAN PEDRO,JOHN FREDY GOMEZ GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15007
Concejo,ANTIOQUIA,SAN PEDRO,JORGE ALBERTO RUIZ RESTREPO,PARTIDO CENTRO DEMOCRATICO,14937
Concejo,ANTIOQUIA,SAN PEDRO,JORGE IVAN HERRERA RESTREPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15006
Concejo,ANTIOQUIA,SAN PEDRO,JORGE IVAN VELASQUEZ VELASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,14964
