corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN RAFAEL,ADOLFO ANTONIO SALAZAR GIRALDO,PARTIDO CAMBIO RADICAL,15157
Concejo,ANTIOQUIA,SAN RAFAEL,ADOLFO DE JESUS PEREZ GALLEGO,PARTIDO CENTRO DEMOCRATICO,15121
Concejo,ANTIOQUIA,SAN RAFAEL,ALADINO  HINCAPIE TORRES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,15172
Concejo,ANTIOQUIA,SAN RAFAEL,ALBA LUCIA MORALES GALEANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15186
Concejo,ANTIOQUIA,SAN RAFAEL,ANDREINA  SALAZAR ARIAS,PARTIDO COLOMBIA JUSTA LIBRES,15134
Concejo,ANTIOQUIA,SAN RAFAEL,ANGY FANERY ARIAS CORREA,PARTIDO COLOMBIA RENACIENTE,117799
Concejo,ANTIOQUIA,SAN RAFAEL,ARGEMIRO DE JESUS GARCIA GALEANO,PARTIDO CAMBIO RADICAL,15151
Concejo,ANTIOQUIA,SAN RAFAEL,BEATRIZ HELENA OROZCO ZULUAGA,PARTIDO LIBERAL COLOMBIANO,15110
Concejo,ANTIOQUIA,SAN RAFAEL,BENITO ANDRES GOMEZ GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15185
Concejo,ANTIOQUIA,SAN RAFAEL,BERENICE  GONZALEZ RIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15188
Concejo,ANTIOQUIA,SAN RAFAEL,CARLOS ALBERTO CARO MESA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,15171
Concejo,ANTIOQUIA,SAN RAFAEL,CESAR AUGUSTO QUINTANA GIRALDO,PARTIDO COLOMBIA JUSTA LIBRES,15132
Concejo,ANTIOQUIA,SAN RAFAEL,DAICY MARIA DAZA CLAVIJO,PARTIDO CENTRO DEMOCRATICO,15125
Concejo,ANTIOQUIA,SAN RAFAEL,DAIRO DE JESUS USME RIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15184
Concejo,ANTIOQUIA,SAN RAFAEL,DARIO DE JESUS GUISAO VALDERRAMA,PARTIDO LIBERAL COLOMBIANO,15116
Concejo,ANTIOQUIA,SAN RAFAEL,DARLY MALLERLYN BRAVO AGUIRRE,PARTIDO CENTRO DEMOCRATICO,15129
Concejo,ANTIOQUIA,SAN RAFAEL,DIANA MARCELA PARRA RAMIREZ,PARTIDO CAMBIO RADICAL,15155
