corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SAN ROQUE,ALIRIO DE JESUS AGUDELO FRANCO,PARTIDO CENTRO DEMOCRATICO,15206
Concejo,ANTIOQUIA,SAN ROQUE,ANTONIO JOSE ORREGO ECHAVARRIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15257
Concejo,ANTIOQUIA,SAN ROQUE,ARLEY ALFONSO DUQUE MONSALVE,PARTIDO COLOMBIA JUSTA LIBRES,15210
Concejo,ANTIOQUIA,SAN ROQUE,ARMANDO DE JESUS YARCE VALENCIA,PARTIDO ALIANZA VERDE,15240
Concejo,ANTIOQUIA,SAN ROQUE,BEATRIZ EDILMA FRANCO OCHOA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15252
Concejo,ANTIOQUIA,SAN ROQUE,BEATRIZ EUGENIA LOPEZ GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15263
Concejo,ANTIOQUIA,SAN ROQUE,BERARDO  VELASQUEZ OSORIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15259
Concejo,ANTIOQUIA,SAN ROQUE,BLANCA CECILIA SALDARRIAGA VALLEJO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15258
Concejo,ANTIOQUIA,SAN ROQUE,BLANCA DORIS ARISMENDY AGUIRRE,PARTIDO COLOMBIA JUSTA LIBRES,15214
Concejo,ANTIOQUIA,SAN ROQUE,BLANCA EUNICE RUEDA CARO,PARTIDO CENTRO DEMOCRATICO,15209
Concejo,ANTIOQUIA,SAN ROQUE,CARLOS HERNANDO VILLA RESTREPO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15255
Concejo,ANTIOQUIA,SAN ROQUE,CESAR AUGUSTO MOLINA CARVAJAL,PARTIDO ALIANZA VERDE,15241
Concejo,ANTIOQUIA,SAN ROQUE,CLARA VICTORIA LANDINEZ MOLINA,PARTIDO LIBERAL COLOMBIANO,15194
Concejo,ANTIOQUIA,SAN ROQUE,CLAUDIA ERESBEY CALLEJAS QUINTERO,PARTIDO ALIANZA VERDE,15247
Concejo,ANTIOQUIA,SAN ROQUE,DANIEL MATEO OSSA SOSA,PARTIDO CENTRO DEMOCRATICO,15207
Concejo,ANTIOQUIA,SAN ROQUE,DIANA MARIA CADAVID FERNANDEZ,PARTIDO LIBERAL COLOMBIANO,15193
Concejo,ANTIOQUIA,SAN ROQUE,EDGAR DARIO GOMEZ ACEVEDO,PARTIDO CONSERVADOR COLOMBIANO,15225
Concejo,ANTIOQUIA,SAN ROQUE,EDISON OCTAVIO MEJIA BARRENECHE,PARTIDO COLOMBIA JUSTA LIBRES,15217
Concejo,ANTIOQUIA,SAN ROQUE,EDITH MARINA LOPEZ PULGARIN,PARTIDO CONSERVADOR COLOMBIANO,15222
Concejo,ANTIOQUIA,SAN ROQUE,ELKIN ALEXANDER GOMEZ MAYA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15262
Concejo,ANTIOQUIA,SAN ROQUE,ERIKA JULIETH HENAO ESPINAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15265
Concejo,ANTIOQUIA,SAN ROQUE,ESTEFANIA  SALDARRIAGA ARISMENDI,PARTIDO CENTRO DEMOCRATICO,15203
Concejo,ANTIOQUIA,SAN ROQUE,FABIAN ALBERTO ALZATE ORTEGA,PARTIDO CENTRO DEMOCRATICO,15200
Concejo,ANTIOQUIA,SAN ROQUE,FABIO ANTONIO VALENCIA CHAVERRA,PARTIDO CAMBIO RADICAL,15231
Concejo,ANTIOQUIA,SAN ROQUE,FREDDY HERNAN DUQUE MARQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15256
Concejo,ANTIOQUIA,SAN ROQUE,GABRIEL ANGEL MUÑOZ JARAMILLO,PARTIDO CENTRO DEMOCRATICO,15202
Concejo,ANTIOQUIA,SAN ROQUE,GILBERTO ANTONIO SUAREZ TABORDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15260
Concejo,ANTIOQUIA,SAN ROQUE,GUILLERMO LEON HERNANDEZ RIVERA,PARTIDO LIBERAL COLOMBIANO,15198
Concejo,ANTIOQUIA,SAN ROQUE,HECTOR TOBIAS MUÑETON GOMEZ,PARTIDO CAMBIO RADICAL,15232
Concejo,ANTIOQUIA,SAN ROQUE,HERNAN ALONSO GALVIS LONDOÑO,PARTIDO CONSERVADOR COLOMBIANO,15223
Concejo,ANTIOQUIA,SAN ROQUE,HERNANDO DE JESUS MONSALVE RESTREPO,PARTIDO CAMBIO RADICAL,15233
Concejo,ANTIOQUIA,SAN ROQUE,HERVIN GIOVANY HERNANDEZ DELGADO,PARTIDO LIBERAL COLOMBIANO,15196
Concejo,ANTIOQUIA,SAN ROQUE,HILDA DEL SOCORRO ZORRILLA MALDONADO,PARTIDO CAMBIO RADICAL,15236
Concejo,ANTIOQUIA,SAN ROQUE,JAVIER ESTEBAN CARRASQUILLA SALAZAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15249
