corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,ALBA LUZ OCAMPO SOTO,PARTIDO CENTRO DEMOCRATICO,15491
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,ALBEIRO DE JESUS HENAO MIRA,PARTIDO CENTRO DEMOCRATICO,15488
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,AMANDINA  BRAN CARTAGENA,PARTIDO COLOMBIA RENACIENTE,15513
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,ANTONIO JOSE MESA PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15557
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,BETTY MARIA ARROYO BENITEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15562
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,CARLOS ALONSO VELEZ ,PARTIDO CAMBIO RADICAL,15531
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,CARLOS ANDRES CALLE ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15499
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,CARLOS ARTURO GOMEZ PRECIADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,15552
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,CLAUDIA PATRICIA ARISTIZABAL CASAS,PARTIDO COLOMBIA RENACIENTE,15511
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,DANIEL ARTURO ROLDAN RAMIREZ,PARTIDO COLOMBIA RENACIENTE,15509
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,DANIEL ESTEBAN ROJO TAMAYO,PARTIDO CAMBIO RADICAL,15529
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,DANIELA  MONSALVE GOMEZ,PARTIDO ALIANZA VERDE,15544
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,DANIELA  PATIÑO ALVAREZ,PARTIDO ALIANZA VERDE,15546
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,DIANA MARIA ROJAS TABORDA,PARTIDO CONSERVADOR COLOMBIANO,15519
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,EDUARDO ANIBAL GRANDA ARBOLEDA,PARTIDO COLOMBIA RENACIENTE,15502
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,EVELIO DE JESUS YEPES PEREZ,PARTIDO CONSERVADOR COLOMBIANO,15522
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,EXEQUIEL HUMBERTO VELASQUEZ GRANDA,PARTIDO CENTRO DEMOCRATICO,15487
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,FABIO NELSON LOPERA RESTREPO,PARTIDO COLOMBIA RENACIENTE,15506
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,FELIX ARMANDO ARBOLEDA ARANGO,PARTIDO CAMBIO RADICAL,15532
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,FERNANDO  ALVAREZ RAMIREZ,PARTIDO CENTRO DEMOCRATICO,15484
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,FRANCISCO JAVIER ROLDAN VELEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,15549
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,GABRIEL  BUILES CORREA,PARTIDO COLOMBIA RENACIENTE,15514
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,GERMAN ANTONIO GOEZ CORREA,PARTIDO ALIANZA VERDE,15540
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,GLORIA JANED ARANGO SIERRA,PARTIDO CONSERVADOR COLOMBIANO,15527
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,GUSTAVO ALONSO HINCAPIE JARAMILLO,PARTIDO CENTRO DEMOCRATICO,15494
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,HECTOR HORACIO ZAPATA RAMIREZ,PARTIDO COLOMBIA RENACIENTE,15507
Concejo,ANTIOQUIA,SANTA ROSA DE OSOS,HUGO NELSON OSORIO MONTOYA,PARTIDO CONSERVADOR COLOMBIANO,15517
