corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,SOPETRAN,ADRIAN FELIPE JARAMILLO LUNA,PARTIDO CAMBIO RADICAL,16029
Concejo,ANTIOQUIA,SOPETRAN,ALEXIS  FRANCO ZAPATA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16046
Concejo,ANTIOQUIA,SOPETRAN,ANA MARIA JARAMILLO VALDERRAMA,PARTIDO CENTRO DEMOCRATICO,15962
Concejo,ANTIOQUIA,SOPETRAN,ANA ROMELIA DEL CARMEN LOPERA ARBOLEDA,PARTIDO LIBERAL COLOMBIANO,15957
Concejo,ANTIOQUIA,SOPETRAN,ANDRES FELIPE MARIN BEDOYA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16007
Concejo,ANTIOQUIA,SOPETRAN,ANGELA MARIA SAUCEDA LONDOÑO,PARTIDO ALIANZA VERDE,16042
Concejo,ANTIOQUIA,SOPETRAN,ANGIE VALERIA ORREGO LONDOÑO,PARTIDO CONSERVADOR COLOMBIANO,16019
Concejo,ANTIOQUIA,SOPETRAN,ARGIRO  MUÑOZ HERRERA,PARTIDO LIBERAL COLOMBIANO,15956
Concejo,ANTIOQUIA,SOPETRAN,BERNARDO  BLANCO MIRANDA,PARTIDO COLOMBIA RENACIENTE,15982
Concejo,ANTIOQUIA,SOPETRAN,BRAYAM  MARQUEZ MONTOYA,PARTIDO ADA,15992
Concejo,ANTIOQUIA,SOPETRAN,BRAYAN ESTEBAN ECHEVERRI VELASQUEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16001
Concejo,ANTIOQUIA,SOPETRAN,CARLOS DARIO MONTOYA BUSTAMANTE,PARTIDO COLOMBIA RENACIENTE,15987
Concejo,ANTIOQUIA,SOPETRAN,CARLOS JOSE VEGA SUESCUN,PARTIDO CONSERVADOR COLOMBIANO,16013
Concejo,ANTIOQUIA,SOPETRAN,CAROLINA  PEREZ QUICENO,PARTIDO LIBERAL COLOMBIANO,15955
Concejo,ANTIOQUIA,SOPETRAN,DIANA FARLEY VILLADA ALVAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16053
Concejo,ANTIOQUIA,SOPETRAN,DIANA MARIA MONTOYA ZAPATA,PARTIDO CONSERVADOR COLOMBIANO,16018
Concejo,ANTIOQUIA,SOPETRAN,DIANA MILENA FLOREZ CUARTAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16045
Concejo,ANTIOQUIA,SOPETRAN,DIANA PATRICIA ACEVEDO DURANGO,PARTIDO ADA,15998
Concejo,ANTIOQUIA,SOPETRAN,DIMAS DE JESUS PEREZ ,PARTIDO LIBERAL COLOMBIANO,15952
Concejo,ANTIOQUIA,SOPETRAN,DIOSELINA  VEGA DE LONDOÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16064
Concejo,ANTIOQUIA,SOPETRAN,DORIAN DE JESUS SANCHEZ ARIAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16056
Concejo,ANTIOQUIA,SOPETRAN,DUBAN ESTEBAN MURIEL ROJO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16009
Concejo,ANTIOQUIA,SOPETRAN,EDISON FERNANDO LEZCANO JIMENEZ,PARTIDO CENTRO DEMOCRATICO,15967
Concejo,ANTIOQUIA,SOPETRAN,ELIANA ASTRID FLOREZ GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16051
Concejo,ANTIOQUIA,SOPETRAN,ELIO FROILAN MUÑOZ VEGA,PARTIDO CENTRO DEMOCRATICO,15961
Concejo,ANTIOQUIA,SOPETRAN,ELKIN ALONSO GIRALDO MARTINEZ,PARTIDO CAMBIO RADICAL,16028
Concejo,ANTIOQUIA,SOPETRAN,ENEIDA LUCIA ARIAS PINEDA,PARTIDO LIBERAL COLOMBIANO,15951
Concejo,ANTIOQUIA,SOPETRAN,ERNESTO ALONSO ARAQUE CAÑOLA,PARTIDO CENTRO DEMOCRATICO,15960
Concejo,ANTIOQUIA,SOPETRAN,FABIAN DARIO BUILES ARBOLEDA,PARTIDO ADA,15991
Concejo,ANTIOQUIA,SOPETRAN,FABIO ALONSO RIVERA RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,15968
Concejo,ANTIOQUIA,SOPETRAN,FABIO LEON CALLEJAS MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16068
Concejo,ANTIOQUIA,SOPETRAN,FELIPE  GUINGUE VAHOS,PARTIDO CENTRO DEMOCRATICO,15963
Concejo,ANTIOQUIA,SOPETRAN,FERNANDO AUGUSTO PARRA ARBOLEDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16052
Concejo,ANTIOQUIA,SOPETRAN,FREDY ALONSO GUTIERREZ MUÑOZ,PARTIDO ALIANZA VERDE,16041
Concejo,ANTIOQUIA,SOPETRAN,GILMA DEL CARMEN LONDOÑO RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16069
Concejo,ANTIOQUIA,SOPETRAN,GLORIA EMILCE MONTOYA RODRIGUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16044
Concejo,ANTIOQUIA,SOPETRAN,GLORIA MERCEDES ESCUDERO LONDOÑO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16008
Concejo,ANTIOQUIA,SOPETRAN,GLORIA SOFIA LONDOÑO RODRIGUEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16000
Concejo,ANTIOQUIA,SOPETRAN,GUSTAVO ALONSO LONDONO LONDONO,PARTIDO CAMBIO RADICAL,16023
Concejo,ANTIOQUIA,SOPETRAN,HARLEY DE  JESUS LONDOÑO METAUTE,PARTIDO ADA,15993
Concejo,ANTIOQUIA,SOPETRAN,HECTOR DE JESUS VALDERRAMA OSORIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16065
Concejo,ANTIOQUIA,SOPETRAN,HELDA MARLEY VEGA MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15971
Concejo,ANTIOQUIA,SOPETRAN,HERNANDO ALONSO BRAN LONDOÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16060
Concejo,ANTIOQUIA,SOPETRAN,HUMBERTO DE JESUS MEDINA TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16061
Concejo,ANTIOQUIA,SOPETRAN,ISMAEL DE JESUS URIBE ESCUDERO,PARTIDO LIBERAL COLOMBIANO,15953
Concejo,ANTIOQUIA,SOPETRAN,ISRAEL ERNESTO CARDONA TOBON,PARTIDO LIBERAL COLOMBIANO,15948
Concejo,ANTIOQUIA,SOPETRAN,JHON ALEXANDER LEZCANO OQUENDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16070
Concejo,ANTIOQUIA,SOPETRAN,JHON FERNANDO OSORIO BAENA,PARTIDO ALIANZA VERDE,16039
Concejo,ANTIOQUIA,SOPETRAN,JORGE ELIESER GUTIERREZ ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,16012
Concejo,ANTIOQUIA,SOPETRAN,JOSE ALEJANDRO GOMEZ BUILES,PARTIDO ALIANZA VERDE,16038
Concejo,ANTIOQUIA,SOPETRAN,JOSE ALEXANDER VILLA GUERRA,PARTIDO LIBERAL COLOMBIANO,15950
Concejo,ANTIOQUIA,SOPETRAN,JOSE JULIAN AGUDELO RENDON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15977
Concejo,ANTIOQUIA,SOPETRAN,JUAN BAUTISTA BAENA JIMENEZ,PARTIDO LIBERAL COLOMBIANO,15949
Concejo,ANTIOQUIA,SOPETRAN,JUAN BAUTISTA GUTIERREZ GOEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,16073
Concejo,ANTIOQUIA,SOPETRAN,JUAN ESTEBAN CASTRO RUIZ,PARTIDO CAMBIO RADICAL,16031
Concejo,ANTIOQUIA,SOPETRAN,JUAN ESTEBAN LONDOÑO ARANGO,PARTIDO ALIANZA VERDE,16035
Concejo,ANTIOQUIA,SOPETRAN,KATHERINE  LEGARDA QUIÑONES,PARTIDO CONSERVADOR COLOMBIANO,16017
Concejo,ANTIOQUIA,SOPETRAN,LAURA CRISTINA TAVERA ESCUDERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,16072
Concejo,ANTIOQUIA,SOPETRAN,LAURA ESTEFANY HERRERA VAHOS,PARTIDO CONSERVADOR COLOMBIANO,16021
Concejo,ANTIOQUIA,SOPETRAN,LEIDY JOHANA PEREZ MIRANDA,PARTIDO CAMBIO RADICAL,16024
Concejo,ANTIOQUIA,SOPETRAN,LEYDI JOHANA GARCIA SIERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15970
Concejo,ANTIOQUIA,SOPETRAN,LINA MANUELA MARTINEZ LOPEZ,PARTIDO ADA,15995
Concejo,ANTIOQUIA,SOPETRAN,LUIS ALFONSO FRANCO BANQUETH,PARTIDO CAMBIO RADICAL,16032
Concejo,ANTIOQUIA,SOPETRAN,LUIS ALFONSO OQUENDO VILLEGAS,PARTIDO CAMBIO RADICAL,16025
Concejo,ANTIOQUIA,SOPETRAN,LUIS ARBEY GIRALDO MESA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16050
Concejo,ANTIOQUIA,SOPETRAN,LUIS FELIPE CORTES ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15972
Concejo,ANTIOQUIA,SOPETRAN,LUIS FERNANDO OSORIO ZAPATA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16055
Concejo,ANTIOQUIA,SOPETRAN,LUIS OVIDIO ALVAREZ GARCIA,PARTIDO CONSERVADOR COLOMBIANO,16011
Concejo,ANTIOQUIA,SOPETRAN,LUISA FERNANDA OQUENDO MEDINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16067
Concejo,ANTIOQUIA,SOPETRAN,LUZ GLEIDI PUERTA HIGUITA,PARTIDO CAMBIO RADICAL,16027
Concejo,ANTIOQUIA,SOPETRAN,LUZ MARIELA METAUTE DE ORREGO,PARTIDO ALIANZA VERDE,16040
Concejo,ANTIOQUIA,SOPETRAN,MADISON  HOYOS IBARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15975
Concejo,ANTIOQUIA,SOPETRAN,MARCOS SEGUNDO PEREAÑEZ BORJA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16047
Concejo,ANTIOQUIA,SOPETRAN,MARIA ALEXANDRA MACIAS ALVAREZ,PARTIDO COLOMBIA RENACIENTE,15980
Concejo,ANTIOQUIA,SOPETRAN,MARIA AMPARO GONZALEZ GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16063
Concejo,ANTIOQUIA,SOPETRAN,MARIA CAMILA LUNA TILANO,PARTIDO ADA,15990
Concejo,ANTIOQUIA,SOPETRAN,MARIA ELENA VALDERRAMA VALLEJO,PARTIDO CAMBIO RADICAL,16022
Concejo,ANTIOQUIA,SOPETRAN,MARIA EMILSE VALENZUELA LONDOÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16066
Concejo,ANTIOQUIA,SOPETRAN,MARIA FERNANDA VANEGAS FLOREZ,PARTIDO COLOMBIA RENACIENTE,15989
Concejo,ANTIOQUIA,SOPETRAN,MARIA GLORIA ELCY LONDOÑO QUICENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16058
Concejo,ANTIOQUIA,SOPETRAN,MARISSA ISABEL GONZALEZ MONSALVE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16043
Concejo,ANTIOQUIA,SOPETRAN,MARLON DEY PINEDA CRESPO,PARTIDO ADA,15997
Concejo,ANTIOQUIA,SOPETRAN,MAROLYN  FRANCO URIBE,PARTIDO CONSERVADOR COLOMBIANO,16014
Concejo,ANTIOQUIA,SOPETRAN,MARTA ELENA URIBE VELEZ,PARTIDO ALIANZA VERDE,16034
Concejo,ANTIOQUIA,SOPETRAN,MATEO  CANO VALDERRAMA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16062
Concejo,ANTIOQUIA,SOPETRAN,MIGUEL ALEXANDER RUIZ TOBON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,15976
Concejo,ANTIOQUIA,SOPETRAN,MIGUEL ARCANGEL RUIZ CORREA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16005
Concejo,ANTIOQUIA,SOPETRAN,MONICA MARIA PEÑA PIEDRAHITA,PARTIDO CAMBIO RADICAL,16030
Concejo,ANTIOQUIA,SOPETRAN,NASLY KATHERINE MARTINEZ ARANGO,PARTIDO ALIANZA VERDE,16037
Concejo,ANTIOQUIA,SOPETRAN,NATALIA  ORTIZ MUÑOZ,PARTIDO CENTRO DEMOCRATICO,15966
Concejo,ANTIOQUIA,SOPETRAN,NIDIA  MONTOYA CARVAJAL,PARTIDO ADA,15994
Concejo,ANTIOQUIA,SOPETRAN,NORBERTO  GARCIA ,PARTIDO COLOMBIA RENACIENTE,15983
Concejo,ANTIOQUIA,SOPETRAN,NUBIA LUZ RAMIREZ GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16057
Concejo,ANTIOQUIA,SOPETRAN,OFREDY DE JESUS PINO VAHOS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16003
Concejo,ANTIOQUIA,SOPETRAN,OSCAR ANDRES MORALES ,PARTIDO COLOMBIA RENACIENTE,15979
Concejo,ANTIOQUIA,SOPETRAN,OSCAR DARIO MORALES RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,16020
Concejo,ANTIOQUIA,SOPETRAN,PAOLA ANDREA MONSALVE CARDONA,PARTIDO CONSERVADOR COLOMBIANO,16015
