corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,TARSO,ALVARO HERNAN PULGARIN DIEZ,PARTIDO CAMBIO RADICAL,16249
Concejo,ANTIOQUIA,TARSO,ANDRES  SANCHEZ PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16260
Concejo,ANTIOQUIA,TARSO,ANGELO  MONTOYA ,PARTIDO CAMBIO RADICAL,16248
Concejo,ANTIOQUIA,TARSO,ARISTIDES DE JESUS VILLA CHICA,PARTIDO LIBERAL COLOMBIANO,16228
Concejo,ANTIOQUIA,TARSO,AURELIANO  GUZMAN LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16257
Concejo,ANTIOQUIA,TARSO,CARLOS ALBERTO MORA MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,16244
Concejo,ANTIOQUIA,TARSO,CRISTIAN CAMILO VALLEJO CHICA,PARTIDO CAMBIO RADICAL,16256
Concejo,ANTIOQUIA,TARSO,CRISTIAN FERNANDO JARAMILLO RIOS,PARTIDO CONSERVADOR COLOMBIANO,16246
Concejo,ANTIOQUIA,TARSO,DALILA DEL SOCORRO RIOS CHICA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16264
Concejo,ANTIOQUIA,TARSO,EDUIN MOISES PULGARIN VARGAS,PARTIDO CENTRO DEMOCRATICO,16231
Concejo,ANTIOQUIA,TARSO,ELAINE MILENA LONDOÑO RICO,PARTIDO CAMBIO RADICAL,16252
Concejo,ANTIOQUIA,TARSO,ELIANA CECILIA PULGARIN ,PARTIDO CONSERVADOR COLOMBIANO,16245
Concejo,ANTIOQUIA,TARSO,FRANCISCO IVAN ALEXANDER PALACIO ORTIZ,PARTIDO CENTRO DEMOCRATICO,16238
Concejo,ANTIOQUIA,TARSO,GONZALO DE JESUS RUIZ OCAMPO,PARTIDO CENTRO DEMOCRATICO,16236
Concejo,ANTIOQUIA,TARSO,HUVER ALFONSO CARTAGENA LONDOÑO,PARTIDO LIBERAL COLOMBIANO,16221
Concejo,ANTIOQUIA,TARSO,JAIRO DE JESUS SANCHEZ GARCES,PARTIDO LIBERAL COLOMBIANO,16224
Concejo,ANTIOQUIA,TARSO,JHON JAIRO ALVAREZ CARVAJAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16258
Concejo,ANTIOQUIA,TARSO,JOEL FERNANDO OTALVARO RUA,PARTIDO CONSERVADOR COLOMBIANO,16243
Concejo,ANTIOQUIA,TARSO,JOSE FABIO CARDONA UPEGUI,PARTIDO CENTRO DEMOCRATICO,16230
Concejo,ANTIOQUIA,TARSO,JOSE LIBARDO CANO TABAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16261
Concejo,ANTIOQUIA,TARSO,JOSHEP STEVEN MONTOYA USMA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16262
Concejo,ANTIOQUIA,TARSO,JOVANY DE JESUS VELASQUEZ LOAIZA,PARTIDO CAMBIO RADICAL,16250
Concejo,ANTIOQUIA,TARSO,JUAN CARLOS RESTREPO GIRALDO,PARTIDO LIBERAL COLOMBIANO,16226
Concejo,ANTIOQUIA,TARSO,JUAN GUILLERMO MACHADO SIERRA,PARTIDO CONSERVADOR COLOMBIANO,16241
Concejo,ANTIOQUIA,TARSO,LAURA CRISTINA TAMAYO OBANDO,PARTIDO CENTRO DEMOCRATICO,16237
Concejo,ANTIOQUIA,TARSO,LEOBARDO DE JESUS ZAPATA SUAREZ,PARTIDO LIBERAL COLOMBIANO,16227
Concejo,ANTIOQUIA,TARSO,LINA MARCELA ZAPATA CORREA,PARTIDO CAMBIO RADICAL,16253
Concejo,ANTIOQUIA,TARSO,LIZETH DANIELA FLOREZ PAREJA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16263
Concejo,ANTIOQUIA,TARSO,LLULY ESENELLY RIOS SOSSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16259
Concejo,ANTIOQUIA,TARSO,LUZ HELENA RENDON RAMIREZ,PARTIDO LIBERAL COLOMBIANO,16229
Concejo,ANTIOQUIA,TARSO,MARIANA  MARULANDA LOPEZ,PARTIDO LIBERAL COLOMBIANO,16225
Concejo,ANTIOQUIA,TARSO,MARIBEL  QUINTERO ALVAREZ,PARTIDO CAMBIO RADICAL,16251
Concejo,ANTIOQUIA,TARSO,MAURICIO DE JESUS MOLINA CONTRERAS,PARTIDO CENTRO DEMOCRATICO,16232
Concejo,ANTIOQUIA,TARSO,NARCES  VALDERRAMA CORREA,PARTIDO CAMBIO RADICAL,16255
Concejo,ANTIOQUIA,TARSO,OSCAR DE JESUS CANO LOPEZ,PARTIDO LIBERAL COLOMBIANO,16223
Concejo,ANTIOQUIA,TARSO,PAOLA  CASTRILLON CASTAÑO,PARTIDO CAMBIO RADICAL,16254
Concejo,ANTIOQUIA,TARSO,RICARDO ANDRES DIEZ OBANDO,PARTIDO CENTRO DEMOCRATICO,16235
Concejo,ANTIOQUIA,TARSO,ROSA AMELIA VALLADALES ,PARTIDO CENTRO DEMOCRATICO,16234
Concejo,ANTIOQUIA,TARSO,RUBEN DARIO GALLEGO BUSTAMANTE,PARTIDO CONSERVADOR COLOMBIANO,16239
Concejo,ANTIOQUIA,TARSO,RUTH MARLENY HOLGUIN OSSA,PARTIDO LIBERAL COLOMBIANO,16222
Concejo,ANTIOQUIA,TARSO,SANDRA MILENA LOPEZ PIEDRAHITA,PARTIDO CONSERVADOR COLOMBIANO,16242
Concejo,ANTIOQUIA,TARSO,STEPHANIA ALEXANDRA CASTAÑEDA CANO,PARTIDO CENTRO DEMOCRATICO,16233
Concejo,ANTIOQUIA,TARSO,VIVIANA LLANED CHICA GALLEGO,PARTIDO CONSERVADOR COLOMBIANO,16240
Concejo,ANTIOQUIA,TARSO,WALTER ANTONIO ROMAN GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,16247
