corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,URRAO,ADRIANA MARIA RAMIREZ OSSA,PARTIDO ADA,16818
Concejo,ANTIOQUIA,URRAO,ADRIANA PATRICIA RUEDA URREGO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,16903
Concejo,ANTIOQUIA,URRAO,AICARDO DE JESUS LARREA VARGAS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16820
Concejo,ANTIOQUIA,URRAO,ALEXANDER DE JESUS PINO GARCIA,PARTIDO ALIANZA VERDE,16870
Concejo,ANTIOQUIA,URRAO,ALEYDA  VARGAS VARGAS,PARTIDO CENTRO DEMOCRATICO,16778
Concejo,ANTIOQUIA,URRAO,ALIAM  SAPIA BAILARIN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,16790
Concejo,ANTIOQUIA,URRAO,ALVARO DE JESUS JIMENEZ HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,16792
Concejo,ANTIOQUIA,URRAO,ANA MARIA HERRERA FLOREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,16879
Concejo,ANTIOQUIA,URRAO,ANDRES FELIPE RUDA RUEDA,PARTIDO LIBERAL COLOMBIANO,16763
Concejo,ANTIOQUIA,URRAO,ANGEL JOSE SANMARTIN ,PARTIDO ADA,16819
Concejo,ANTIOQUIA,URRAO,ANGELA BIBIANA AGUIRRE PRESIGA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16827
Concejo,ANTIOQUIA,URRAO,ARLEX JAVIER LOPEZ RIVERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,16873
Concejo,ANTIOQUIA,URRAO,ARSENIO  MORENO VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16888
Concejo,ANTIOQUIA,URRAO,AURORA  SEGURO ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16821
Concejo,ANTIOQUIA,URRAO,BEATRIZ FABIOLA CUARTAS CUARTAS,PARTIDO ADA,16813
Concejo,ANTIOQUIA,URRAO,BEIMAN DE JESUS MACHADO ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,16905
Concejo,ANTIOQUIA,URRAO,BISAID MISNEIBYS MOZO MURILLO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,16904
Concejo,ANTIOQUIA,URRAO,BIZNEY DUBAN HERRERA DURANGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,16892
Concejo,ANTIOQUIA,URRAO,BRUNO  URAN CARDONA,PARTIDO ADA,16812
Concejo,ANTIOQUIA,URRAO,CARLOS ARTURO BEDOYA OSPINA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16828
Concejo,ANTIOQUIA,URRAO,CARLOS AUGUSTO ALVAREZ LONDOÑO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,16899
Concejo,ANTIOQUIA,URRAO,CARMEN LIGIA RODRIGUEZ SANTANA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,16822
Concejo,ANTIOQUIA,URRAO,CLAUDIA CECILIA VELEZ TORO,PARTIDO COLOMBIA RENACIENTE,16803
Concejo,ANTIOQUIA,URRAO,CRISTIAN DE JESUS URREGO ALVAREZ,PARTIDO ALIANZA VERDE,16866
Concejo,ANTIOQUIA,URRAO,CRISTINA MARIA URREGO SEPULVEDA,PARTIDO CONSERVADOR COLOMBIANO,16843
