corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,YALI,ABELARDO DE JESUS AGUDELO BARRERA,PARTIDO CAMBIO RADICAL,17239
Concejo,ANTIOQUIA,YALI,ADRIANA MILENA SIERRA RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,17235
Concejo,ANTIOQUIA,YALI,ANA LUCIA MISAS PELAEZ,PARTIDO ALIANZA VERDE,17243
Concejo,ANTIOQUIA,YALI,ANGIE MILENA GRACIANO GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,17232
Concejo,ANTIOQUIA,YALI,CAMILO ANDRES RAMIREZ PINO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17251
Concejo,ANTIOQUIA,YALI,CARLOS ANDRES TORRES ARIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17250
Concejo,ANTIOQUIA,YALI,CARLOS ARTURO GAVIRIA CASTAÑEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17255
Concejo,ANTIOQUIA,YALI,CARLOS EUGENIO AYALA VANEGAS,PARTIDO LIBERAL COLOMBIANO,17210
Concejo,ANTIOQUIA,YALI,CARLOS FELIPE ALVAREZ CANO,PARTIDO CENTRO DEMOCRATICO,17217
Concejo,ANTIOQUIA,YALI,CRISTIAN EMILIO LOPERA RUA,PARTIDO CENTRO DEMOCRATICO,17219
Concejo,ANTIOQUIA,YALI,CRISTIAN RONALDO ROJAS OQUENDO,PARTIDO CAMBIO RADICAL,17242
Concejo,ANTIOQUIA,YALI,DANIELA  LOAIZA QUINTERO,PARTIDO CENTRO DEMOCRATICO,17221
Concejo,ANTIOQUIA,YALI,DANIELA MARIA GOMEZ TOBON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17252
Concejo,ANTIOQUIA,YALI,DIOMER HERNANDO MEJIA ARTEAGA,PARTIDO LIBERAL COLOMBIANO,17208
Concejo,ANTIOQUIA,YALI,ESTEFANIA  ESCUDERO VALENCIA,PARTIDO LIBERAL COLOMBIANO,17212
Concejo,ANTIOQUIA,YALI,EUGENIA PATRICIA MESA SUAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17254
Concejo,ANTIOQUIA,YALI,EVANGELINA  PALACIO CARDENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17256
Concejo,ANTIOQUIA,YALI,FABIAN DAVID GARCIA CORREA,PARTIDO CONSERVADOR COLOMBIANO,17233
Concejo,ANTIOQUIA,YALI,FERNEY LILIANA RIOS HINCAPIE,PARTIDO LIBERAL COLOMBIANO,17209
Concejo,ANTIOQUIA,YALI,FREDY ANTONIO TEJADA CADAVID,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17253
Concejo,ANTIOQUIA,YALI,GABRIEL ANTONIO JARAMILLO MESA,PARTIDO LIBERAL COLOMBIANO,17207
Concejo,ANTIOQUIA,YALI,GILDARDO ANTONIO ORREGO VILLA,PARTIDO ALIANZA VERDE,17249
Concejo,ANTIOQUIA,YALI,JAVIER ALONSO PIEDRAHITA LLANO,PARTIDO CAMBIO RADICAL,17240
Concejo,ANTIOQUIA,YALI,JESUS ALBERTO BENITES HOLGUIN,PARTIDO CONSERVADOR COLOMBIANO,17230
Concejo,ANTIOQUIA,YALI,JHON JADER PEREZ DIAZ,PARTIDO ALIANZA VERDE,17245
Concejo,ANTIOQUIA,YALI,JORGE IVAN CARDONA SANCHEZ,PARTIDO CENTRO DEMOCRATICO,17220
Concejo,ANTIOQUIA,YALI,JOSE LEON JARAMILLO ,PARTIDO CONSERVADOR COLOMBIANO,17234
Concejo,ANTIOQUIA,YALI,JOSE MIGUEL LOAIZA POSADA,PARTIDO LIBERAL COLOMBIANO,17211
Concejo,ANTIOQUIA,YALI,JUAN DAVID BEDOYA RESTREPO,PARTIDO CENTRO DEMOCRATICO,17222
Concejo,ANTIOQUIA,YALI,JUAN LUIS OCHOA YEPES,PARTIDO CENTRO DEMOCRATICO,17216
Concejo,ANTIOQUIA,YALI,KELLY JOANA URIBE RAMIREZ,PARTIDO CENTRO DEMOCRATICO,17223
Concejo,ANTIOQUIA,YALI,LINA PATRICIA ARROYAVE RIVILLAS,PARTIDO LIBERAL COLOMBIANO,17213
Concejo,ANTIOQUIA,YALI,LUIS ALBERTO QUINTANA ZAPATA,PARTIDO LIBERAL COLOMBIANO,17215
Concejo,ANTIOQUIA,YALI,LUIS ANGEL CHAVERRA CHAVERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17257
Concejo,ANTIOQUIA,YALI,LUIS CARLOS GARCIA GAVIRIA,PARTIDO COLOMBIA JUSTA LIBRES,17225
Concejo,ANTIOQUIA,YALI,LUIS EVELIO JIMENEZ RIOS,PARTIDO ALIANZA VERDE,17244
Concejo,ANTIOQUIA,YALI,LUZ ADRIANA GRACIANO HIGUITA,PARTIDO CAMBIO RADICAL,17236
Concejo,ANTIOQUIA,YALI,MARIA EDILMA BUSTAMANTE BEDOYA,PARTIDO ALIANZA VERDE,17246
Concejo,ANTIOQUIA,YALI,MARIA MELIDA QUINTERO JARAMILLO,PARTIDO ALIANZA VERDE,17247
Concejo,ANTIOQUIA,YALI,MARIBEL  GALEANO MENDOZA,PARTIDO ALIANZA VERDE,17248
Concejo,ANTIOQUIA,YALI,MIGUEL ANGEL ALVAREZ ARTEAGA,PARTIDO CAMBIO RADICAL,17237
Concejo,ANTIOQUIA,YALI,NATALI ANDREA PATIÑO ARTEAGA,PARTIDO CAMBIO RADICAL,17241
