corp,dpto,mpio,name,party,wp_no
Concejo,ANTIOQUIA,YONDO CASABE,ALBA LILIA RIAÑO PARRA,PARTIDO CENTRO DEMOCRATICO,17479
Concejo,ANTIOQUIA,YONDO CASABE,ALBERTO  FLOREZ BALLESTEROS,PARTIDO COLOMBIA JUSTA LIBRES,17493
Concejo,ANTIOQUIA,YONDO CASABE,ALEX HERNAN MUÑOZ SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,17563
Concejo,ANTIOQUIA,YONDO CASABE,ALFONSO  CASTELLANOS CASTAÑO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,17521
Concejo,ANTIOQUIA,YONDO CASABE,ALICIA DE JESUS ARDILA DE DUARTE,PROGRESO PARA YONDO,17588
Concejo,ANTIOQUIA,YONDO CASABE,ALVARO JAVIER ACONCHA NIETO,PARTIDO CAMBIO RADICAL,17541
Concejo,ANTIOQUIA,YONDO CASABE,ANA MERCEDES ESTRADA DIAZ,PARTIDO CONSERVADOR COLOMBIANO,17529
Concejo,ANTIOQUIA,YONDO CASABE,ANTONIO JOSE BAQUERO NISPERUZA,PARTIDO CENTRO DEMOCRATICO,17478
Concejo,ANTIOQUIA,YONDO CASABE,ARNULFO  RODRIGUEZ JIMENEZ,PARTIDO LIBERAL COLOMBIANO,17471
Concejo,ANTIOQUIA,YONDO CASABE,AVILIO  HERNANDEZ HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,17584
Concejo,ANTIOQUIA,YONDO CASABE,BEATRIZ ELENA ATENCIA VALDERRAMA,PARTIDO ADA,17514
Concejo,ANTIOQUIA,YONDO CASABE,BENIS ALBERTO MENDEZ PALENCIA,PARTIDO COLOMBIA RENACIENTE,17502
Concejo,ANTIOQUIA,YONDO CASABE,BRAYAN ALBERTO RODRIGUEZ MOSQUERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,17490
Concejo,ANTIOQUIA,YONDO CASABE,BRYAM ROBERTO MENDEZ QUIÑONES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,17491
Concejo,ANTIOQUIA,YONDO CASABE,CECILIA  CHACON JAIMES,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,17519
Concejo,ANTIOQUIA,YONDO CASABE,CLAUDIA PATRICIA ARRIETA TRILLOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,17570
Concejo,ANTIOQUIA,YONDO CASABE,CLAUDIA PATRICIA MEDINA MOREIRA,PARTIDO COLOMBIA RENACIENTE,17501
Concejo,ANTIOQUIA,YONDO CASABE,CLAUDIA SHAKIRA RUBIANO MENDIETA,PARTIDO ALIANZA VERDE,17551
Concejo,ANTIOQUIA,YONDO CASABE,CRISTIAN CAMILO MESA GUERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,17489
Concejo,ANTIOQUIA,YONDO CASABE,DARIO ANTONIO JIMENEZ RIOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,17558
Concejo,ANTIOQUIA,YONDO CASABE,DAWINZON JHOSET MOLINA CABUEÑAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,17487
