corp,dpto,mpio,name,party,wp_no
Concejo,ARAUCA,TAME,ABEL EDUARDO CHACON ROJAS,PARTIDO POLITICO MIRA,80516
Concejo,ARAUCA,TAME,ABILIO  VALENCIA VILLAMIZAR,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,80455
Concejo,ARAUCA,TAME,ADRIANA TERESA VILLARREAL ALVAREZ,PARTIDO CENTRO DEMOCRATICO,80431
Concejo,ARAUCA,TAME,ALFRED RAMON QUINTERO PANESO,PARTIDO CENTRO DEMOCRATICO,80439
Concejo,ARAUCA,TAME,ALVARO  BUSTOS VILLAMIZAR,PARTIDO POLITICO MIRA,80514
Concejo,ARAUCA,TAME,ANA ROSARIO GUACHE HIDALGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80450
Concejo,ARAUCA,TAME,ANGEL ARTURO RODRIGUEZ SEPULVEDA,PARTIDO COLOMBIA JUSTA LIBRES,80467
Concejo,ARAUCA,TAME,ANYELA NAYIVE VERGARA PEÑA,PARTIDO COLOMBIA JUSTA LIBRES,80468
Concejo,ARAUCA,TAME,ARNEXIN MARIA NIÑO BELLO,PARTIDO CENTRO DEMOCRATICO,80436
Concejo,ARAUCA,TAME,ARNULFO  PINO PINZON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,80441
Concejo,ARAUCA,TAME,AURELIO  FERNANDEZ ,PARTIDO LIBERAL COLOMBIANO,80421
Concejo,ARAUCA,TAME,BELLER  MENDOZA BOHORQUEZ,PARTIDO POLITICO MIRA,80513
Concejo,ARAUCA,TAME,BELSY  SANTANDER RUIZ,PARTIDO COLOMBIA JUSTA LIBRES,80466
Concejo,ARAUCA,TAME,BERNARDO  MARIN GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,80501
Concejo,ARAUCA,TAME,BOLNEY AVIMELEC PARRA GONZALEZ,ALTERNATIVA TAMEÑA,80536
Concejo,ARAUCA,TAME,BRIGADIER  CONTRERAS CALDERON,PARTIDO ALIANZA VERDE,80494
Concejo,ARAUCA,TAME,CARLOS ARIOSTO FLOREZ GRASS,PARTIDO POLITICO MIRA,80518
Concejo,ARAUCA,TAME,CARMEN ROSA SANABRIA ACOSTA,PARTIDO POLITICO MIRA,80519
Concejo,ARAUCA,TAME,CAROLINA  CASTRO SALCEDO,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,80459
Concejo,ARAUCA,TAME,CILIA FLOR GONZALEZ DE NEITE,PARTIDO POLITICO MIRA,80512
Concejo,ARAUCA,TAME,CLAUDIA  CASTAÑEDA ,PARTIDO ALIANZA VERDE,80493
Concejo,ARAUCA,TAME,DANIEL  NIÑO ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,80505
