corp,dpto,mpio,name,party,wp_no
Concejo,ATLANTICO,REPELON,ADALEZA  SANZ BOHORQUEZ,PARTIDO CONSERVADOR COLOMBIANO,73861
Concejo,ATLANTICO,REPELON,ADEMIR ANGEL SOLANO SANDOVAL,PARTIDO CENTRO DEMOCRATICO,73828
Concejo,ATLANTICO,REPELON,ALDIMERIS PATRICIA DE LA CRUZ BARRIOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73843
Concejo,ATLANTICO,REPELON,ALEXANDER  SOLANO ORTIZ,PARTIDO COLOMBIA RENACIENTE,73852
Concejo,ATLANTICO,REPELON,ALICIA ELENA GUERRA CASTILLO,PARTIDO CAMBIO RADICAL,73874
Concejo,ATLANTICO,REPELON,ALLAN HARRY BARRAZA HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,73887
Concejo,ATLANTICO,REPELON,ALVARO JESUS SARMIENTO CABARCAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73836
Concejo,ATLANTICO,REPELON,ALVARO JOSE PERDOMO JIMENEZ,PARTIDO LIBERAL COLOMBIANO,73824
Concejo,ATLANTICO,REPELON,AMIRA  CARDENAS RUIZ,PARTIDO CENTRO DEMOCRATICO,73831
Concejo,ATLANTICO,REPELON,ANDREA LUZ MARIMON ALMANZA,PARTIDO CONSERVADOR COLOMBIANO,73866
Concejo,ATLANTICO,REPELON,ANTUANETH VERENICE OSPINO SOLANO,PARTIDO COLOMBIA RENACIENTE,73851
Concejo,ATLANTICO,REPELON,BIENVENIDO  GALEANO ALVEAR,PARTIDO CONSERVADOR COLOMBIANO,73854
Concejo,ATLANTICO,REPELON,BORIS  CABARCAS SARABIA,PARTIDO CONSERVADOR COLOMBIANO,73859
Concejo,ATLANTICO,REPELON,DAIBER  OSORIO SANDOVAL,PARTIDO CAMBIO RADICAL,73870
Concejo,ATLANTICO,REPELON,DARIO  ALMANZA ESCOBAR,PARTIDO CONSERVADOR COLOMBIANO,73865
Concejo,ATLANTICO,REPELON,DIANA CAROLINA JIMENEZ SARMIENTO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73846
Concejo,ATLANTICO,REPELON,DORISNEL  CABARCAS RUIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73848
Concejo,ATLANTICO,REPELON,EDELMIRA  AHUMADA FIGUEROA,PARTIDO CAMBIO RADICAL,73869
Concejo,ATLANTICO,REPELON,EMISAEL  OSORIO OLMOS,PARTIDO LIBERAL COLOMBIANO,73812
Concejo,ATLANTICO,REPELON,ENA DANID VALENCIA PINO,PARTIDO CENTRO DEMOCRATICO,73830
Concejo,ATLANTICO,REPELON,ENDER EDUARDO CASTRO RUIZ,PARTIDO CENTRO DEMOCRATICO,73825
Concejo,ATLANTICO,REPELON,EVERITH  OROZCO RUIZ,PARTIDO LIBERAL COLOMBIANO,73817
Concejo,ATLANTICO,REPELON,EVERTT DAVID SARMIENTO PERNETT,PARTIDO CAMBIO RADICAL,73872
Concejo,ATLANTICO,REPELON,FIDEL JOSE ORTIZ PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73844
Concejo,ATLANTICO,REPELON,FRANCISCO RAFAEL PEREZ GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73839
Concejo,ATLANTICO,REPELON,FRANKLIN JUNIOR VILLA RUIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,73840
Concejo,ATLANTICO,REPELON,GILBERTO ANDRES ORTEGA ESCOBAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,73889
