corp,dpto,mpio,name,party,wp_no
Concejo,ATLANTICO,SANTA LUCIA,ALEX MANUEL MEDINA CANTILLO,PARTIDO CONSERVADOR COLOMBIANO,74164
Concejo,ATLANTICO,SANTA LUCIA,ALMA PIEDAD ZUBIANDY JORDAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74198
Concejo,ATLANTICO,SANTA LUCIA,AMPARO DEL SOCORRO ALTAMAR ARIZA,PARTIDO LIBERAL COLOMBIANO,74135
Concejo,ATLANTICO,SANTA LUCIA,AMPARO LUCIA VILLA SANTANA,PARTIDO LIBERAL COLOMBIANO,74133
Concejo,ATLANTICO,SANTA LUCIA,ANA TERESA LLERENA GARCIA,PARTIDO CAMBIO RADICAL,74177
Concejo,ATLANTICO,SANTA LUCIA,ANGIE PAOLA TORRES JORDAN,PARTIDO LIBERAL COLOMBIANO,74132
Concejo,ATLANTICO,SANTA LUCIA,ANTONIO JOSE HERNANDEZ ROJANO,PARTIDO LIBERAL COLOMBIANO,74127
Concejo,ATLANTICO,SANTA LUCIA,ANYELY YUNELIS SANDOVAL PORRAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74192
Concejo,ATLANTICO,SANTA LUCIA,BLEIBIS  MERCADO VASQUEZ,PARTIDO CENTRO DEMOCRATICO,74141
Concejo,ATLANTICO,SANTA LUCIA,CARLOS  CARREÑO IRIARTE,PARTIDO LIBERAL COLOMBIANO,74128
Concejo,ATLANTICO,SANTA LUCIA,CARLOS JULIO RAMBAL BARRIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74199
Concejo,ATLANTICO,SANTA LUCIA,CARLOS MANUEL BARRAGAN CANTILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74200
Concejo,ATLANTICO,SANTA LUCIA,CARMEN ELENA MOLINARES PINO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74189
Concejo,ATLANTICO,SANTA LUCIA,CINDI  MENDOZA ORTIZ,PARTIDO CAMBIO RADICAL,74175
Concejo,ATLANTICO,SANTA LUCIA,DAIRO ALBERTO CUETO CARREÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74155
Concejo,ATLANTICO,SANTA LUCIA,DANNI LUCIA ARIZA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,74167
Concejo,ATLANTICO,SANTA LUCIA,DAWIN  VILLA POLO,PARTIDO LIBERAL COLOMBIANO,74126
Concejo,ATLANTICO,SANTA LUCIA,DENIRIS  ESCORCIA CARREÑO,PARTIDO CONSERVADOR COLOMBIANO,74159
Concejo,ATLANTICO,SANTA LUCIA,EDGARD DAVID CANTILLO POLO,PARTIDO LIBERAL COLOMBIANO,74136
Concejo,ATLANTICO,SANTA LUCIA,EDINSON ANTONIO SALCEDO PINO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74187
Concejo,ATLANTICO,SANTA LUCIA,ERIKA ISABEL IRIARTE MOLINARES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74204
Concejo,ATLANTICO,SANTA LUCIA,ESNAIDER  APARICIO CANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74191
Concejo,ATLANTICO,SANTA LUCIA,ESTELLA  MONTERO CARREÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74195
Concejo,ATLANTICO,SANTA LUCIA,EVARISTO ENRIQUE ESCORCIA GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74181
Concejo,ATLANTICO,SANTA LUCIA,FAGITH JAVIER MEDINA IRIARTE,PARTIDO CAMBIO RADICAL,74179
Concejo,ATLANTICO,SANTA LUCIA,FRAYDER FABIAN CARREÑO ARROYO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74148
Concejo,ATLANTICO,SANTA LUCIA,GASPAR  MONTERO FARFAN,PARTIDO CAMBIO RADICAL,74178
Concejo,ATLANTICO,SANTA LUCIA,GASPAR ELIECER CONTRERA VILLA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74184
Concejo,ATLANTICO,SANTA LUCIA,GILBERTO MARTINIANO ALTAMAR ARIZA,PARTIDO CENTRO DEMOCRATICO,74137
Concejo,ATLANTICO,SANTA LUCIA,GUILLERMO RAFAEL MEDINA ARAGON,PARTIDO CONSERVADOR COLOMBIANO,74162
Concejo,ATLANTICO,SANTA LUCIA,GUSTAVO ADOLFO TORRES GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74157
Concejo,ATLANTICO,SANTA LUCIA,HECTOR ALONSO VILLA RUBIO,PARTIDO CENTRO DEMOCRATICO,74140
Concejo,ATLANTICO,SANTA LUCIA,HERNANDO ANDRES ZAPATA SANTANA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74150
Concejo,ATLANTICO,SANTA LUCIA,HERNANDO JESUS MENDOZA ORTIZ,PARTIDO CENTRO DEMOCRATICO,74145
Concejo,ATLANTICO,SANTA LUCIA,HERNANDO JOSE DUQUE JORDAN,PARTIDO CENTRO DEMOCRATICO,74147
Concejo,ATLANTICO,SANTA LUCIA,JACKELIN ZENITH MOSQUERA VILLA,PARTIDO CENTRO DEMOCRATICO,74142
Concejo,ATLANTICO,SANTA LUCIA,JAVIER ADOLFO ARIZA VASQUEZ,PARTIDO CAMBIO RADICAL,74169
Concejo,ATLANTICO,SANTA LUCIA,JAVIER HUMBERTO MORALES ROJANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74196
Concejo,ATLANTICO,SANTA LUCIA,JESUS DAVID ARROYO GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74182
Concejo,ATLANTICO,SANTA LUCIA,JHAIR VICENTE CORRALES BROCHERO,PARTIDO CAMBIO RADICAL,74172
Concejo,ATLANTICO,SANTA LUCIA,JHON ALBERTO CUETO ESCORCIA,PARTIDO CENTRO DEMOCRATICO,74143
Concejo,ATLANTICO,SANTA LUCIA,JOHAN ENRIQUE TORRENEGRA CARABALLO,PARTIDO CAMBIO RADICAL,74171
Concejo,ATLANTICO,SANTA LUCIA,JOHANA PATRICIA MARTINEZ ZULUAGA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74186
Concejo,ATLANTICO,SANTA LUCIA,JORGE ELIECER FIGUEROA CANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74203
Concejo,ATLANTICO,SANTA LUCIA,JOSE ALEJANDRO OSPINO VILORIA,PARTIDO LIBERAL COLOMBIANO,74129
Concejo,ATLANTICO,SANTA LUCIA,JOSE FERNANDO JORDAN ARIZA,PARTIDO LIBERAL COLOMBIANO,74130
Concejo,ATLANTICO,SANTA LUCIA,JOSE MARIA ARROYO HERRERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74188
Concejo,ATLANTICO,SANTA LUCIA,JOSUE AULY COVA LARA,PARTIDO CONSERVADOR COLOMBIANO,74161
Concejo,ATLANTICO,SANTA LUCIA,JUAN CARLOS OROZCO MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,74160
Concejo,ATLANTICO,SANTA LUCIA,JUAN DAVID VILLA ARROYO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74154
Concejo,ATLANTICO,SANTA LUCIA,JULIO ENRIQUE APARICIO OROZCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74152
Concejo,ATLANTICO,SANTA LUCIA,LINCE KATERINES SALCEDO FIGUEROA,PARTIDO CENTRO DEMOCRATICO,74146
Concejo,ATLANTICO,SANTA LUCIA,LISBETH  CANTILLO CAICEDO,PARTIDO CENTRO DEMOCRATICO,74138
Concejo,ATLANTICO,SANTA LUCIA,LORAINE  OROZCO POLO,PARTIDO CAMBIO RADICAL,74173
Concejo,ATLANTICO,SANTA LUCIA,LUCIA FERNANDA HERNANDEZ RIVERA,PARTIDO CONSERVADOR COLOMBIANO,74163
Concejo,ATLANTICO,SANTA LUCIA,LUIS ALFREDO AMADO MOLINARES,PARTIDO CAMBIO RADICAL,74174
Concejo,ATLANTICO,SANTA LUCIA,LUZ DIVINA CARREÑO ALTAMAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74151
Concejo,ATLANTICO,SANTA LUCIA,MARIETA CHIQUINQUIRA SANTANA ALMANZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74149
Concejo,ATLANTICO,SANTA LUCIA,MARITZA LUCIA CASTILLO PINO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74183
Concejo,ATLANTICO,SANTA LUCIA,MARLIO MANUEL MARENCO MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74194
Concejo,ATLANTICO,SANTA LUCIA,MORAIMA JOSEFA CASTILLO FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,74168
Concejo,ATLANTICO,SANTA LUCIA,NATALIA MARGARITA MACIAS LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74197
Concejo,ATLANTICO,SANTA LUCIA,NEYDER ALFONSO POLO GARCIA,PARTIDO CONSERVADOR COLOMBIANO,74166
Concejo,ATLANTICO,SANTA LUCIA,NORBERTO DE JESUS GARCIA FERNANDEZ,PARTIDO CENTRO DEMOCRATICO,74139
Concejo,ATLANTICO,SANTA LUCIA,ONEIDA CENITH RUIZ ROSADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74153
Concejo,ATLANTICO,SANTA LUCIA,ORNELA PATRICIA MORALES MATUTE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,74180
Concejo,ATLANTICO,SANTA LUCIA,OSCAR ALFONSO SANTANA MERCADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74201
Concejo,ATLANTICO,SANTA LUCIA,RICARDO ANTONIO BARRIOS VILORIA,PARTIDO CENTRO DEMOCRATICO,74144
