corp,dpto,mpio,name,party,wp_no
Concejo,ATLANTICO,SANTO TOMAS,ADA LEDYS CHARRIS MUÑOZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,74253
Concejo,ATLANTICO,SANTO TOMAS,ADOLFO ANDRES CHARRIS PEREZ,PARTIDO CENTRO DEMOCRATICO,74222
Concejo,ATLANTICO,SANTO TOMAS,ALDAIR JOSE CANTILLO COMAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74289
Concejo,ATLANTICO,SANTO TOMAS,ALEJANDRO CESAR JUNIOR MANGA PEREZ,PARTIDO LIBERAL COLOMBIANO,74215
Concejo,ATLANTICO,SANTO TOMAS,ALEJANDRO JOSE CARO ARROYO,PARTIDO LIBERAL COLOMBIANO,74207
Concejo,ATLANTICO,SANTO TOMAS,ALEX MANUEL BARRERA FRITZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,74259
Concejo,ATLANTICO,SANTO TOMAS,ALFREDO CESAR CERVANTES LUNA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74234
Concejo,ATLANTICO,SANTO TOMAS,ANA CECILIA FONTALVO FONTALVO,PARTIDO CONSERVADOR COLOMBIANO,74268
Concejo,ATLANTICO,SANTO TOMAS,ANNAMILETH  JIMENEZ MANCILLA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,74256
Concejo,ATLANTICO,SANTO TOMAS,ANTONIO JOSE DE AVILA MARENCO,PARTIDO LIBERAL COLOMBIANO,74217
Concejo,ATLANTICO,SANTO TOMAS,ANTONIO JOSE FERNANDEZ FONTALVO,PARTIDO CAMBIO RADICAL,74279
Concejo,ATLANTICO,SANTO TOMAS,BEATRIZ ELENA OSPINO GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74233
Concejo,ATLANTICO,SANTO TOMAS,CAMILO JOSE CABALLERO GUTIERREZ,PARTIDO CENTRO DEMOCRATICO,74228
Concejo,ATLANTICO,SANTO TOMAS,CARLOS MANUEL CHARRIS SALCEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74299
Concejo,ATLANTICO,SANTO TOMAS,CARMEN GREGORIA SUAREZ FONTALVO,PARTIDO CONSERVADOR COLOMBIANO,74263
Concejo,ATLANTICO,SANTO TOMAS,CESAR AUGUSTO ADARRAGA GUERRERO,PARTIDO CAMBIO RADICAL,74277
Concejo,ATLANTICO,SANTO TOMAS,CESAR AUGUSTO BROCHERO DE LA HOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74309
Concejo,ATLANTICO,SANTO TOMAS,CLAUDIA MARIA BERMEJO PEREZ,PARTIDO ALIANZA VERDE,74282
Concejo,ATLANTICO,SANTO TOMAS,CRISTIAN JOSE MUÑOZ LOBO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,74235
Concejo,ATLANTICO,SANTO TOMAS,DAIMYCHELL PAOLA CASTRO REALES,PARTIDO CAMBIO RADICAL,74281
Concejo,ATLANTICO,SANTO TOMAS,DAMASO ANTONIO SALAS MALDONADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74290
Concejo,ATLANTICO,SANTO TOMAS,DANID ENRIQUE DE LA HOZ HERRERA,PARTIDO COLOMBIA JUSTA LIBRES,74250
Concejo,ATLANTICO,SANTO TOMAS,DANIELA MARCELA LARA ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,74307
Concejo,ATLANTICO,SANTO TOMAS,DANNYS RAFAEL PIZARRO BARRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74286
Concejo,ATLANTICO,SANTO TOMAS,DAYAN FEDERICO CARRILLO FONTALVO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,74291
Concejo,ATLANTICO,SANTO TOMAS,DELIS MARIA CRESCENTE PERTUZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,74254
Concejo,ATLANTICO,SANTO TOMAS,DIANA ALEXANDRA PARRA CHARRIS,PARTIDO CENTRO DEMOCRATICO,74227
Concejo,ATLANTICO,SANTO TOMAS,DIEGO ARMANDO ESCORCIA BOLAÑO,PARTIDO LIBERAL COLOMBIANO,74212
Concejo,ATLANTICO,SANTO TOMAS,DIGNA ROSA PEREZ RODRIGUEZ,PARTIDO COLOMBIA JUSTA LIBRES,74246
Concejo,ATLANTICO,SANTO TOMAS,DIOGENES RAFAEL CANTILLO GUTIERREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,74255
